Application Status,Merit Score,ssc_obtained,Terminal Degree,Offered
Application Fee Received,778,727,778,No
Application Fee Received,865,814,865,No
Application Fee Received,837,822,837,No
Application Fee Received,864,938,864,No
Admission Fee Challan Received,911,900,911,Yes
Application Fee Received,698,793,698,No
Application Fee Received,824,893,824,No
Application Fee Received,833,921,833,No
Application Fee Received,790,797,790,No
Application Fee Received,829,844,829,No
Application Fee Received,901,891,901,No
Application Fee Received,553,613,553,No
Application Fee Received,841,895,841,No
Application Fee Received,763,831,763,No
Application Fee Received,730,813,730,No
Admission Fee Challan Printed,919,818,919,Yes
Application Fee Received,820,853,820,No
Application Fee Received,749,742,749,No
Application Fee Received,683,906,683,No
Admission Fee Challan Printed,896,941,896,Yes
Application Fee Received,662,762,662,No
Application Fee Received,820,781,820,No
Application Fee Received,634.02,606,619,No
Application Fee Received,770,637,770,No
Application Fee Received,934,907,934,Yes
Application Fee Received,924,833,924,Yes
Application Fee Received,679,832,679,No
Application Fee Received,752,767,752,No
Application Fee Received,729,802,729,No
Application Fee Received,814,636,814,No
Application Fee Received,765,649,745,No
Application Fee Received,661,718,666,No
Application Fee Received,855,777,855,No
Application Fee Received,734,589,734,No
Application Fee Received,632,705,637,No
Application Fee Received,776,869,776,No
Application Fee Received,891,950,891,No
Application Fee Received,951,656,956,Yes
Application Fee Received,773,724,773,No
Application Fee Received,828,792,828,No
Application Fee Received,737,700,737,No
Application Fee Received,717,879,722,No
Application Fee Received,802,784,802,No
Application Fee Received,663,767,663,No
Application Fee Received,661,718,666,No
Application Fee Received,855,777,855,No
Application Fee Received,721,831,721,No
Application Fee Received,830,837,830,No
Application Fee Received,872,905,872,No
Application Fee Received,783,645,783,No
Application Fee Received,833,889,833,No
Application Fee Received,855,849,855,No
Application Fee Received,880,933,880,No
Application Fee Received,649,672,649,No
Application Fee Received,756,785,756,No
Application Fee Received,728,655,728,No
Application Fee Received,960,879,960,Yes
Application Fee Received,883,945,863,No
Application Fee Received,749,657,754,No
Application Fee Received,950,878,950,Yes
Application Fee Received,839,847,869,No
Application Fee Received,848,805,848,No
Application Fee Received,648,740,648,No
Application Fee Received,827,629,827,No
Application Fee Received,750,780,750,No
Application Fee Received,886,769,886,No
Admission Fee Challan Received,903,796,903,Yes
Application Fee Received,725,613,725,No
Application Fee Received,815,940,815,No
Application Fee Received,784,811,784,No
Application Fee Received,802.304,672,807,No
Application Fee Received,747,715,747,No
Application Fee Received,727,868,727,No
Application Fee Received,747,733,747,No
