Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,hsc_opt_6_total,Document Verified,English Marks,Offered
Application Fee Received,739,Bahawalpur,Punjab,55,708,645,101,40,100,38,99,155,200,0,99,No
Application Fee Received,850,Bahawalpur,Punjab,0,716,721,134,137,115,122,0,0,0,0,134,No
Application Fee Received,748,Bahawalpur,Punjab,50,659,677,122,126,159,76,0,0,0,0,76,No
Application Fee Received,1103,Bahawalpur,Punjab,62,810,929,171,163,167,179,0,0,0,1,179,Yes
Application Fee Received,980,Bahawalpur,Punjab,0,697,852,138,147,184,153,0,0,0,0,138,No
Application Fee Received,830,Bahawalpur,Punjab,0,814,681,154,47,43,58,154,80,200,0,154,No
Application Fee Received,877,Bahawalpur,Punjab,0,889,738,144,125,115,129,0,0,0,0,144,No
Application Fee Received,903.833,Bahawalpur,Punjab,0,629,771,137,43,38,30,0,0,0,0,137,No
Application Fee Received,958,Bahawalpur,Punjab,0,866,963,174,185,0,0,0,0,0,0,0,No
Admission Fee Challan Received,1048,Bahawalpur,Punjab,48,816,903,175,150,168,45,175,42,50,1,150,Yes
Admission Fee Challan Received,1045,Bahawalpur,Punjab,37,864,892,160,175,158,163,46,43,50,1,158,Yes
Admission Fee Challan Received,1045,Bahawalpur,Punjab,48,853,879,142,171,154,0,167,0,0,1,171,Yes
Application Fee Received,767,Bahawalpur,Punjab,0,751,636,136,128,82,83,34,0,0,0,136,No
Application Fee Received,906,Bahawalpur,Punjab,46,697,785,143,44,126,46,149,127,200,1,126,No
Application Fee Received,717,Bahawalpur,Punjab,46,718,722,133,81,153,0,0,0,0,0,0,No
Application Fee Received,792,Bahawalpur,Punjab,54,705,677,151,40,109,40,93,125,200,0,125,No
Application Fee Received,614,Bahawalpur,Punjab,54,600,634,0,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,1070,Bahawalpur,Punjab,57,945,911,164,41,42,186,165,176,200,1,164,Yes
Application Fee Received,906,Bahawalpur,Punjab,0,594,792,99,158,166,39,0,0,0,1,99,No
Application Fee Received,732,Bahawalpur,Punjab,50,681,614,123,110,70,112,32,47,50,0,123,No
Application Fee Received,735,Bahawalpur,Punjab,58,859,640,83,119,100,108,42,44,50,0,100,No
Application Fee Received,877,Bahawalpur,Punjab,0,823,760,129,122,106,48,150,48,50,0,122,No
Application Fee Received,639,Bahawalpur,Punjab,43,507,604,74,50,82,77,81,73,100,0,50,No
Application Fee Received,808,Bahawalpur,Punjab,0,709,730,161,83,120,43,124,44,50,0,83,No
