Application Status,Admission Test,ssc_obtained,Terminal Degree,Document Verified,Offered
NotComplete,38,709,683,0,No
Complete,44,725,775,0,No
Complete,51,592,594,0,No
NotComplete,57,873,809,0,No
Complete,42,654,620,1,Yes
NotComplete,54,553,583,0,No
Complete,48,907,807,1,Yes
Complete,49,763,708,1,Yes
Complete,68,885,941,1,Yes
Complete,47,725,723,0,No
Complete,49,844,808,1,Yes
Complete,38,629,723,0,No
Complete,41,748,583,0,No
Complete,42,817,874,1,Yes
Complete,47,732,629,1,Yes
Complete,40,859,669,0,No
Complete,50,664,567,0,No
Complete,47,759,664,0,No
Complete,42,631,552,0,No
Complete,50,641,671,1,Yes
NotComplete,47,819,798,0,No
Complete,43,712,640,1,Yes
NotComplete,48,729,622,0,No
Complete,67,860,836,1,Yes
Complete,37,645,701,0,No
Complete,40,838,754,0,No
Complete,41,683,622,1,Yes
Complete,45,617,583,0,No
Complete,45,749,657,1,No
Complete,48,718,782,1,Yes
Complete,55,835,711,1,Yes
Complete,52,837,816,1,Yes
Complete,41,788,631,0,No
Complete,77,929,849,0,No
Complete,47,737,661,0,No
NotComplete,50,696,612,0,No
Complete,56,696,648,1,Yes
Complete,63,842,781,1,Yes
NotComplete,47,683,574,0,No
Complete,47,846,621,1,Yes
Complete,79,851,890,0,No
Complete,49,733,741,0,No
NotComplete,46,899,817,0,No
Complete,58,979,957,0,No
Complete,49,793,865,1,Yes
Complete,53,930,823,0,No
Complete,48,923,847,0,No
Complete,83,809,538,0,No
Complete,43,848,733,1,Yes
Complete,49,564,547,0,No
Complete,45,674,645,1,Yes
Complete,47,814,802,0,No
Complete,52,954,830,1,Yes
Complete,45,665,543,0,No
Complete,55,614,622,1,Yes
Complete,54,826,748,0,No
Complete,60,757,806,1,Yes
Complete,43,941,926,1,Yes
Complete,44,908,796,1,Yes
Complete,47,846,688,0,No
Complete,47,825,625,0,No
Complete,74,939,971,1,Yes
Complete,46,903,633,1,No
Complete,57,919,859,0,No
Complete,54,837,755,0,No
Complete,48,839,831,1,Yes
Complete,47,749,599,1,Yes
Complete,60,844,886,1,No
Complete,53,726,618,0,No
Complete,52,729,635,1,Yes
Complete,54,706,625,1,Yes
Complete,44,792,584,1,Yes
Complete,51,872,801,1,Yes
Complete,29,819,613,0,No
Complete,49,603,504,1,No
Complete,58,778,542,1,No
Complete,43,594,712,1,Yes
Complete,52,861,851,1,Yes
Complete,48,489,505,1,No
Complete,56,752,684,0,No
Complete,49,714,769,1,Yes
Complete,52,886,902,1,Yes
Complete,53,808,661,1,Yes
NotComplete,53,754,628,0,No
Complete,52,756,647,1,Yes
NotComplete,40,587,544,0,No
Complete,55,984,917,1,Yes
Complete,55,758,864,1,Yes
Complete,51,821,606,1,Yes
Complete,53,922,932,1,Yes
Complete,60,860,874,1,No
Complete,42,756,688,1,Yes
Complete,52,789,623,1,Yes
Complete,58,713,720,1,Yes
Complete,48,819,703,0,No
Complete,56,940,815,1,Yes
Complete,61,918,907,1,Yes
Complete,46,750,661,1,Yes
Complete,44,649,679,1,Yes
Complete,35,667,576,0,No
Complete,48,748,753,1,Yes
Complete,41,542,619,1,Yes
Complete,59,686,565,1,No
Complete,44,881,684,0,No
NotComplete,69,922,930,0,No
Complete,47,713,643,1,Yes
Complete,62,798,760,0,No
Complete,44,712,623,1,Yes
Complete,44,660,550,1,No
Complete,44,805,642,1,Yes
Complete,61,882,776,0,No
Complete,44,504,597,0,No
Complete,56,670,691,0,No
Complete,52,823,606,1,Yes
Complete,41,688,543,1,No
Complete,47,727,605,1,Yes
Complete,47,865,783,0,No
Complete,48,685,527,1,No
Complete,45,672,618,0,No
Complete,46,830,624,1,Yes
Complete,42,699,636,0,No
Complete,52,743,662,1,Yes
Complete,46,504,598,0,No
Complete,50,777,629,1,Yes
Complete,50,658,646,1,Yes
Complete,37,811,627,0,No
Complete,44,748,727,1,Yes
Complete,47,779,612,1,Yes
Complete,45,739,649,1,Yes
Complete,60,743,892,0,No
Complete,57,539,588,1,Yes
NotComplete,54,700,737,0,No
Complete,45,745,711,1,No
Complete,64,904,873,0,No
Complete,47,894,802,1,Yes
Complete,40,779,726,1,Yes
Complete,39,658,731,0,No
NotComplete,46,728,738,0,No
Complete,35,645,714,0,No
Complete,30,589,702,0,No
Complete,53,672,868,1,Yes
NotComplete,49,748,745,0,No
Complete,44,704,542,1,No
Complete,48,644,841,0,No
NotComplete,48,620,739,0,No
Complete,41,657,747,1,Yes
Complete,73,912,877,1,Yes
Complete,52,814,699,0,No
Complete,69,917,864,1,Yes
Complete,50,845,935,1,Yes
Complete,44,550,515,0,No
Complete,50,604,688,0,No
Complete,62,671,759,1,Yes
Complete,42,761,607,1,Yes
Complete,50,848,777,1,Yes
NotComplete,52,756,792,0,No
