application_status,NTS,ssc_obtained,FA/FSC,Document Verified,Offered
Complete,60,672,670,No,No
Complete,60,858,808,Yes,Yes
Admission Fee NotComplete,56,880,817,Yes,No
Complete,62,591,800,No,No
Complete,53,552,800,Yes,No
Complete,49,659,485,No,No
NotComplete,51,847,710,No,No
NotComplete,57,613,532,No,No
Complete,46,803,721,Yes,No
Complete,19,774,633,No,No
Complete,40,475,786,No,No
Complete,52,678,557,No,No
Complete,49,629,587,No,No
Complete,45,759,619,No,No
NotComplete,20,736,533,No,No
Complete,49,806,793,No,No
Complete,59,776,782,No,No
Complete,52,802,889,No,No
Complete,42,549,598,Yes,No
Complete,40,546,604,Yes,No
Complete,52,844,812,Yes,No
Complete,64,883,747,No,No
NotComplete,70,718,635,No,No
Complete,68,761,583,No,No
Complete,71,791,744,Yes,No
Complete,57,731,695,No,No
Complete,47,798,685,No,No
NotComplete,55,671,612,No,No
Complete,64,776,648,No,No
Complete,43,623,597,No,No
Complete,46,719,770,No,No
NotComplete,44,825,683,No,No
Complete,42,624,460,No,No
Complete,60,800,750,No,No
Complete,47,708,671,No,No
Complete,49,577,598,No,No
Complete,31,680,511,Yes,No
Complete,62,901,838,Yes,Yes
Complete,58,474,662,Yes,No
Complete,48,726,670,No,No
Complete,63,845,682,Yes,No
Complete,72,599,621,No,No
Complete,38,709,683,No,No
Complete,43,647,791,No,No
Complete,66,769,913,Yes,Yes
Complete,41,667,773,No,No
NotComplete,55,826,667,No,No
Complete,53,595,822,Yes,No
Complete,41,516,628,No,No
Complete,56,859,764,No,No
NotComplete,51,659,590,No,No
Complete,48,907,807,Yes,No
Complete,62,790,707,Yes,No
Complete,40,753,542,No,No
NotComplete,0,756,489,No,No
NotComplete,38,629,723,No,No
Complete,56,833,830,Yes,Yes
NotComplete,46,791,827,No,No
Complete,41,748,583,No,No
Complete,46,666,638,No,No
NotComplete,47,585,566,No,No
Complete,40,771,570,No,No
Complete,50,684,622,No,No
Complete,53,796,791,Yes,No
Complete,67,914,938,Yes,Yes
NotComplete,54,830,579,No,No
Complete,45,510,698,Yes,No
Complete,61,878,784,Yes,No
Complete,52,523,811,Yes,No
Complete,63,806,776,Yes,No
Complete,48,729,622,No,No
Complete,50,765,764,Yes,No
NotComplete,49,590,668,No,No
Complete,58,527,452,No,No
Complete,56,560,643,Yes,No
NotComplete,27,0,0,No,No
Complete,62,747,738,No,No
NotComplete,50,578,552,No,No
