Application Status,Domicile,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 3,Document Verified,Offered
Complete,OPEN,51,919,727,98,149,0,No
Complete,OPEN,69,781,833,148,163,0,No
Complete,OPEN,49,668,752,0,0,0,No
Complete,OPEN,40,752,829,0,0,0,No
NotComplete,OPEN,42,856,930,158,172,0,No
Complete,OPEN,50,747,801,127,162,0,No
Complete,OPEN,0,929,693,93,114,0,No
Complete,OPEN,60,640,689,143,87,0,No
Complete,OPEN,44,514,787,38,71,0,No
Complete,OPEN,44,624,652,0,0,1,No
Complete,OPEN,0,777,705,132,140,0,No
Complete,OPEN,60,845,915,156,173,0,No
Complete,Bahawalpur,60,814,731,120,105,0,No
Complete,OPEN,50,581,643,124,101,0,No
NotComplete,OPEN,60,602,623,104,86,0,No
Complete,OPEN,50,816,872,172,159,0,No
Complete,OPEN,63,928,881,128,147,1,Yes
Complete,OPEN,51,814,733,126,104,0,No
Complete,OPEN,81,950,946,0,0,1,Yes
NotComplete,OPEN,0,885,792,179,123,0,No
Complete,OPEN,0,885,792,179,123,0,No
Complete,OPEN,56,864,912,157,172,1,No
Complete,OPEN,44,917,842,137,159,0,No
Complete,OPEN,50,767,891,176,140,0,No
Complete,OPEN,45,750,737,133,145,0,No
NotComplete,OPEN,49,760,746,0,0,0,No
NotComplete,OPEN,0,701,525,75,66,0,No
Complete,OPEN,0,916,795,119,151,0,No
Complete,OPEN,81,937,984,177,179,1,Yes
Complete,OPEN,52,607,782,134,44,0,No
Complete,OPEN,0,599,666,118,126,0,No
Complete,OPEN,52,853,821,157,174,0,No
Complete,OPEN,0,745,757,118,43,0,No
NotComplete,OPEN,41,613,579,113,44,0,No
Complete,OPEN,64,839,863,152,156,0,No
Complete,OPEN,42,714,772,119,132,0,No
NotComplete,OPEN,57,798,816,124,158,0,No
NotComplete,OPEN,55,847,891,156,180,0,No
Complete,OPEN,46,856,841,134,153,0,No
Complete,OPEN,21,664,644,102,34,0,No
Complete,OPEN,57,748,651,44,22,0,No
Complete,OPEN,0,836,829,160,158,0,No
Complete,OPEN,53,867,887,0,0,0,No
Complete,Bahawalpur,44,710,801,148,127,0,No
NotComplete,OPEN,47,901,841,0,0,0,No
Complete,OPEN,0,700,713,131,130,0,No
Complete,OPEN,0,861,702,109,128,0,No
Complete,OPEN,52,942,863,161,164,0,No
Complete,OPEN,52,672,839,148,137,0,No
NotComplete,OPEN,56,692,879,0,0,0,No
Complete,OPEN,0,0,0,0,0,0,No
Complete,OPEN,63,887,831,143,135,0,No
NotComplete,OPEN,0,879,757,142,121,0,No
Complete,OPEN,53,925,557,108,0,0,No
Complete,OPEN,0,682,770,79,96,0,No
Complete,OPEN,0,752,797,89,108,0,No
NotComplete,OPEN,0,816,846,139,45,0,No
NotComplete,OPEN,62,876,916,172,150,0,No
Complete,Bahawalpur,0,861,820,114,46,0,No
Complete,OPEN,60,793,826,147,153,0,No
NotComplete,OPEN,34,693,603,95,96,0,No
Complete,OPEN,0,857,677,130,40,0,No
Complete,Bahawalpur,58,693,731,137,126,0,No
Complete,OPEN,51,870,882,43,47,0,No
Complete,OPEN,44,887,772,124,141,0,No
Complete,OPEN,0,691,698,152,88,0,No
NotComplete,OPEN,55,903,897,0,0,0,No
NotComplete,OPEN,0,834,667,143,101,0,No
Complete,OPEN,53,733,820,162,161,0,No
Complete,OPEN,42,872,732,108,113,0,No
Complete,OPEN,0,743,757,138,107,0,No
Complete,OPEN,57,800,857,150,146,0,No
NotComplete,OPEN,0,829,717,142,41,0,No
Complete,OPEN,69,926,866,170,125,0,No
Complete,OPEN,0,735,696,108,131,0,No
Complete,OPEN,68,954,951,173,191,1,Yes
Complete,OPEN,0,798,725,150,106,0,No
Complete,OPEN,59,672,803,166,141,0,No
Complete,Bahawalpur,46,450,522,126,77,0,No
NotComplete,OPEN,70,792,639,0,0,0,No
NotComplete,OPEN,54,928,920,176,183,0,No
NotComplete,OPEN,0,910,789,149,166,0,No
Complete,OPEN,50,705,690,96,42,0,No
Complete,OPEN,0,742,834,43,43,0,No
NotComplete,OPEN,0,819,702,0,0,0,No
NotComplete,OPEN,13,800,698,52,66,0,No
Complete,OPEN,0,819,651,120,78,0,No
NotComplete,OPEN,0,732,795,130,111,0,No
NotComplete,OPEN,0,801,782,132,126,0,No
Complete,OPEN,48,813,817,140,43,0,No
NotComplete,OPEN,0,734,765,0,0,0,No
NotComplete,OPEN,0,692,712,142,107,0,No
Complete,OPEN,0,664,687,133,86,0,No
NotComplete,OPEN,51,907,833,135,166,0,No
Complete,OPEN,0,763,782,0,0,0,No
NotComplete,OPEN,0,765,734,105,110,0,No
Complete,OPEN,0,859,827,0,0,0,No
Complete,OPEN,34,693,858,124,42,1,No
Complete,OPEN,0,688,739,140,121,0,No
Complete,OPEN,0,740,669,135,150,1,No
