Application Status,Domicile,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 3,Document Verified,Offered
Complete,Bahawalpur,51,723,543,70,71,0,No
Complete,Bahawalpur,53,957,914,170,160,0,No
NotComplete,Bahawalpur,52,776,783,136,128,0,No
NotComplete,Bahawalpur,54,705,677,151,109,0,No
Complete,Bahawalpur,0,709,730,161,120,0,No
Complete,Bahawalpur,49,820,859,151,132,1,Yes
Complete,Bahawalpur,28,637,840,170,130,0,No
NotComplete,Bahawalpur,52,935,862,161,149,0,No
Complete,Bahawalpur,48,655,701,122,141,0,No
Complete,Bahawalpur,0,763,844,143,48,1,Yes
Complete,Bahawalpur,73,924,841,165,147,0,No
Complete,Bahawalpur,48,843,836,110,38,0,No
Complete,Bahawalpur,68,877,825,138,131,0,No
NotComplete,Bahawalpur,0,574,714,153,121,0,No
Complete,Bahawalpur,46,834,883,122,42,1,Yes
NotComplete,Bahawalpur,55,881,802,147,139,0,No
Complete,Bahawalpur,47,633,559,97,69,0,No
Complete,Bahawalpur,54,704,698,115,37,0,No
Complete,Bahawalpur,54,870,843,139,44,1,Yes
Complete,Bahawalpur,0,660,805,46,74,0,No
NotComplete,Bahawalpur,0,697,635,130,106,0,No
Complete,Bahawalpur,44,746,825,0,0,0,No
Complete,Bahawalpur,53,882,850,129,40,1,Yes
Complete,Bahawalpur,46,840,811,139,37,0,No
Complete,Bahawalpur,36,600,508,75,91,0,No
Complete,Bahawalpur,44,739,811,145,146,0,No
Complete,Bahawalpur,57,919,863,131,184,0,No
Complete,Bahawalpur,51,932,715,130,89,0,No
Complete,Bahawalpur,53,838,819,122,146,0,No
Complete,Bahawalpur,50,612,553,94,99,0,No
Complete,Bahawalpur,50,612,553,94,99,0,No
NotComplete,Bahawalpur,59,743,848,154,132,0,No
NotComplete,Bahawalpur,79,885,974,0,0,0,No
Complete,Bahawalpur,51,860,819,152,138,0,No
Complete,OPEN,53,963,914,189,172,1,Yes
Complete,Bahawalpur,76,897,896,0,0,0,No
Complete,Bahawalpur,58,896,871,135,45,0,No
NotComplete,Bahawalpur,35,721,639,131,93,0,No
NotComplete,Bahawalpur,44,553,448,68,82,0,No
Complete,Bahawalpur,53,942,919,141,43,0,No
Complete,Bahawalpur,87,941,982,185,188,1,Yes
Complete,Bahawalpur,34,669,626,102,110,0,No
Complete,Bahawalpur,58,883,865,155,190,1,Yes
NotComplete,Bahawalpur,45,607,492,78,27,0,No
Complete,Bahawalpur,42,698,830,40,0,0,No
Complete,Bahawalpur,43,834,802,170,32,0,No
Complete,Bahawalpur,46,770,849,0,0,1,No
Complete,Bahawalpur,62,962,962,155,185,0,No
NotComplete,Bahawalpur,73,936,918,180,173,0,No
NotComplete,Bahawalpur,64,834,955,179,173,0,No
Complete,Bahawalpur,54,823,652,137,97,0,No
Complete,Bahawalpur,52,718,710,105,123,0,No
NotComplete,Bahawalpur,0,721,642,114,91,0,No
NotComplete,Bahawalpur,66,723,691,0,0,0,No
Complete,Bahawalpur,63,886,870,161,174,1,Yes
Complete,Bahawalpur,51,732,744,95,130,0,No
Complete,Bahawalpur,53,742,665,91,125,0,No
NotComplete,Bahawalpur,60,672,670,107,142,0,No
Complete,Bahawalpur,46,734,775,139,44,0,No
Complete,Bahawalpur,49,659,485,82,79,0,No
Complete,Bahawalpur,56,840,861,159,145,0,No
Complete,Bahawalpur,53,629,640,131,39,0,No
Complete,Bahawalpur,0,532,471,86,68,0,No
Complete,Bahawalpur,58,862,863,120,194,1,Yes
Complete,Bahawalpur,44,707,600,0,0,1,Yes
Complete,Bahawalpur,61,867,754,154,142,0,No
NotComplete,Bahawalpur,0,742,594,114,109,0,No
Complete,Bahawalpur,52,872,832,142,46,0,No
Complete,Bahawalpur,49,806,793,171,0,0,No
Complete,Bahawalpur,59,874,864,116,41,1,Yes
Complete,Bahawalpur,49,888,869,164,156,0,No
Complete,Bahawalpur,82,910,946,185,175,1,Yes
Complete,Bahawalpur,46,947,881,153,164,0,No
Complete,Bahawalpur,63,882,957,177,169,0,No
Complete,Bahawalpur,0,690,616,128,106,1,Yes
Complete,Bahawalpur,64,776,648,105,40,0,No
Complete,Bahawalpur,54,753,627,136,100,0,No
Complete,Bahawalpur,67,958,911,165,169,0,No
NotComplete,Bahawalpur,0,817,722,0,0,0,No
Complete,Bahawalpur,49,577,598,106,33,0,No
Complete,Bahawalpur,62,901,838,177,128,0,No
Complete,Bahawalpur,48,726,670,118,129,0,No
Complete,Bahawalpur,45,577,657,0,0,0,No
Complete,Bahawalpur,51,818,907,157,175,0,No
NotComplete,Bahawalpur,65,943,888,0,0,0,No
Complete,Bahawalpur,51,611,671,111,101,0,No
Complete,Bahawalpur,63,806,776,149,117,0,No
Complete,Bahawalpur,20,895,846,0,0,0,No
NotComplete,Bahawalpur,84,895,982,174,188,0,No
Complete,Bahawalpur,71,749,770,166,111,0,No
NotComplete,Bahawalpur,47,577,850,128,114,0,No
Complete,Bahawalpur,47,897,740,140,113,0,No
NotComplete,Bahawalpur,55,743,700,122,138,0,No
Complete,Bahawalpur,52,790,602,116,87,0,No
NotComplete,Bahawalpur,0,756,735,0,0,0,No
NotComplete,Bahawalpur,44,907,701,115,137,0,No
Complete,Bahawalpur,0,610,797,77,142,0,No
Complete,Bahawalpur,0,718,643,101,103,0,No
Complete,Bahawalpur,53,716,650,139,123,0,No
Complete,Bahawalpur,52,712,736,0,0,0,No
Complete,Bahawalpur,47,774,877,161,154,0,No
Complete,OPEN,66,836,790,158,107,0,No
Complete,Bahawalpur,48,788,644,79,114,0,No
NotComplete,Bahawalpur,46,843,717,136,118,0,No
Complete,Bahawalpur,44,700,645,116,109,0,No
Complete,Bahawalpur,0,687,683,129,122,0,No
Complete,Bahawalpur,52,710,657,113,98,0,No
Complete,Bahawalpur,44,791,674,132,137,0,No
Complete,Bahawalpur,0,801,606,113,92,0,No
NotComplete,Bahawalpur,43,862,789,0,0,0,No
NotComplete,Bahawalpur,0,716,769,0,0,0,No
Complete,Bahawalpur,54,826,748,149,46,0,No
Complete,Bahawalpur,50,959,917,167,174,1,Yes
Complete,Bahawalpur,44,908,796,165,162,0,No
Complete,OPEN,50,846,680,123,98,0,No
NotComplete,Bahawalpur,43,945,700,148,120,0,No
Complete,Bahawalpur,51,850,796,146,133,0,No
Complete,Bahawalpur,74,939,971,150,178,1,Yes
Complete,Bahawalpur,54,880,850,152,45,0,No
NotComplete,Bahawalpur,54,738,834,0,0,0,No
Complete,Bahawalpur,52,786,803,92,35,0,No
Complete,Bahawalpur,45,760,736,108,153,0,No
Complete,Bahawalpur,49,684,691,81,136,0,No
Complete,Bahawalpur,62,726,886,167,185,0,No
Complete,Bahawalpur,0,732,639,123,98,0,No
Complete,Bahawalpur,0,915,828,139,165,0,No
Complete,Bahawalpur,54,815,818,168,159,0,No
NotComplete,Bahawalpur,53,710,790,147,108,0,No
Complete,Bahawalpur,50,727,863,159,153,1,Yes
Complete,Bahawalpur,0,714,585,110,119,0,No
Complete,Bahawalpur,0,905,811,151,143,0,No
Complete,Bahawalpur,0,731,731,111,108,0,No
Complete,Bahawalpur,50,756,828,139,135,0,No
Complete,Bahawalpur,50,661,552,124,36,0,No
Complete,Bahawalpur,49,714,769,130,144,0,No
Complete,Bahawalpur,53,728,677,103,117,0,No
Complete,Bahawalpur,51,610,637,103,91,0,No
Complete,Bahawalpur,66,912,895,160,153,1,Yes
Complete,Bahawalpur,51,960,845,144,43,1,Yes
Complete,Bahawalpur,57,791,838,142,169,0,No
Complete,Bahawalpur,30,673,892,79,86,0,No
Complete,Bahawalpur,56,890,814,163,145,0,No
Complete,Bahawalpur,48,819,703,102,45,0,No
Complete,Bahawalpur,56,940,815,158,143,0,No
Complete,Bahawalpur,48,748,753,125,142,0,No
Complete,Bahawalpur,47,721,701,149,46,1,Yes
NotComplete,Bahawalpur,49,678,633,101,110,0,No
Complete,Bahawalpur,58,705,799,102,130,0,No
Complete,Bahawalpur,85,850,868,164,166,1,Yes
Complete,Bahawalpur,58,785,756,104,119,0,No
Complete,Bahawalpur,62,798,760,160,45,0,No
Complete,Bahawalpur,44,872,867,168,169,0,No
Complete,Bahawalpur,52,916,909,164,155,0,No
NotComplete,Bahawalpur,43,733,729,117,116,0,No
Complete,Bahawalpur,40,779,726,115,126,0,No
Complete,Bahawalpur,84,957,978,173,179,0,No
Complete,Bahawalpur,56,833,637,124,128,1,Yes
Complete,Bahawalpur,44,813,829,163,142,0,No
NotComplete,Bahawalpur,54,738,824,150,172,0,No
Complete,Bahawalpur,0,878,950,162,185,1,Yes
Complete,Bahawalpur,48,726,832,147,38,0,No
Complete,Bahawalpur,50,890,837,169,42,0,No
Complete,Bahawalpur,57,972,842,0,0,1,No
Complete,Bahawalpur,27,567,582,81,75,0,No
Complete,Bahawalpur,0,811,885,148,170,1,Yes
NotComplete,Bahawalpur,47,890,845,0,0,0,No
Complete,Bahawalpur,0,767,675,0,0,0,No
Complete,Bahawalpur,55,793,698,150,123,0,No
NotComplete,Bahawalpur,59,924,854,0,0,0,No
Complete,Bahawalpur,62,618,689,84,123,0,No
Complete,Bahawalpur,54,762,662,144,145,0,No
Complete,Bahawalpur,47,780,745,145,0,0,No
Complete,Bahawalpur,50,969,849,147,155,1,Yes
Complete,Bahawalpur,53,882,931,135,118,0,No
Complete,Bahawalpur,0,728,805,154,48,0,No
Complete,Bahawalpur,50,848,777,157,148,0,No
NotComplete,Bahawalpur,54,851,813,160,139,0,No
Complete,Bahawalpur,0,843,858,131,145,1,Yes
Complete,Bahawalpur,0,683,476,66,25,0,No
Complete,Bahawalpur,60,890,760,131,135,0,No
Complete,Bahawalpur,59,932,902,145,182,1,Yes
Complete,Bahawalpur,51,730,755,145,149,0,No
NotComplete,Bahawalpur,57,705,689,139,98,0,No
Complete,Bahawalpur,0,629,633,103,121,0,No
Complete,Bahawalpur,66,883,852,191,176,1,Yes
Complete,Bahawalpur,68,887,699,0,0,0,No
Complete,Bahawalpur,0,828,819,135,121,0,No
Complete,Bahawalpur,57,953,883,177,153,0,No
Complete,Bahawalpur,42,832,755,134,48,0,No
Complete,Bahawalpur,61,841,685,104,131,0,No
NotComplete,Bahawalpur,58,906,928,179,177,0,No
Complete,Bahawalpur,47,895,890,144,179,0,No
NotComplete,Bahawalpur,0,903,770,152,128,0,No
Complete,Bahawalpur,77,879,979,182,178,1,Yes
Complete,Bahawalpur,47,726,662,133,103,0,No
Complete,Bahawalpur,47,800,726,154,36,0,No
Complete,Bahawalpur,65,636,618,126,108,0,No
Complete,Bahawalpur,42,810,757,135,136,0,No
Complete,Bahawalpur,54,547,696,153,126,0,No
NotComplete,Bahawalpur,0,816,783,147,122,0,No
Complete,Bahawalpur,41,808,880,133,164,1,Yes
Complete,Bahawalpur,50,756,643,110,105,0,No
Complete,Bahawalpur,0,725,746,123,98,0,No
Complete,Bahawalpur,62,847,862,151,175,1,Yes
Complete,Bahawalpur,48,772,788,163,136,0,No
NotComplete,Bahawalpur,49,759,824,0,0,0,No
NotComplete,Bahawalpur,49,644,731,84,153,0,No
Complete,Bahawalpur,52,877,897,123,171,1,Yes
Complete,Bahawalpur,60,898,951,167,174,1,Yes
Complete,Bahawalpur,47,719,606,119,64,0,No
Complete,Bahawalpur,0,867,726,134,106,0,No
Complete,Bahawalpur,64,876,891,141,45,0,No
Complete,Bahawalpur,0,662,709,144,80,0,No
Complete,Bahawalpur,38,702,651,102,100,1,Yes
Complete,Bahawalpur,51,774,658,89,107,0,No
Complete,Bahawalpur,58,745,902,173,149,0,No
Complete,Bahawalpur,58,840,782,156,148,0,No
Complete,Bahawalpur,0,687,630,96,102,0,No
Complete,Bahawalpur,50,674,881,143,163,1,Yes
Complete,Bahawalpur,67,960,958,180,194,1,Yes
Complete,Bahawalpur,47,727,747,168,115,0,No
Complete,Bahawalpur,52,746,827,0,0,0,No
Complete,Bahawalpur,54,701,765,148,142,0,No
Complete,OPEN,0,709,684,135,110,0,No
