Application Status,Admission Test 2,SSC,Terminal Degree,Document Verified,English Marks,Offered
Complete,0,907,786,1,155,No
Complete,0,680,579,0,110,No
Complete,0,749,695,0,158,No
NotComplete,0,659,645,0,0,No
Complete,0,743,625,0,127,No
Complete,0,871,791,1,156,Yes
Complete,0,610,507,1,114,No
Complete,0,866,760,0,134,No
Complete,0,722,661,0,110,No
Complete,0,888,816,0,129,No
Complete,0,803,661,0,111,No
Complete,0,806,583,0,111,No
Complete,0,809,662,0,104,No
Complete,0,802,727,0,170,No
Complete,0,784,740,0,120,No
Complete,0,730,552,0,100,No
Complete,0,605,497,0,68,No
Complete,0,813,750,1,158,No
Complete,39,669,812,1,147,Yes
NotComplete,0,706,544,0,105,No
Complete,0,582,657,0,100,No
Complete,0,815,719,0,138,No
Complete,0,743,543,0,0,No
Complete,19,682,626,0,102,No
Complete,0,881,795,1,174,Yes
Complete,0,650,727,0,164,No
Complete,0,629,640,0,131,No
Complete,0,781,612,0,112,No
Complete,0,532,471,0,86,No
Complete,0,596,564,0,114,No
Complete,0,640,597,0,110,No
Complete,0,552,781,0,102,No
Complete,0,513,451,0,73,No
Complete,0,867,754,0,154,No
Complete,0,690,740,0,91,No
Complete,0,603,719,0,103,No
Complete,0,742,594,0,114,No
NotComplete,30,788,768,0,0,No
Complete,0,731,677,0,137,No
Complete,0,714,699,0,158,No
Complete,0,651,565,0,100,No
Complete,0,802,889,0,165,No
NotComplete,0,782,651,0,157,No
Complete,0,512,556,0,105,No
Complete,0,888,869,1,159,Yes
Complete,0,843,571,0,72,No
Complete,0,791,744,1,159,No
Complete,0,690,616,1,123,No
Complete,0,654,510,0,100,No
Complete,0,776,648,0,105,No
Complete,0,753,627,0,100,No
Complete,0,878,727,0,151,No
Complete,0,535,631,0,124,No
Complete,53,763,836,0,149,No
Complete,49,943,980,1,175,Yes
Complete,0,770,648,1,149,No
Complete,0,629,585,0,132,No
NotComplete,0,611,545,0,102,No
Complete,0,846,770,0,139,No
Complete,0,832,670,0,106,No
Complete,0,643,641,0,135,No
Complete,0,678,505,0,0,No
NotComplete,0,845,619,0,118,No
Complete,0,720,805,0,40,No
Complete,0,725,775,0,135,No
Complete,0,649,658,0,0,No
Complete,0,799,757,0,144,No
Complete,0,769,625,0,108,No
Complete,0,735,633,1,113,No
Complete,0,553,583,0,67,No
Complete,0,708,541,0,62,No
NotComplete,0,641,596,0,143,No
NotComplete,0,753,542,0,112,No
NotComplete,0,552,556,0,64,No
Complete,0,775,724,0,157,No
Complete,0,931,850,1,176,Yes
Complete,0,643,555,0,109,No
NotComplete,0,554,567,0,118,No
NotComplete,0,526,506,0,0,No
Complete,0,849,841,1,173,Yes
Complete,0,611,671,0,111,No
Complete,0,819,798,0,158,No
Complete,0,660,622,0,127,No
NotComplete,0,714,553,0,130,No
Complete,0,770,745,0,123,No
Complete,0,760,733,0,117,No
Complete,0,764,730,0,129,No
Complete,82,970,975,1,162,Yes
NotComplete,0,796,738,0,142,No
Complete,0,857,800,0,146,No
Complete,0,850,786,1,139,No
Complete,0,747,738,0,139,No
Complete,0,581,740,0,118,No
Complete,0,752,597,0,95,No
Complete,0,802,627,0,0,No
Complete,26,841,647,1,112,No
Complete,78,848,937,1,162,Yes
Complete,0,618,552,0,90,No
NotComplete,0,827,741,0,141,No
Complete,0,687,576,0,98,No
Complete,0,822,758,1,166,No
NotComplete,0,663,670,0,72,No
Complete,66,886,885,1,166,Yes
Complete,0,757,573,0,128,No
NotComplete,0,718,782,0,139,No
Complete,0,817,787,1,148,No
Complete,0,616,543,0,112,No
Complete,0,743,700,0,122,No
Complete,0,650,593,0,0,No
Complete,0,855,687,0,135,No
Complete,0,790,602,0,116,No
Complete,0,735,857,0,57,No
Complete,0,652,670,0,112,No
Complete,0,800,642,0,140,No
NotComplete,0,907,701,0,112,No
Complete,0,718,643,0,101,No
Complete,0,826,690,0,118,No
NotComplete,0,529,519,0,0,No
Complete,0,576,788,1,129,No
Complete,0,716,650,0,139,No
NotComplete,0,843,717,0,138,No
Complete,0,972,879,1,166,Yes
Complete,47,925,898,0,179,No
NotComplete,0,541,554,0,0,No
Complete,0,954,830,1,142,Yes
NotComplete,0,866,681,0,142,No
Complete,0,944,934,1,164,Yes
NotComplete,0,729,602,0,132,No
Complete,0,838,704,0,144,No
Complete,0,614,622,0,123,No
Complete,0,705,647,0,133,No
Complete,0,521,660,0,72,No
Complete,0,908,796,1,165,Yes
Complete,0,943,694,0,143,No
Complete,0,705,693,0,0,No
Complete,0,846,688,0,143,No
NotComplete,74,939,971,0,150,No
Complete,0,676,639,0,122,No
Complete,0,961,972,1,181,Yes
NotComplete,0,788,596,0,141,No
Complete,0,760,736,0,108,No
Complete,0,735,656,0,72,No
NotComplete,27,794,825,0,144,No
Complete,0,749,599,0,108,No
Complete,0,714,585,0,110,No
Complete,0,737,611,0,119,No
Complete,0,905,811,0,143,No
Complete,0,578,603,0,146,No
Complete,0,526,521,0,60,No
Complete,0,731,731,0,111,No
Complete,0,702,629,0,108,No
Complete,0,792,584,0,121,No
Complete,0,778,717,0,146,No
Complete,0,590,680,0,117,No
NotComplete,0,703,616,0,107,No
Complete,0,767,684,0,164,No
Complete,0,553,811,1,149,No
Complete,0,728,677,0,103,No
Complete,0,912,895,1,160,Yes
Complete,0,792,542,0,88,No
Complete,0,751,918,1,170,Yes
Complete,0,756,647,0,123,No
Complete,0,841,911,0,160,No
Complete,0,835,773,1,161,No
Complete,0,602,584,0,104,No
Complete,0,862,670,0,141,No
Complete,0,740,691,0,116,No
Complete,0,719,704,0,0,No
Complete,0,484,697,0,71,No
Complete,0,711,712,0,138,No
Complete,0,756,688,0,135,No
Complete,0,819,703,0,102,No
Complete,0,660,775,0,98,No
Complete,0,928,689,0,137,No
Complete,0,608,633,0,147,No
Complete,0,846,688,0,0,No
Complete,0,907,786,1,0,No
Complete,0,718,643,0,0,No
NotComplete,0,663,670,0,0,No
Complete,0,576,788,1,0,No
Complete,0,770,745,0,0,No
Complete,0,680,579,0,0,No
Complete,0,667,576,0,128,No
NotComplete,21,748,753,0,129,No
Complete,0,542,619,0,140,No
Complete,0,630,634,0,124,No
NotComplete,0,687,689,0,97,No
Complete,0,885,814,0,147,No
Complete,0,907,921,0,161,No
Complete,0,624,604,0,0,No
Complete,69,941,973,1,172,Yes
Complete,0,778,681,0,0,No
NotComplete,0,738,585,0,104,No
NotComplete,0,557,526,0,99,No
NotComplete,59,948,897,0,0,No
NotComplete,0,661,544,0,0,No
NotComplete,0,601,659,0,72,No
Complete,0,716,643,0,119,No
Complete,0,712,623,0,164,No
NotComplete,0,657,533,0,90,No
Complete,0,710,604,0,0,No
Complete,0,705,628,0,99,No
NotComplete,0,632,516,0,133,No
Complete,0,865,783,0,156,No
Complete,0,914,852,0,161,No
Complete,0,705,652,0,111,No
Complete,0,855,633,0,111,No
Complete,0,777,629,0,115,No
Complete,0,811,627,0,134,No
Complete,0,737,788,0,145,No
Complete,0,780,567,0,127,No
Complete,0,904,853,1,158,Yes
Complete,0,635,485,0,94,No
Complete,0,622,495,0,101,No
NotComplete,0,779,612,0,111,No
NotComplete,0,700,737,0,135,No
Complete,0,872,867,0,155,No
NotComplete,0,773,570,0,0,No
Complete,0,779,726,0,115,No
Complete,0,609,683,0,76,No
Complete,0,833,637,1,118,No
NotComplete,0,532,484,0,64,No
Complete,0,813,829,1,142,Yes
NotComplete,0,917,810,0,139,No
Complete,80,941,953,1,173,Yes
NotComplete,0,644,701,0,0,No
Complete,0,546,564,0,83,No
NotComplete,0,520,583,0,68,No
Complete,0,793,698,0,108,No
Complete,0,626,644,0,104,No
NotComplete,0,762,662,0,144,No
Complete,0,800,815,1,150,Yes
Complete,0,693,644,0,112,No
Complete,0,585,627,0,117,No
Complete,0,714,550,0,88,No
Complete,0,738,812,1,141,No
Complete,0,832,755,0,134,No
NotComplete,0,655,660,0,59,No
NotComplete,0,903,770,0,0,No
Complete,0,769,648,0,113,No
Complete,0,587,592,0,124,No
Complete,0,800,726,0,154,No
Complete,0,777,697,0,158,No
Complete,0,636,618,0,126,No
Complete,0,698,754,0,138,No
NotComplete,0,782,694,0,143,No
NotComplete,0,831,789,0,170,No
Complete,0,654,714,0,106,No
Complete,0,827,772,0,123,No
Complete,0,719,606,0,119,No
Complete,0,576,773,0,107,No
Complete,0,902,588,0,120,No
NotComplete,0,769,527,0,79,No
Complete,0,583,552,0,126,No
Complete,0,797,670,0,150,No
NotComplete,0,749,577,0,128,No
Complete,0,882,673,0,123,No
Complete,0,835,767,0,127,No
Complete,0,800,671,0,134,No
Complete,0,774,658,0,89,No
Complete,0,889,799,0,109,No
Complete,0,631,637,0,124,No
Complete,0,715,591,0,91,No
Complete,0,878,810,1,161,Yes
Complete,0,674,881,1,166,Yes
Complete,0,657,677,1,139,No
Complete,0,759,692,0,151,No
Complete,0,557,600,0,135,No
Complete,0,833,657,0,112,No
Complete,0,684,696,0,114,No
Complete,0,741,559,0,0,No
Complete,0,605,549,0,111,No
Complete,0,689,550,0,133,No
NotComplete,0,730,800,0,134,No
Complete,0,720,643,0,120,No
Complete,0,839,837,0,160,No
Complete,0,786,746,0,127,No
Complete,0,522,559,0,99,No
Complete,0,858,795,0,141,No
Complete,0,741,612,0,105,No
Complete,0,709,553,0,89,No
Complete,74,945,943,1,157,Yes
NotComplete,0,777,557,0,0,No
Complete,0,685,599,0,114,No
NotComplete,0,574,473,0,85,No
NotComplete,0,746,785,0,0,No
NotComplete,0,760,722,0,106,No
Complete,61,907,961,0,174,No
NotComplete,0,869,684,0,137,No
Complete,0,815,725,0,0,No
NotComplete,0,735,622,0,124,No
Complete,0,849,717,0,164,No
Complete,0,920,953,1,167,Yes
Complete,0,767,804,1,121,No
NotComplete,79,887,970,0,173,No
NotComplete,0,798,655,0,117,No
Complete,0,792,741,0,103,No
Complete,0,857,830,0,147,No
Complete,0,679,734,0,0,No
Complete,0,819,946,0,164,No
Complete,65,923,953,0,0,No
Complete,0,605,692,0,93,No
Complete,0,719,637,0,90,No
Complete,0,837,891,1,154,Yes
Complete,0,601,670,0,99,No
Complete,0,525,600,0,0,No
Complete,22,808,785,0,0,No
NotComplete,0,685,618,0,142,No
Complete,29,841,858,0,138,No
Complete,52,929,945,0,161,No
Complete,0,771,707,0,124,No
Complete,0,581,689,0,118,No
Complete,0,563,812,1,111,No
Complete,0,699,766,0,151,No
Complete,0,616,573,0,140,No
Complete,0,941,809,0,162,No
Complete,0,823,702,0,109,No
Complete,0,789,727,0,124,No
Complete,0,937,929,0,166,No
Complete,0,898,836,0,156,No
Complete,0,846,770,0,0,No
NotComplete,0,904,857,0,146,No
Complete,59,895,933,1,158,No
Complete,0,706,780,0,158,No
Complete,67,945,952,1,165,Yes
Complete,0,715,756,0,129,No
Complete,80,926,969,1,171,Yes
Complete,49,864,885,0,172,No
Complete,0,800,735,0,174,No
NotComplete,0,767,616,0,64,No
Complete,0,711,549,0,89,No
NotComplete,81,967,949,0,176,No
NotComplete,0,749,819,0,0,No
Complete,0,941,955,1,161,Yes
NotComplete,0,585,743,0,138,No
Complete,82,941,957,0,173,No
Complete,0,839,828,0,134,No
Complete,0,610,874,0,141,No
Complete,0,920,920,1,152,Yes
Complete,0,864,915,1,156,Yes
NotComplete,0,521,518,0,87,No
Complete,0,668,670,0,90,No
Complete,0,517,870,0,0,No
Complete,0,796,782,0,0,No
Complete,0,901,871,0,160,No
Complete,0,710,735,0,144,No
Complete,0,525,564,0,110,No
NotComplete,0,706,610,0,69,No
Complete,58,878,943,1,166,Yes
Complete,0,905,815,0,146,No
Complete,0,791,757,0,145,No
NotComplete,0,643,492,0,90,No
Complete,0,734,756,0,0,No
Complete,0,608,615,0,127,No
NotComplete,0,794,565,0,102,No
Complete,0,760,736,0,131,No
Complete,0,737,822,0,148,No
Complete,0,778,959,0,0,No
Complete,0,697,728,0,111,No
Complete,0,859,750,0,135,No
Complete,0,704,597,0,123,No
Complete,0,588,735,0,114,No
Complete,0,882,800,0,152,No
NotComplete,0,917,810,0,0,No
Complete,0,857,830,0,0,No
NotComplete,0,730,800,0,0,No
Complete,0,608,615,0,0,No
Complete,0,889,799,0,0,No
Complete,0,462,694,0,126,No
Complete,0,735,749,0,144,No
Complete,0,677,776,0,127,No
Complete,0,611,675,0,0,No
NotComplete,0,812,905,0,144,No
Complete,0,729,953,0,0,No
NotComplete,0,533,652,0,0,No
NotComplete,45,903,870,0,155,No
Complete,0,639,566,0,0,No
NotComplete,0,536,624,0,0,No
Complete,0,783,766,0,125,No
Complete,0,884,705,0,124,No
Complete,0,765,529,0,95,No
Complete,0,770,764,0,128,No
Complete,0,713,747,0,0,No
Complete,0,782,852,1,132,No
Complete,0,788,774,0,129,No
NotComplete,0,664,781,0,155,No
Complete,0,947,910,1,155,Yes
Complete,0,738,685,0,114,No
Complete,40,750,794,0,110,No
Complete,82,937,939,1,170,Yes
Complete,0,644,701,0,134,No
Complete,0,689,644,0,122,No
Complete,0,937,875,0,181,No
Complete,73,896,920,0,165,No
Complete,0,688,699,0,89,No
Complete,0,544,577,0,142,No
Complete,0,775,732,0,0,No
Complete,0,961,808,0,156,No
Complete,0,735,690,0,153,No
Complete,0,847,792,0,141,No
Complete,0,726,642,0,144,No
NotComplete,0,805,711,0,131,No
Complete,69,952,972,0,0,No
NotComplete,0,836,712,0,108,No
Complete,0,829,823,0,130,No
Complete,0,688,586,0,0,No
Complete,0,732,666,0,110,No
Complete,0,621,633,0,118,No
Complete,0,924,939,1,157,Yes
Complete,0,861,745,0,119,No
Complete,0,887,785,0,149,No
Complete,0,834,658,0,119,No
NotComplete,0,819,707,0,130,No
Complete,0,631,553,0,128,No
Complete,0,685,774,0,0,No
Complete,0,665,592,0,0,No
Complete,0,720,666,0,94,No
Complete,0,809,785,0,141,No
Complete,0,917,637,0,140,No
Complete,0,886,759,0,0,No
Complete,0,557,606,0,89,No
Complete,0,706,674,0,127,No
NotComplete,0,847,936,0,173,No
Complete,0,847,880,0,0,No
NotComplete,0,685,701,0,121,No
Complete,0,699,774,0,145,No
Complete,0,567,622,0,119,No
Complete,0,919,727,1,151,No
Complete,0,619,582,0,0,No
Complete,0,704,752,0,115,No
Complete,0,830,837,0,165,No
Complete,0,792,870,0,168,No
Complete,0,745,710,0,0,No
Complete,0,752,829,0,0,No
Complete,79,914,939,0,153,No
Complete,54,850,921,1,170,Yes
Complete,0,802,772,0,123,No
NotComplete,0,929,693,0,113,No
Complete,0,514,787,0,40,No
Complete,0,937,867,1,165,Yes
Complete,0,695,594,0,77,No
Complete,0,569,664,0,161,No
Complete,0,756,566,0,91,No
Complete,0,742,720,0,147,No
NotComplete,0,807,724,0,113,No
NotComplete,0,714,757,0,157,No
NotComplete,0,735,682,0,110,No
Complete,0,777,705,0,106,No
Complete,0,852,894,0,162,No
Complete,0,873,766,0,118,No
Complete,0,814,731,0,162,No
NotComplete,0,695,618,0,81,No
Complete,0,746,746,0,81,No
Complete,0,656,722,0,120,No
Complete,0,733,672,1,139,No
Complete,0,891,774,0,134,No
NotComplete,0,693,888,0,135,No
NotComplete,0,885,792,0,179,No
Complete,0,717,671,0,110,No
NotComplete,0,613,717,0,139,No
Complete,0,747,697,0,116,No
NotComplete,0,916,795,0,120,No
NotComplete,0,745,776,0,121,No
Complete,12,607,782,0,134,No
Complete,0,798,781,0,160,No
NotComplete,0,588,491,0,62,No
Complete,0,633,545,0,110,No
Complete,0,853,734,0,152,No
Complete,0,994,846,0,175,No
Complete,0,614,524,0,70,No
Complete,0,829,699,0,130,No
NotComplete,63,932,864,0,0,No
Complete,0,613,579,0,98,No
Complete,0,560,517,0,81,No
NotComplete,0,637,637,0,75,No
Complete,0,714,772,0,119,No
Complete,0,655,750,0,140,No
Complete,0,659,611,0,130,No
Complete,0,936,844,0,144,No
Complete,0,756,680,0,142,No
Complete,43,923,753,0,132,No
Complete,0,924,787,0,134,No
NotComplete,0,664,644,0,102,No
Complete,0,596,497,0,67,No
Complete,0,984,841,0,170,No
NotComplete,0,749,779,0,152,No
Complete,0,559,500,0,75,No
NotComplete,0,912,797,0,0,No
Complete,0,647,599,0,0,No
NotComplete,0,722,549,0,0,No
NotComplete,0,0,0,0,0,No
Complete,0,672,839,0,148,No
Complete,0,720,755,0,153,No
Complete,0,895,748,0,128,No
NotComplete,0,630,750,0,100,No
Complete,0,692,658,0,161,No
Complete,0,693,603,0,95,No
NotComplete,86,896,946,0,169,No
NotComplete,0,824,824,0,165,No
NotComplete,72,866,971,0,177,No
Complete,27,826,824,0,173,No
Complete,0,855,718,0,0,No
NotComplete,0,904,862,0,158,No
Complete,0,758,764,0,104,No
Complete,0,874,909,0,154,No
Complete,0,834,667,0,143,No
NotComplete,0,640,698,0,76,No
NotComplete,0,785,751,0,176,No
Complete,42,843,895,0,142,No
Complete,0,624,561,0,106,No
NotComplete,0,612,854,0,140,No
NotComplete,0,630,670,0,100,No
NotComplete,0,866,749,0,0,No
Complete,0,646,678,0,81,No
NotComplete,0,846,791,0,162,No
NotComplete,0,798,725,0,106,No
Complete,0,450,522,0,116,No
NotComplete,16,928,920,0,145,No
NotComplete,0,834,881,0,140,No
Complete,0,910,789,0,120,No
NotComplete,0,811,820,0,100,No
NotComplete,0,907,721,0,0,No
Complete,0,854,839,1,142,Yes
Complete,0,654,517,0,95,No
NotComplete,0,640,697,0,113,No
Complete,0,744,622,0,97,No
NotComplete,0,678,568,0,0,No
NotComplete,0,972,902,0,147,No
Complete,0,728,591,0,152,No
Complete,0,805,662,0,101,No
Complete,0,768,645,0,51,No
Complete,0,787,817,0,147,No
Complete,0,645,709,0,135,No
NotComplete,0,676,819,0,149,No
Complete,0,654,798,0,0,No
Complete,0,654,798,1,147,No
Complete,0,676,819,0,111,No
Complete,0,771,678,0,118,No
Complete,0,822,834,0,0,No
Complete,0,900,762,0,161,No
Complete,0,672,640,0,111,No
Complete,0,838,779,0,153,No
Complete,0,813,837,0,0,No
Complete,0,664,687,0,133,No
NotComplete,0,559,732,0,0,No
Complete,0,626,749,0,149,No
Complete,0,725,729,0,142,No
NotComplete,0,725,729,0,142,No
Complete,0,687,692,0,140,No
Complete,0,653,592,1,112,No
Complete,0,514,787,0,0,No
Complete,0,655,750,0,0,No
NotComplete,0,904,862,0,0,No
NotComplete,0,885,792,0,0,No
NotComplete,86,896,946,0,0,No
