Application Status,SSC,Admission Test,Terminal Degree,Document Verified,Offered
Complete,659,49,485,0,No
NotComplete,847,51,710,0,No
NotComplete,613,57,532,0,No
Complete,803,46,721,1,No
Complete,774,19,633,0,No
Complete,475,40,786,0,No
Complete,678,52,557,0,No
Complete,629,49,587,0,No
Complete,759,45,619,0,No
NotComplete,736,20,533,0,No
Complete,806,49,793,0,No
Complete,776,59,782,0,No
Complete,802,52,889,0,No
Complete,549,42,598,1,No
Complete,546,40,604,1,No
Complete,844,52,812,1,No
Complete,883,64,747,0,No
NotComplete,718,70,635,0,No
Complete,761,68,583,0,No
Complete,791,71,744,1,No
Complete,731,57,695,0,No
Complete,798,47,685,0,No
NotComplete,671,55,612,0,No
Complete,776,64,648,0,No
Complete,623,43,597,0,No
Complete,719,46,770,0,No
NotComplete,825,44,683,0,No
Complete,624,42,460,0,No
Complete,800,60,750,0,No
Complete,708,47,671,0,No
Complete,577,49,598,0,No
Complete,680,31,511,1,No
Complete,901,62,838,1,Yes
Complete,474,58,662,1,No
Complete,726,48,670,0,No
Complete,845,63,682,1,No
Complete,599,72,621,0,No
Complete,709,38,683,0,No
Complete,647,43,791,0,No
Complete,769,66,913,1,Yes
Complete,667,41,773,0,No
NotComplete,826,55,667,0,No
Complete,595,53,822,1,No
Complete,516,41,628,0,No
Complete,859,56,764,0,No
NotComplete,659,51,590,0,No
Complete,907,48,807,1,No
Complete,790,62,707,1,No
Complete,753,40,542,0,No
NotComplete,756,0,489,0,No
NotComplete,629,38,723,0,No
Complete,833,56,830,1,Yes
NotComplete,791,46,827,0,No
Complete,748,41,583,0,No
Complete,666,46,638,0,No
NotComplete,585,47,566,0,No
Complete,771,40,570,0,No
Complete,684,50,622,0,No
Complete,796,53,791,1,No
Complete,914,67,938,1,Yes
NotComplete,830,54,579,0,No
Complete,510,45,698,1,No
Complete,878,61,784,1,No
Complete,523,52,811,1,No
Complete,806,63,776,1,No
Complete,729,48,622,0,No
Complete,765,50,764,1,No
NotComplete,590,49,668,0,No
Complete,527,58,452,0,No
Complete,560,56,643,1,No
NotComplete,0,27,0,0,No
Complete,747,62,738,0,No
NotComplete,578,50,552,0,No
NotComplete,583,46,728,0,No
NotComplete,618,57,552,0,No
Complete,827,47,741,0,No
Complete,567,50,492,1,No
Complete,857,56,750,0,No
Complete,577,47,850,1,Yes
Complete,685,57,824,1,Yes
Complete,897,47,740,0,No
