Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered
Application Fee Received,1003,Bahawalpur,female,Punjab,65,0,907,943,0,0,0,0,0,0,0,No
Application Fee Received,1010.727,Bahawalpur,female,Punjab,78,78,848,937,46,162,46,187,162,0,0,No
Application Fee Received,995.636,Bahawalpur,male,Punjab,86,86,818,919,173,174,184,158,0,0,0,No
Application Fee Received,997.545,Bahawalpur,female,Punjab,62,62,924,940,0,0,0,0,0,0,0,No
Application Fee Received,948,Bahawalpur,male,Punjab,65,0,871,888,167,175,156,162,0,0,0,No
Admission Fee Challan Received,1024,Bahawalpur,female,Punjab,71,0,870,958,167,186,188,179,45,1,0,Yes
Challan Printed,831,Bahawalpur,female,Punjab,52,0,869,784,0,0,0,0,0,0,0,No
Application Fee Received,764,Bahawalpur,female,Punjab,32,32,681,769,135,147,122,133,0,0,0,No
Application Fee Received,921.455,Bahawalpur,male,Punjab,77,77,929,849,164,156,152,153,48,0,0,No
Application Fee Received,1030.455,Bahawalpur,female,Punjab,87,87,926,953,0,0,0,0,0,1,0,Yes
Application Fee Received,1032.091,Bahawalpur,female,Punjab,76,76,971,961,173,165,193,45,178,0,0,No
Admission Fee Challan Received,1026.909,Bahawalpur,female,Punjab,75,75,819,956,172,45,45,180,177,1,0,Yes
Application Fee Received,760,Bahawalpur,male,Punjab,44,0,907,701,115,45,137,45,123,0,0,No
Application Fee Received,943,Bahawalpur,male,Punjab,64,64,899,884,163,161,152,0,175,0,0,No
Application Fee Received,959.364,Bahawalpur,male,Punjab,79,79,851,890,178,156,139,0,174,0,0,No
Challan Printed,905,Bahawalpur,female,Punjab,37,0,914,873,163,39,182,149,150,0,0,No
Application Fee Received,853,Bahawalpur,male,Punjab,46,0,899,817,141,159,137,160,0,0,0,No
Application Fee Received,909,Bahawalpur,female,Punjab,49,0,793,865,168,147,38,154,41,0,0,No
Application Fee Received,919,Bahawalpur,female,Punjab,47,0,774,877,161,43,154,44,161,0,0,No
Application Fee Received,758,Bahawalpur,female,Punjab,46,0,843,717,136,138,118,43,124,0,0,No
Application Fee Received,934,Bahawalpur,female,Punjab,60,0,972,879,166,154,152,173,0,0,0,No
Challan Printed,940.091,Bahawalpur,female,Punjab,47,47,925,898,179,148,153,176,0,0,0,No
Challan Printed,860,Bahawalpur,male,Punjab,55,0,861,810,134,144,140,141,46,0,0,No
Application Fee Received,972,Bahawalpur,female,Punjab,52,0,935,930,180,187,176,140,89,0,0,No
Application Fee Received,890,Bahawalpur,female,Punjab,48,0,923,847,173,136,150,150,0,0,0,No
Application Fee Received,989,Bahawalpur,female,Punjab,65,0,982,929,0,0,0,0,0,0,0,No
Application Received,971,Bahawalpur,female,Punjab,63,0,924,923,162,164,171,186,0,0,0,No
Application Fee Received,844,Bahawalpur,female,Punjab,47,0,814,802,170,135,146,41,28,0,0,No
Application Fee Received,992,Bahawalpur,female,Punjab,63,0,944,934,172,174,170,164,0,0,0,No
Application Fee Received,797,Bahawalpur,female,Punjab,54,0,826,748,149,122,46,102,44,0,0,No
Application Fee Received,962,Bahawalpur,female,Punjab,50,0,959,917,167,173,174,154,0,0,0,No
Application Fee Received,1021.636,Bahawalpur,female,Punjab,69,69,937,957,149,185,185,179,46,1,0,Yes
Application Fee Received,965,Bahawalpur,female,Punjab,50,0,933,920,178,178,177,0,155,0,0,No
Application Fee Received,928.636,Bahawalpur,male,Punjab,56,56,945,877,156,151,155,170,0,0,0,No
Application Fee Received,730,Bahawalpur,male,Punjab,47,0,846,688,143,101,102,131,37,0,0,No
Application Fee Received,1040.273,Bahawalpur,male,Punjab,74,74,939,971,150,182,178,0,0,1,0,Yes
Application Received,523.636,Bahawalpur,male,Punjab,70,70,596,483,123,0,123,0,0,0,0,No
Application Fee Received,911,Bahawalpur,female,Punjab,57,0,919,859,164,165,133,161,39,0,0,No
Challan Printed,890,Bahawalpur,female,Punjab,50,27,794,825,167,165,145,144,40,0,0,No
Application Fee Received,927,Bahawalpur,female,Punjab,51,0,806,861,162,137,153,165,0,0,0,No
Application Fee Received,956,Bahawalpur,male,Punjab,52,52,898,909,164,150,166,178,47,0,0,No
Application Fee Received,937,Bahawalpur,male,Punjab,57,56,897,885,149,142,177,0,167,0,0,No
Application Fee Received,949,Bahawalpur,female,Punjab,52,0,886,902,165,147,186,35,172,0,0,No
Application Fee Received,1014,Bahawalpur,female,Punjab,79,0,958,945,167,183,167,177,46,0,0,No
Application Fee Received,955,Bahawalpur,female,Punjab,54,0,841,911,160,178,151,174,0,0,0,No
Application Fee Received,931,Bahawalpur,female,Punjab,57,0,880,879,166,155,169,45,157,0,0,No
Application Fee Received,909.182,Bahawalpur,male,Punjab,55,55,758,864,145,148,167,146,45,0,0,No
Application Fee Received,746,Bahawalpur,female,Punjab,48,0,819,703,102,42,45,146,132,0,0,No
Application Fee Received,963,Bahawalpur,female,Punjab,61,0,918,907,0,0,0,0,0,0,0,No
Admission Fee Challan Received,1054.909,Bahawalpur,male,Punjab,84,84,953,980,185,174,192,44,178,1,0,Yes
Admission Fee Challan Received,856,Bahawalpur,female,Punjab,57,0,885,814,147,44,133,148,164,1,0,No
Admission Fee Challan Received,1037.545,Bahawalpur,female,Punjab,69,69,941,973,191,184,174,172,0,1,0,Yes
Application Fee Received,809,Bahawalpur,female,Punjab,58,0,785,756,104,106,119,145,88,0,0,No
Application Fee Received,966,Bahawalpur,female,Punjab,59,0,949,912,0,0,0,0,0,0,0,No
Application Fee Received,994.091,Bahawalpur,female,Punjab,69,69,922,930,165,46,185,47,153,0,0,No
Application Fee Received,981,Bahawalpur,female,Punjab,63,0,950,928,160,42,181,180,172,0,0,No
Application Fee Received,881,Bahawalpur,male,Punjab,48,0,826,838,127,49,44,168,166,0,0,No
Application Fee Received,742,Bahawalpur,female,Punjab,56,0,670,691,110,110,103,132,42,0,0,No
Challan Printed,1000.727,Bahawalpur,male,Punjab,78,78,903,927,180,42,147,190,191,0,0,No
Application Received,700,Bahawalpur,female,Punjab,45,0,831,670,99,122,134,45,38,0,0,No
Application Fee Received,907,Bahawalpur,female,Punjab,58,0,869,854,164,163,132,173,45,0,0,No
Application Fee Received,673,Bahawalpur,male,Punjab,42,0,699,636,105,33,41,108,99,0,0,No
Application Fee Received,844.636,Bahawalpur,male,Punjab,45,45,900,804,128,38,162,139,172,0,0,No
Application Fee Received,688,Bahawalpur,female,Punjab,41,0,705,652,124,91,133,111,42,0,0,No
Application Fee Received,766,Bahawalpur,female,Punjab,44,0,748,727,152,123,131,0,113,0,0,No
Application Fee Received,952,Bahawalpur,male,Punjab,44,0,931,913,164,175,163,165,46,0,0,No
Application Received,829,Bahawalpur,male,Punjab,60,0,784,774,145,139,166,47,115,0,0,No
Application Fee Received,956,Bahawalpur,female,Punjab,52,0,916,909,164,179,155,171,45,0,0,No
Application Fee Received,767,Bahawalpur,female,Punjab,43,0,733,729,117,128,116,45,143,0,0,No
Application Fee Received,844,Bahawalpur,male,Punjab,47,0,894,802,0,0,0,0,0,0,0,No
Application Fee Received,1001.364,Bahawalpur,male,Punjab,74,74,952,937,167,0,164,0,183,0,0,No
Application Fee Received,932,Bahawalpur,male,Punjab,43,0,803,894,0,0,0,0,0,0,0,No
Application Fee Received,1052.182,Bahawalpur,female,Punjab,84,84,957,978,173,188,179,186,179,0,0,No
Application Fee Received,931,Bahawalpur,female,Punjab,62,0,910,874,0,0,0,0,0,0,0,No
Application Fee Received,873.909,Bahawalpur,male,Punjab,54,54,738,824,150,43,172,117,153,0,0,No
Application Fee Received,1023.091,Bahawalpur,female,Punjab,80,80,941,953,195,173,173,0,193,1,0,Yes
Application Fee Received,928,Bahawalpur,female,Punjab,51,0,740,862,176,43,152,131,177,0,0,No
Application Fee Received,933,Bahawalpur,female,Punjab,58,0,902,880,131,46,35,170,170,0,0,No
Application Fee Received,815,Bahawalpur,female,Punjab,47,0,875,773,137,110,136,0,0,0,0,No
Application Fee Received,1039.818,Bahawalpur,female,Punjab,84,84,927,965,0,0,0,0,0,1,0,Yes
Application Fee Received,991,Bahawalpur,female,Punjab,68,0,772,928,0,0,0,0,0,0,0,No
Application Fee Received,924,Bahawalpur,male,Punjab,60,0,1001,869,153,172,144,47,147,0,0,No
Application Fee Received,894,Bahawalpur,female,Punjab,57,0,972,842,0,0,0,0,0,0,0,No
Application Fee Received,577,Bahawalpur,female,Punjab,27,27,567,582,81,86,75,42,123,0,0,No
Application Fee Received,934,Bahawalpur,male,Punjab,34,34,485,939,180,0,179,0,177,0,0,No
Challan Printed,783.636,Bahawalpur,male,Punjab,41,41,657,747,122,128,133,42,129,0,0,No
Admission Fee Challan Received,1031,Bahawalpur,male,Punjab,78,71,883,958,0,0,0,0,0,1,0,Yes
Application Fee Received,945,Bahawalpur,female,Punjab,73,0,912,877,179,147,48,161,140,0,0,No
Application Fee Received,790,Bahawalpur,male,Punjab,29,29,777,800,146,132,135,46,145,0,0,No
Application Fee Received,773,Bahawalpur,female,Punjab,53,0,758,705,0,0,0,0,0,0,0,No
Challan Printed,1017.091,Bahawalpur,female,Punjab,83,83,890,944,175,175,178,189,44,0,0,No
Application Fee Received,912,OPEN,male,,49,0,729,873,0,0,0,0,0,0,0,No
Application Fee Received,872,Bahawalpur,male,Punjab,53,0,844,829,0,0,0,0,0,0,0,No
Application Fee Received,1035.636,Bahawalpur,female,Punjab,79,79,979,966,157,195,191,177,0,0,0,No
Application Fee Received,996.091,Bahawalpur,female,Punjab,66,66,724,935,148,45,45,179,174,0,0,No
Application Fee Received,908,Bahawalpur,female,Punjab,59,0,924,854,0,0,0,0,0,0,0,No
Application Fee Received,928,Bahawalpur,male,Punjab,69,0,917,864,0,0,0,0,0,0,0,No
Application Fee Received,894,Bahawalpur,male,Punjab,50,0,969,849,147,143,155,0,0,0,0,No
Admission Fee Challan Received,1011.182,Bahawalpur,female,Punjab,65,65,963,951,178,182,182,167,44,1,0,Yes
Application Fee Received,934,Bahawalpur,male,Punjab,50,0,868,869,150,171,167,133,0,0,0,No
Application Fee Received,974,Bahawalpur,female,Punjab,53,0,817,926,183,142,190,0,170,0,0,No
Application Fee Received,865,Bahawalpur,female,Punjab,55,0,800,815,150,125,145,157,41,0,0,No
Challan Printed,944,Bahawalpur,male,Punjab,65,50,818,884,168,45,139,48,164,0,0,No
Application Fee Received,968,Bahawalpur,female,Punjab,46,0,819,927,0,0,0,0,0,0,0,No
Application Fee Received,695,Bahawalpur,male,Punjab,28,0,634,672,111,87,115,49,116,0,0,No
Application Received,874,Bahawalpur,male,Punjab,65,0,834,814,123,150,172,43,45,0,0,No
Application Fee Received,1028.364,Bahawalpur,female,Punjab,62,62,928,971,189,171,179,45,190,1,0,Yes
Application Fee Received,913,Bahawalpur,female,Punjab,66,0,883,852,191,0,176,0,138,0,0,No
Application Fee Received,935,Bahawalpur,male,Punjab,57,0,953,883,177,45,153,45,154,0,0,No
Application Fee Received,981,Bahawalpur,female,Punjab,58,0,906,928,179,162,177,0,182,0,0,No
Application Fee Received,792,Bahawalpur,female,Punjab,50,0,863,752,143,130,146,113,0,0,0,No
Application Fee Received,704,Bahawalpur,female,Punjab,47,0,726,662,133,33,103,34,123,0,0,No
Application Fee Received,750,Bahawalpur,male,Punjab,58,0,718,697,158,135,107,128,37,1,0,No
Application Fee Received,972,Bahawalpur,female,Punjab,51,0,961,926,0,0,0,0,0,0,0,No
Application Fee Received,709,Bahawalpur,male,Punjab,48,0,724,666,105,112,97,121,46,0,0,No
Application Fee Received,817,Bahawalpur,male,Punjab,50,0,749,752,146,124,165,86,48,0,0,No
Application Fee Received,953,Bahawalpur,male,Punjab,51,0,872,907,144,196,177,176,40,0,0,No
Application Fee Received,794,Bahawalpur,female,Punjab,42,0,810,757,135,145,136,133,0,0,0,No
Application Fee Received,866,Bahawalpur,female,Punjab,61,0,847,810,151,138,152,48,147,0,0,No
Application Fee Received,880,Bahawalpur,female,Punjab,51,0,739,834,157,43,163,41,152,0,0,No
Application Fee Received,1031.182,Bahawalpur,male,Punjab,66,66,951,970,185,160,180,47,186,0,0,No
Application Fee Received,774,Bahawalpur,male,Punjab,61,0,788,718,127,127,108,118,0,0,0,No
Challan Printed,862,Bahawalpur,male,Punjab,55,0,815,817,144,158,135,146,0,0,0,No
Application Fee Received,796,Bahawalpur,female,Punjab,52,0,857,759,160,122,118,134,0,0,0,No
Application Fee Received,907,Bahawalpur,female,Punjab,53,0,903,859,148,43,47,130,170,0,0,No
Application Fee Received,932,Bahawalpur,male,Punjab,55,0,778,882,155,48,170,40,168,0,0,No
Application Fee Received,1021.273,Bahawalpur,male,Punjab,67,67,970,959,160,190,188,179,48,1,0,Yes
Application Fee Received,734,Bahawalpur,female,Punjab,50,0,739,689,146,46,102,112,100,0,0,No
Application Fee Received,1085.182,Bahawalpur,male,Punjab,80,80,991,1015,174,192,195,181,0,0,0,No
Application Fee Received,1002.091,Bahawalpur,male,Punjab,67,67,924,940,164,170,171,179,92,0,0,No
Challan Printed,950.636,Bahawalpur,male,Punjab,64,64,876,891,141,48,45,193,165,0,0,No
Application Fee Received,973.636,Bahawalpur,male,Punjab,65,65,878,913,171,0,165,0,174,0,0,No
Application Fee Received,704,Bahawalpur,female,Punjab,51,0,774,658,89,106,107,0,142,0,0,No
Application Fee Received,806,Bahawalpur,female,Punjab,46,0,828,770,132,46,129,152,130,0,0,No
Application Fee Received,782,Bahawalpur,female,Punjab,53,0,758,734,139,130,146,0,116,0,0,No
Application Fee Received,955,Bahawalpur,male,Punjab,58,0,745,902,173,156,149,0,169,0,0,No
Application Fee Received,1017.818,Bahawalpur,female,Punjab,84,84,947,948,186,175,187,47,173,0,0,No
Application Fee Received,696,Bahawalpur,male,Punjab,26,26,784,701,141,131,98,46,0,0,0,No
Application Fee Received,1010,Bahawalpur,female,Punjab,60,0,913,955,179,170,180,49,168,0,0,No
Application Received,919,Bahawalpur,female,Punjab,52,0,936,872,134,171,173,0,163,0,0,No
Application Fee Received,1031.455,Bahawalpur,female,Punjab,73,73,901,963,177,161,188,47,180,0,0,No
Application Fee Received,923,Bahawalpur,male,Punjab,67,0,913,861,172,43,126,43,155,0,0,No
Application Fee Received,708,Bahawalpur,female,Punjab,32,32,815,713,0,0,0,0,0,0,0,No
Application Fee Received,780,Bahawalpur,male,Punjab,37,0,754,748,130,112,147,117,0,0,0,No
Application Fee Received,796,Bahawalpur,female,Punjab,48,0,840,753,0,0,0,0,0,0,0,No
Application Fee Received,972,Bahawalpur,male,Punjab,70,0,891,907,0,0,0,0,0,0,0,No
Application Fee Received,972,Bahawalpur,female,Punjab,57,48,820,920,0,0,0,0,0,0,0,No
Application Fee Received,888,Bahawalpur,female,Punjab,47,41,837,851,175,141,156,41,156,0,0,No
Challan Printed,870,Bahawalpur,male,Punjab,41,41,911,834,179,0,122,0,121,0,0,No
Application Fee Received,982,Bahawalpur,female,Punjab,75,0,968,912,189,172,155,161,47,0,0,No
Application Fee Received,843,Bahawalpur,male,Punjab,53,0,858,795,159,153,113,141,46,0,0,No
Application Fee Received,737,Bahawalpur,female,Punjab,55,0,902,687,120,36,120,46,114,0,0,No
Application Fee Received,1027.727,Bahawalpur,female,Punjab,63,63,900,954,168,167,181,194,47,0,0,No
Application Fee Received,1034.909,Bahawalpur,female,Punjab,86,86,945,958,181,183,180,46,169,0,0,No
Application Fee Received,1012,Bahawalpur,female,Punjab,74,74,945,943,169,42,178,50,185,1,0,Yes
Application Fee Received,816,Bahawalpur,female,Punjab,56,0,921,765,161,118,139,106,45,0,0,No
Admission Fee Challan Received,1028.727,Bahawalpur,female,Punjab,82,82,921,961,189,170,187,47,182,1,0,Yes
Application Fee Received,1005.636,Bahawalpur,female,Punjab,86,86,804,929,0,0,0,0,0,1,0,No
Application Fee Received,939.727,Bahawalpur,female,Punjab,59,59,912,890,171,156,163,43,147,0,0,No
Application Fee Received,969,Bahawalpur,female,Punjab,58,0,906,916,155,0,170,0,173,0,0,No
Application Fee Received,939,Bahawalpur,female,Punjab,51,0,888,893,168,143,185,144,0,0,0,No
Application Fee Received,973,Bahawalpur,female,Punjab,52,0,867,926,138,184,191,0,165,0,0,No
Application Fee Received,1033.545,Bahawalpur,female,Punjab,85,85,910,953,162,197,176,172,48,0,0,No
Application Fee Received,1028.455,Bahawalpur,female,Punjab,84,84,945,949,170,174,175,43,182,0,0,No
Application Fee Received,1001,Bahawalpur,female,Punjab,68,67,955,938,191,47,168,47,179,0,0,No
Challan Printed,878,Bahawalpur,female,Punjab,44,0,803,844,154,157,143,43,149,0,0,No
Application Fee Received,779,Bahawalpur,female,Punjab,46,0,844,738,148,48,99,45,149,0,0,No
Application Fee Received,1045,Bahawalpur,female,Punjab,71,0,1008,979,174,190,194,159,49,0,0,No
Application Fee Received,845,Bahawalpur,female,Punjab,55,0,798,775,0,0,0,0,0,0,0,No
Application Fee Received,901,Bahawalpur,female,Punjab,46,0,871,860,136,160,139,174,44,0,0,No
Application Fee Received,970,OPEN,female,Punjab,50,0,861,925,166,183,170,0,0,0,0,No
Application Fee Received,710,OPEN,male,Baluchistan,29,29,873,715,125,44,118,48,128,0,0,No
Application Fee Received,1050.909,OPEN,male,Punjab,69,69,951,966,0,0,0,0,0,0,0,No
Challan Printed,1032.909,OPEN,female,Punjab,72,72,916,970,185,166,187,44,192,0,0,No
Application Fee Received,928,OPEN,male,Punjab,0,0,804,913,0,0,0,0,0,0,0,No
Application Fee Received,846,OPEN,female,Punjab,47,0,595,804,154,114,144,39,152,0,0,No
Application Fee Received,890.909,OPEN,female,Punjab,44,44,780,851,160,45,168,125,168,0,0,No
Application Fee Received,1005.727,OPEN,male,Punjab,70,70,904,940,179,190,171,44,46,0,0,No
Application Fee Received,1017.727,OPEN,female,Punjab,61,61,907,961,174,183,181,176,0,0,0,No
Challan Printed,916.636,OPEN,female,Punjab,60,60,682,861,159,136,156,166,0,0,0,No
Application Fee Received,940,OPEN,male,Punjab,44,0,726,901,0,0,0,0,0,0,0,No
Challan Printed,949.909,OPEN,male,Punjab,42,42,739,912,0,0,0,0,0,0,0,No
Application Fee Received,1002,OPEN,male,Punjab,59,0,974,953,0,0,0,0,0,0,0,No
Application Fee Received,976,OPEN,female,Punjab,52,0,945,939,173,171,173,44,178,0,0,No
Application Fee Received,948.455,OPEN,male,Punjab,45,45,829,908,0,0,0,0,0,0,0,No
Application Fee Received,967.818,OPEN,male,Punjab,50,50,924,922,172,0,160,0,177,0,0,No
Application Fee Received,910,OPEN,male,Punjab,65,0,812,850,158,128,45,161,0,0,0,No
Application Fee Received,984,OPEN,male,Punjab,63,0,927,926,193,174,151,176,45,0,0,No
Application Received,887,OPEN,male,Punjab,0,0,926,892,178,163,174,43,130,0,0,No
Application Fee Received,774,OPEN,male,Punjab,0,0,838,779,168,120,124,129,0,0,0,No
Challan Printed,995,OPEN,male,Punjab,55,0,944,945,170,188,166,172,0,0,0,No
Challan Printed,1030.636,OPEN,female,Punjab,86,86,908,934,176,179,188,164,0,0,0,No
Application Fee Received,986.455,OPEN,male,Punjab,59,59,896,932,142,183,189,177,0,0,0,No
Admission Fee Challan Received,1045.545,OPEN,female,Punjab,80,80,871,970,173,167,178,46,191,1,0,Yes
Application Fee Received,999,OPEN,male,Punjab,75,75,957,934,173,152,183,43,184,0,0,No
Application Fee Received,1023,OPEN,female,Punjab,71,0,932,957,173,183,182,46,44,1,0,Yes
Application Fee Received,1065.636,OPEN,female,Punjab,87,87,876,983,175,189,189,175,47,1,0,Yes
Application Fee Received,998,OPEN,male,Punjab,82,82,793,921,173,141,192,46,180,0,0,No
Application Fee Received,1034.364,OPEN,male,Punjab,89,89,951,950,172,194,179,161,0,0,0,No
Application Fee Received,1022.455,OPEN,male,Punjab,80,80,925,952,165,182,182,182,0,0,0,No
Application Fee Received,935.909,OPEN,male,Punjab,66,66,858,874,150,163,160,169,0,0,0,No
Application Fee Received,988,OPEN,male,Punjab,54,0,897,919,158,174,161,47,175,0,0,No
Application Fee Received,1002.182,OPEN,male,Punjab,72,72,909,935,148,173,182,186,0,0,0,No
Application Fee Received,1018.182,OPEN,male,Punjab,78,78,958,945,189,156,180,45,182,0,0,No
Admission Fee Challan Received,1040,OPEN,female,Punjab,68,0,934,977,180,185,194,48,44,1,0,Yes
Application Fee Received,1027.727,OPEN,male,Punjab,76,76,1001,961,163,195,173,171,0,0,0,No
Challan Printed,967.636,OPEN,female,Punjab,53,53,906,919,171,172,157,0,0,0,0,No
Application Fee Received,979.818,OPEN,male,Punjab,67,67,925,917,0,0,0,0,0,0,0,No
Application Fee Received,1022.364,OPEN,male,Punjab,86,86,920,941,172,179,166,43,44,0,0,No
Application Fee Received,1017.455,OPEN,male,Punjab,81,81,922,941,164,163,174,49,46,0,0,No
Application Fee Received,985,OPEN,male,Punjab,60,60,845,930,182,125,196,46,178,0,0,No
Application Fee Received,1000.273,OPEN,female,Punjab,78,78,833,927,0,0,0,0,0,0,0,No
Application Fee Received,914,OPEN,female,Punjab,57,0,794,862,153,153,159,43,160,0,0,No
Application Fee Received,1032.818,OPEN,male,Punjab,85,85,943,957,181,170,184,180,48,0,0,No
Application Fee Received,951,OPEN,female,Punjab,0,0,977,961,174,187,47,168,48,0,0,No
Challan Printed,952,OPEN,male,Punjab,50,50,860,907,169,167,169,42,168,0,0,No
Application Fee Received,888,OPEN,female,Punjab,50,0,864,843,0,0,0,0,0,0,0,No
Application Fee Received,1040.818,OPEN,male,Punjab,87,87,951,963,172,177,175,186,47,0,0,No
Application Fee Received,993.182,OPEN,female,Punjab,67,67,816,931,167,160,162,44,185,0,0,No
Application Fee Received,1016.727,OPEN,female,Punjab,84,84,897,937,0,0,0,0,0,0,0,No
Application Fee Received,1019,OPEN,male,Punjab,67,63,954,957,0,0,0,0,0,0,0,No
Application Received,775,OPEN,female,Punjab,0,0,798,780,134,118,153,45,45,0,0,No
Challan Printed,1000.909,OPEN,female,Punjab,55,55,932,950,0,0,0,0,0,0,0,No
Application Fee Received,1019.909,OPEN,male,Punjab,72,72,899,932,0,0,0,0,0,0,0,No
Application Fee Received,987.273,OPEN,female,Punjab,56,56,910,936,0,0,0,0,0,0,0,No
Application Fee Received,1003.909,OPEN,female,Punjab,68,68,837,940,178,167,156,186,46,0,0,No
Application Fee Received,966,OPEN,male,Punjab,59,0,909,912,169,43,48,183,155,0,0,No
Application Fee Received,1026.364,OPEN,male,Punjab,80,80,918,951,0,0,0,0,0,0,0,No
Application Fee Received,1014.364,OPEN,male,Punjab,68,68,880,951,0,0,0,0,0,0,0,No
Application Fee Received,1020.545,OPEN,female,Punjab,81,81,912,944,178,171,184,42,179,0,0,No
Application Fee Received,1021.182,OPEN,male,Punjab,78,78,959,948,168,45,47,187,174,0,0,No
Challan Printed,929,OPEN,male,Punjab,39,0,753,895,154,155,158,166,45,0,0,No
Application Fee Received,947,OPEN,male,Punjab,42,0,911,910,181,148,176,47,166,0,0,No
Challan Printed,1009,OPEN,female,Punjab,53,0,955,971,169,182,191,0,169,0,0,No
Challan Printed,798,OPEN,male,Punjab,52,0,725,756,159,111,99,158,45,0,0,No
Application Fee Received,996.818,OPEN,female,Punjab,61,61,872,945,178,0,0,0,0,0,0,No
Application Fee Received,1019.182,OPEN,male,Punjab,48,48,885,956,158,47,47,185,172,0,0,No
Application Fee Received,992,OPEN,female,Punjab,60,0,923,937,163,0,0,0,0,0,0,No
Application Fee Received,974,OPEN,male,Punjab,51,0,932,928,0,0,0,0,0,0,0,No
Application Fee Received,958,OPEN,male,Punjab,50,0,929,913,0,0,0,0,0,0,0,No
Application Fee Received,1021.091,OPEN,female,Punjab,65,65,958,961,162,194,181,166,48,0,0,No
Application Fee Received,993.818,OPEN,male,Punjab,61,61,1002,942,172,186,162,46,47,0,0,No
Application Fee Received,938.818,OPEN,male,Punjab,41,41,931,902,154,181,160,156,45,0,0,No
Application Fee Received,999,OPEN,female,Punjab,57,0,892,947,173,178,166,48,170,0,0,No
Application Fee Received,990.545,OPEN,male,Punjab,62,62,949,933,173,168,179,164,46,0,0,No
Application Fee Received,931,OPEN,female,Punjab,41,0,921,900,171,0,162,0,147,0,0,No
Application Fee Received,956,OPEN,female,Punjab,52,0,889,914,179,0,0,0,0,0,0,No
Application Fee Received,794,OPEN,male,Punjab,30,0,798,769,130,133,158,116,44,0,0,No
Application Fee Received,1006,OPEN,female,Punjab,60,0,894,951,178,47,45,157,176,0,0,No
Application Fee Received,866,OPEN,male,Punjab,32,0,845,839,141,159,127,174,0,0,0,No
Application Fee Received,1009.545,OPEN,male,Punjab,64,64,867,950,167,183,180,167,47,0,0,No
Challan Printed,960.909,OPEN,male,Punjab,50,50,952,915,163,164,167,178,45,0,0,No
Application Fee Received,1054.727,OPEN,male,Punjab,78,78,823,981,191,182,0,0,0,0,0,No
Application Fee Received,977,OPEN,male,Punjab,49,0,890,933,171,179,170,163,46,0,0,No
Application Fee Received,946,OPEN,male,Punjab,52,0,935,899,175,47,152,44,156,0,0,No
Application Fee Received,815,OPEN,female,Punjab,40,0,706,780,131,138,138,42,158,0,0,No
Admission Fee Challan Received,943,OPEN,female,Punjab,59,0,731,889,171,140,174,169,0,1,0,No
Challan Printed,1029.545,OPEN,female,Punjab,76,76,936,958,173,177,180,182,44,0,0,No
Application Fee Received,799,OPEN,male,Punjab,38,38,894,804,159,155,120,148,38,0,0,No
Challan Printed,936,OPEN,male,Punjab,51,0,900,890,161,172,45,45,154,0,0,No
Application Fee Received,1014.909,OPEN,male,Punjab,67,67,945,952,165,176,181,186,47,0,0,No
Application Received,894,OPEN,male,Punjab,54,0,985,850,0,0,0,0,0,0,0,No
Challan Printed,985,OPEN,male,Punjab,57,0,941,933,176,44,166,43,179,0,0,No
Application Fee Received,970,OPEN,male,Punjab,52,47,855,923,153,177,183,45,164,0,0,No
Application Fee Received,969,OPEN,female,Punjab,50,0,917,924,177,172,171,150,45,0,0,No
Application Fee Received,976.091,OPEN,male,Punjab,57,57,838,924,169,177,167,172,46,0,0,No
Application Fee Received,928.364,OPEN,female,Punjab,58,58,860,875,0,0,0,0,0,0,0,No
Admission Fee Challan Received,935,OPEN,female,Punjab,74,0,911,866,157,40,163,148,164,1,0,No
Application Fee Received,1005.818,OPEN,female,Punjab,54,54,924,956,179,189,170,0,0,0,0,No
Application Fee Received,968,OPEN,male,Punjab,47,0,954,906,156,49,181,46,160,0,0,No
Application Fee Received,939.909,OPEN,male,Punjab,59,59,811,885,160,169,144,41,173,0,0,No
Application Fee Received,1022.364,OPEN,female,Punjab,67,67,967,965,186,183,174,43,177,0,0,No
Application Fee Received,954,OPEN,male,Punjab,40,0,895,899,157,171,0,0,0,0,0,No
Application Fee Received,1014.909,OPEN,male,Punjab,69,69,930,950,160,177,186,173,47,0,0,No
Application Fee Received,1034,OPEN,female,Punjab,83,83,863,956,169,47,45,190,176,0,0,No
Application Fee Received,1021.909,OPEN,female,Punjab,62,62,976,964,176,178,173,45,187,0,0,No
Application Fee Received,991.364,OPEN,female,Punjab,65,65,969,936,175,172,168,169,47,0,0,No
Application Fee Received,1005,OPEN,female,Punjab,58,0,946,957,185,160,188,48,185,0,0,No
Application Fee Received,1021.091,OPEN,male,Punjab,89,89,816,942,0,0,0,0,0,0,0,No
Application Fee Received,1003,OPEN,female,Punjab,59,0,853,949,169,177,175,169,45,0,0,No
Application Fee Received,1015.818,OPEN,female,Punjab,76,76,953,934,160,0,0,0,0,0,0,No
Application Fee Received,1017.455,OPEN,female,Punjab,75,75,932,952,190,174,159,44,173,0,0,No
Application Fee Received,1026.545,OPEN,female,Punjab,75,75,890,956,181,43,172,165,183,0,0,No
