Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered
Application Fee Received,878,Bahawalpur,female,Punjab,51,0,857,832,168,154,125,150,0,0,0,No
Application Fee Received,930,Bahawalpur,female,Punjab,61,0,853,874,180,47,47,153,132,0,0,No
Application Fee Received,827.273,Bahawalpur,female,Punjab,47,47,847,785,111,44,41,139,171,0,0,No
Application Fee Received,968.364,Bahawalpur,female,Punjab,62,62,865,911,159,186,161,146,46,0,0,No
Admission Fee Challan Received,1035,Bahawalpur,female,Punjab,82,0,937,958,163,192,193,165,47,1,0,Yes
Application Fee Received,916,Bahawalpur,female,Punjab,54,0,784,867,145,137,162,178,0,0,0,No
Application Fee Received,828,Bahawalpur,female,Punjab,56,0,904,777,153,140,121,145,0,0,0,No
Application Fee Received,648,Bahawalpur,male,Punjab,52,0,743,601,92,101,85,41,96,0,0,No
Application Fee Received,974,Bahawalpur,female,Punjab,63,0,834,916,170,38,148,190,173,0,0,No
Application Fee Received,1001,Bahawalpur,female,Punjab,64,0,845,942,181,160,180,45,176,0,0,No
Application Fee Received,1090.909,Bahawalpur,female,Punjab,83,83,886,992,166,179,195,179,45,1,0,Yes
Application Fee Received,894,Bahawalpur,female,Punjab,52,0,831,847,147,156,162,155,43,0,0,No
Application Fee Received,922,Bahawalpur,female,Punjab,58,0,877,869,166,159,171,45,146,0,0,No
Admission Fee Challan Received,1064.727,Bahawalpur,female,Punjab,78,78,939,991,190,170,193,50,188,1,0,Yes
Application Fee Received,837,Bahawalpur,female,Punjab,53,0,876,789,160,43,43,139,127,0,0,No
Application Fee Received,1024,Bahawalpur,female,Punjab,69,0,966,960,181,177,182,44,176,0,0,No
Challan Printed,851,Bahawalpur,male,Punjab,52,0,866,804,134,150,148,44,136,0,0,No
Application Fee Received,910,Bahawalpur,female,Punjab,51,0,882,864,139,152,162,181,47,0,0,No
Challan Printed,856,Bahawalpur,female,Punjab,41,41,949,820,163,158,127,46,153,0,0,No
Application Fee Received,829,Bahawalpur,male,Punjab,54,0,894,785,155,131,150,38,154,0,0,No
Application Fee Received,925,Bahawalpur,female,Punjab,65,0,861,865,164,149,153,0,0,0,0,No
Challan Printed,757,Bahawalpur,male,Punjab,51,0,881,711,143,128,137,0,112,0,0,No
