Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,968,Bahawalpur,Punjab,84,957,978,173,188,179,186,179,0,0,0,No
Application Fee Received,632,Bahawalpur,Punjab,56,833,637,124,118,128,39,91,28,1,0,Yes
Application Fee Received,824,Bahawalpur,Punjab,44,813,829,163,38,142,139,44,166,0,0,No
Challan Printed,819,Bahawalpur,Punjab,54,738,824,150,43,172,117,153,46,0,0,No
Admission Fee Challan Received,945,Bahawalpur,Punjab,0,878,950,162,187,185,39,178,44,1,0,Yes
Application Fee Received,827,Bahawalpur,Punjab,48,726,832,147,162,38,158,44,142,0,0,No
Application Fee Received,832,Bahawalpur,Punjab,50,890,837,169,162,42,37,136,178,0,0,No
Application Fee Received,837,Bahawalpur,Punjab,57,972,842,0,0,0,0,0,0,1,0,No
Application Fee Received,577,Bahawalpur,Punjab,27,567,582,81,86,75,42,123,45,0,0,No
Admission Fee Challan Received,880,Bahawalpur,Punjab,0,811,885,148,151,170,172,0,0,1,0,Yes
Challan Printed,830,Bahawalpur,Punjab,47,890,845,0,0,0,0,0,0,0,0,No
Application Fee Received,665,Bahawalpur,Punjab,0,767,675,0,0,0,0,0,0,0,0,No
Application Fee Received,693,Bahawalpur,Punjab,55,793,698,150,108,123,42,101,44,0,0,No
Challan Printed,849,Bahawalpur,Punjab,59,924,854,0,0,0,0,0,0,0,0,No
Application Fee Received,684,Bahawalpur,Punjab,62,618,689,84,115,123,161,0,0,0,0,No
Application Fee Received,657,Bahawalpur,Punjab,54,762,662,144,69,145,38,77,46,0,0,No
Application Fee Received,740,Bahawalpur,Punjab,47,780,745,145,119,0,0,0,0,0,0,No
Application Fee Received,844,Bahawalpur,Punjab,50,969,849,147,143,155,0,0,0,1,0,Yes
Application Fee Received,926,Bahawalpur,Punjab,53,882,931,135,130,118,183,154,164,0,0,No
Application Fee Received,800,Bahawalpur,Punjab,0,728,805,154,44,48,135,140,143,0,0,No
Application Fee Received,772,Bahawalpur,Punjab,50,848,777,157,121,148,0,0,0,0,0,No
Challan Printed,808,Bahawalpur,Punjab,54,851,813,160,169,139,128,0,0,0,0,No
Admission Fee Challan Received,853,Bahawalpur,Punjab,0,843,858,131,179,145,173,0,0,1,0,Yes
Application Fee Received,471,Bahawalpur,Punjab,0,683,476,66,27,25,87,99,73,0,0,No
Application Fee Received,755,Bahawalpur,Punjab,60,890,760,131,39,135,45,139,136,0,0,No
Admission Fee Challan Received,897,Bahawalpur,Punjab,59,932,902,145,173,182,44,43,162,1,0,Yes
Application Fee Received,750,Bahawalpur,Punjab,51,730,755,145,113,149,115,43,42,0,0,No
Challan Printed,704,Bahawalpur,Punjab,57,705,689,139,113,98,106,44,42,0,0,No
Application Fee Received,623,Bahawalpur,Punjab,0,629,633,103,96,121,0,91,0,0,0,No
Application Fee Received,847,Bahawalpur,Punjab,66,883,852,191,0,176,0,138,0,1,0,Yes
Application Fee Received,694,Bahawalpur,Punjab,68,887,699,0,0,0,0,0,0,0,0,No
Application Fee Received,814,Bahawalpur,Punjab,0,828,819,135,142,121,179,0,0,0,0,No
Application Fee Received,878,Bahawalpur,Punjab,57,953,883,177,45,153,45,154,174,0,0,No
Application Fee Received,750,Bahawalpur,Punjab,42,832,755,134,42,48,129,120,122,0,0,No
Application Fee Received,680,Bahawalpur,Punjab,61,841,685,104,98,131,34,136,44,0,0,No
Challan Printed,923,Bahawalpur,Punjab,58,906,928,179,162,177,0,182,0,0,0,No
Application Fee Received,885,Bahawalpur,Punjab,47,895,890,144,157,179,0,166,0,0,0,No
Challan Printed,765,Bahawalpur,Punjab,0,903,770,152,0,128,0,108,0,0,0,No
Application Fee Received,969,Bahawalpur,Punjab,77,879,979,182,176,178,48,187,44,1,0,Yes
Application Fee Received,657,Bahawalpur,Punjab,47,726,662,133,33,103,34,123,111,0,0,No
Application Fee Received,721,Bahawalpur,Punjab,47,800,726,154,43,36,131,135,80,0,0,No
Application Fee Received,613,Bahawalpur,Punjab,65,636,618,126,117,108,0,88,0,0,0,No
Application Fee Received,752,Bahawalpur,Punjab,42,810,757,135,145,136,133,0,0,0,0,No
Application Fee Received,691,Bahawalpur,Punjab,54,547,696,153,0,126,0,162,0,0,0,No
Application Received,773,Bahawalpur,Punjab,0,816,783,147,135,122,42,37,158,0,0,No
Application Fee Received,875,Bahawalpur,Punjab,41,808,880,133,190,164,165,40,44,1,0,Yes
Application Fee Received,638,Bahawalpur,Punjab,50,756,643,110,0,105,0,146,0,0,0,No
Application Fee Received,741,Bahawalpur,Punjab,0,725,746,123,152,98,42,142,39,0,0,No
Admission Fee Challan Received,857,Bahawalpur,Punjab,62,847,862,151,158,175,170,35,45,1,0,Yes
Application Fee Received,783,Bahawalpur,Punjab,48,772,788,163,30,136,48,138,138,0,0,No
Challan Printed,814.522,Bahawalpur,Punjab,49,759,824,0,0,0,0,0,0,0,0,No
Challan Printed,726,Bahawalpur,Punjab,49,644,731,84,96,153,171,0,0,0,0,No
Admission Fee Challan Received,892,Bahawalpur,Punjab,52,877,897,123,184,171,0,171,0,1,0,Yes
Admission Fee Challan Received,946,Bahawalpur,Punjab,60,898,951,167,191,174,185,42,48,1,0,Yes
Application Fee Received,601,Bahawalpur,Punjab,47,719,606,119,123,64,91,0,0,0,0,No
Application Fee Received,721,Bahawalpur,Punjab,0,867,726,134,132,106,0,115,0,0,0,No
Application Fee Received,886,Bahawalpur,Punjab,64,876,891,141,48,45,193,165,166,0,0,No
Application Fee Received,704,Bahawalpur,Punjab,0,662,709,144,0,80,0,108,0,0,0,No
Application Fee Received,641,Bahawalpur,Punjab,38,702,651,102,89,100,0,0,0,1,0,Yes
Application Fee Received,653,Bahawalpur,Punjab,51,774,658,89,106,107,0,142,0,0,0,No
Application Fee Received,897,Bahawalpur,Punjab,58,745,902,173,156,149,0,169,0,0,0,No
Application Fee Received,777,Bahawalpur,Punjab,58,840,782,156,108,148,0,144,0,0,0,No
Application Fee Received,625,Bahawalpur,Punjab,0,687,630,96,103,102,126,34,24,0,0,No
Application Fee Received,876,Bahawalpur,Punjab,50,674,881,143,166,163,0,172,0,1,0,Yes
Application Fee Received,953,Bahawalpur,Punjab,67,960,958,180,184,194,47,45,158,1,0,Yes
Application Fee Received,742,Bahawalpur,Punjab,47,727,747,168,123,115,0,0,0,0,0,No
Application Fee Received,822,Bahawalpur,Punjab,52,746,827,0,0,0,0,0,0,0,0,No
Application Fee Received,760,Bahawalpur,Punjab,54,701,765,148,133,142,143,43,30,0,0,No
Application Fee Received,679,OPEN,Punjab,0,709,684,135,111,110,84,38,48,0,0,No
Application Fee Received,720,Bahawalpur,Punjab,0,528,720,80,100,120,40,37,130,0,0,No
Admission Fee Challan Received,883,Bahawalpur,Punjab,55,827,888,141,157,171,183,41,33,1,0,Yes
Application Fee Received,613,Bahawalpur,Punjab,0,608,623,0,0,0,0,0,0,0,0,No
Application Fee Received,606,Bahawalpur,Punjab,58,538,611,151,37,109,89,87,41,0,0,No
Application Fee Received,855,Bahawalpur,Punjab,53,844,865,172,166,148,45,138,45,0,0,No
Application Received,939,Bahawalpur,Punjab,75,957,949,181,152,194,48,179,0,0,0,No
Application Fee Received,708,Bahawalpur,Punjab,32,815,713,0,0,0,0,0,0,0,0,No
Application Fee Received,661,Bahawalpur,Punjab,0,745,666,116,92,138,97,41,0,0,0,No
Application Fee Received,668,Bahawalpur,Punjab,50,733,678,121,148,82,30,43,131,0,0,No
Application Fee Received,741,Bahawalpur,Punjab,59,786,746,127,0,0,0,0,0,0,0,No
Application Fee Received,529,Bahawalpur,Punjab,49,670,534,90,69,77,37,0,0,0,0,No
Challan Printed,824.725,Bahawalpur,Punjab,52,587,834,0,0,0,0,0,0,0,0,No
Application Fee Received,855,Bahawalpur,Punjab,0,748,865,120,185,154,182,48,0,0,0,No
Application Fee Received,682,Bahawalpur,Punjab,55,902,687,120,36,120,46,114,137,0,0,No
Challan Printed,854,Bahawalpur,Punjab,53,799,859,160,151,173,47,147,0,0,0,No
Application Fee Received,646,Bahawalpur,Punjab,0,921,651,59,90,109,161,0,0,0,0,No
Application Fee Received,938,Bahawalpur,Punjab,74,945,943,169,42,178,50,185,157,1,0,Yes
Application Fee Received,785,Bahawalpur,Punjab,43,798,790,126,35,126,141,181,45,0,0,No
Challan Printed,760,Bahawalpur,Punjab,56,921,765,161,118,139,106,45,0,0,0,No
Application Fee Received,775,Bahawalpur,Punjab,56,846,780,127,138,148,136,0,0,0,0,No
Application Received,922.676,Bahawalpur,Punjab,0,763,932,142,39,73,56,92,86,0,0,No
Application Fee Received,889,Bahawalpur,Punjab,59,832,894,179,165,157,157,0,0,0,0,No
Application Fee Received,835,Bahawalpur,Punjab,41,783,840,134,138,145,43,171,46,1,0,Yes
Challan Printed,712,Bahawalpur,Punjab,0,761,717,106,124,131,37,141,41,0,0,No
Application Fee Received,594,Bahawalpur,Punjab,50,685,599,114,95,103,0,82,0,0,0,No
Application Fee Received,790,Bahawalpur,Punjab,55,798,775,0,0,0,0,0,0,0,0,No
Application Fee Received,594,OPEN,Punjab,48,759,604,0,0,0,0,0,0,0,0,No
Application Fee Received,584,Bahawalpur,Punjab,46,756,589,94,76,106,113,0,0,0,0,No
Application Fee Received,920,OPEN,Punjab,50,861,925,166,183,170,0,0,0,0,0,No
Challan Printed,714,OPEN,Punjab,0,600,719,132,113,0,0,0,0,0,0,No
Challan Printed,751,OPEN,Punjab,0,931,756,0,0,0,0,0,0,0,0,No
Application Fee Received,981,OPEN,Punjab,69,951,966,0,0,0,0,0,0,0,0,No
Application Fee Received,960,OPEN,Punjab,72,916,970,185,166,187,44,192,46,0,0,No
Challan Printed,928,OPEN,Punjab,0,804,913,0,0,0,0,0,0,0,0,No
Application Fee Received,675,OPEN,Punjab,0,639,680,67,85,179,33,151,40,0,0,No
Application Fee Received,874,OPEN,Punjab,0,839,879,176,164,170,41,45,149,0,0,No
Application Fee Received,935,OPEN,Punjab,70,904,940,179,190,171,44,46,164,0,0,No
Application Fee Received,859,OPEN,Punjab,60,894,864,162,163,161,42,46,137,0,0,No
Application Fee Received,671,OPEN,Punjab,0,520,676,137,125,87,17,145,39,0,0,No
Application Fee Received,735,OPEN,Punjab,0,788,735,155,171,89,39,91,43,0,0,No
Challan Printed,965,OPEN,Punjab,79,887,970,174,173,184,47,181,0,0,0,No
Application Fee Received,801,OPEN,Punjab,28,880,806,131,145,154,128,41,48,0,0,No
Application Fee Received,705,OPEN,Punjab,53,715,690,98,43,39,82,149,136,0,0,No
Application Fee Received,679,OPEN,Punjab,0,766,684,0,0,0,0,0,0,0,0,No
Application Fee Received,681,OPEN,Punjab,57,735,686,138,120,120,88,42,39,0,0,No
Application Received,887,OPEN,Punjab,0,926,892,178,163,174,43,130,48,0,0,No
Application Fee Received,771,OPEN,Punjab,0,758,776,134,46,142,151,101,43,0,0,No
Application Fee Received,628,OPEN,Punjab,0,656,633,99,138,123,110,0,0,0,0,No
Application Fee Received,927,OPEN,Punjab,59,896,932,142,183,189,177,0,0,0,0,No
Challan Printed,924,OPEN,Punjab,75,957,934,173,152,183,43,184,46,0,0,No
Application Fee Received,637,OPEN,Punjab,0,639,642,126,114,132,30,91,25,0,0,No
Application Received,737,OPEN,Punjab,0,789,742,102,145,151,39,137,38,0,0,No
Application Fee Received,978,OPEN,Punjab,87,876,983,175,189,189,175,47,47,1,0,Yes
Application Fee Received,699,OPEN,Punjab,0,721,684,109,88,133,147,0,0,0,0,No
Application Fee Received,687,OPEN,Punjab,0,605,692,93,105,147,126,0,0,0,0,No
Application Fee Received,861,OPEN,Punjab,0,822,866,150,174,171,136,0,0,0,0,No
Application Fee Received,841,OPEN,Punjab,28,865,846,120,187,182,138,43,40,0,0,No
Application Fee Received,781,OPEN,Punjab,0,690,786,156,156,128,119,0,0,0,0,No
Application Received,909,OPEN,Punjab,60,985,914,157,46,45,172,183,143,0,0,No
Application Fee Received,909,OPEN,Punjab,62,863,914,0,0,0,0,0,0,0,0,No
Challan Printed,873,OPEN,Punjab,38,841,858,148,138,174,47,163,43,0,0,No
Application Fee Received,675,OPEN,Punjab,22,713,685,0,0,0,0,0,0,0,0,No
Application Fee Received,723,OPEN,Punjab,30,904,728,127,116,42,128,47,109,0,0,No
Application Fee Received,746,OPEN,Punjab,52,725,756,159,111,99,158,45,44,1,0,No
Application Fee Received,914,OPEN,Punjab,46,918,919,83,0,0,0,0,0,1,0,No
Application Fee Received,776,OPEN,Punjab,41,918,781,122,138,127,158,48,42,0,0,No
Application Fee Received,831,OPEN,Punjab,30,813,836,147,140,150,163,47,46,0,0,No
Challan Printed,932,OPEN,Punjab,61,1002,942,172,186,162,46,47,171,0,0,No
Application Fee Received,699,OPEN,Punjab,48,740,704,118,105,128,140,32,42,0,0,No
Application Fee Received,756,OPEN,Punjab,66,826,761,0,0,0,0,0,0,0,0,No
Application Fee Received,888,OPEN,Punjab,59,940,893,175,164,140,166,44,48,0,0,No
Application Fee Received,824,OPEN,Punjab,0,912,829,144,43,43,134,158,160,0,0,No
Challan Printed,659,OPEN,Punjab,0,634,664,125,44,40,123,110,73,0,0,No
Application Fee Received,823,OPEN,Punjab,46,627,808,143,168,133,151,41,42,0,0,No
Challan Printed,603,OPEN,Punjab,23,603,608,80,38,44,131,133,56,0,0,No
Application Fee Received,818,OPEN,Punjab,0,890,823,126,166,47,129,150,48,0,0,No
Challan Printed,873,OPEN,Punjab,0,861,878,166,158,147,0,0,0,0,0,No
Application Fee Received,890,OPEN,Punjab,62,954,895,163,47,44,153,166,170,0,0,No
Application Fee Received,573,OPEN,Punjab,0,752,578,78,101,104,41,87,45,0,0,No
Challan Printed,939,OPEN,Punjab,76,953,934,160,0,0,0,0,0,0,0,No
Challan Printed,870,OPEN,Punjab,52,846,875,0,0,0,0,0,0,0,0,No
Challan Printed,820,OPEN,Punjab,55,891,830,0,0,0,0,0,0,0,0,No
Application Received,573,OPEN,Punjab,0,752,578,101,78,104,87,41,45,0,0,No
Application Received,568,OPEN,Punjab,0,816,573,0,0,0,0,0,0,0,0,No
Application Received,619,OPEN,Punjab,0,846,604,0,0,0,0,0,0,0,0,No
Application Fee Received,938,OPEN,Punjab,48,960,943,0,0,0,0,0,0,0,0,No
Challan Printed,964,OPEN,Punjab,84,922,974,183,0,195,0,0,0,0,0,No
Application Fee Received,803,OPEN,Punjab,0,797,808,155,157,103,173,0,0,0,0,No
Application Fee Received,950,OPEN,Punjab,72,991,960,170,174,187,46,172,0,1,0,Yes
Application Fee Received,777,OPEN,Punjab,0,723,782,165,101,134,43,161,0,0,0,No
Application Fee Received,769,OPEN,Punjab,0,833,774,115,109,150,45,148,48,0,0,No
Application Fee Received,690,OPEN,Punjab,0,739,695,129,123,131,106,37,0,0,0,No
Application Fee Received,737,OPEN,Punjab,32,676,742,0,0,0,0,0,0,0,0,No
Application Fee Received,606,OPEN,Punjab,43,574,606,106,78,119,39,89,42,0,0,No
Application Fee Received,536,OPEN,Punjab,0,765,541,79,32,93,28,100,90,0,0,No
Application Fee Received,565,OPEN,Punjab,0,721,570,58,33,28,113,102,83,0,0,No
Application Fee Received,804,OPEN,Punjab,23,894,809,152,162,149,133,0,0,0,0,No
Application Fee Received,876,OPEN,Punjab,48,738,881,0,0,0,0,0,0,0,0,No
Application Fee Received,559,OPEN,Punjab,0,525,564,110,85,88,25,99,35,0,0,No
Application Fee Received,972,OPEN,Punjab,79,830,977,0,0,0,0,0,0,0,0,No
Challan Printed,862,OPEN,Punjab,43,930,867,0,0,0,0,0,0,0,0,No
Challan Printed,796,OPEN,Punjab,0,882,801,119,170,168,130,0,0,0,0,No
Application Fee Received,810,OPEN,Punjab,42,905,815,149,38,129,47,150,146,0,0,No
Application Fee Received,661,OPEN,Punjab,0,748,666,0,0,0,0,0,0,0,0,No
Application Fee Received,877,OPEN,Punjab,58,850,882,161,42,46,165,165,163,0,0,No
Application Received,770,OPEN,,70,800,800,33,34,33,67,40,30,0,0,No
Application Fee Received,811,OPEN,Punjab,22,797,816,0,0,0,0,0,0,0,0,No
Application Fee Received,680,OPEN,Punjab,0,808,685,39,138,155,57,127,43,0,0,No
Application Fee Received,726,OPEN,Punjab,0,760,736,131,110,142,42,125,46,0,0,No
Application Fee Received,638,OPEN,Punjab,0,746,648,0,0,0,0,0,0,0,0,No
Application Fee Received,777,OPEN,Punjab,0,726,782,131,155,145,131,42,35,0,0,No
Application Fee Received,687,OPEN,Punjab,0,759,717,125,41,144,117,123,0,0,0,No
Challan Printed,784,OPEN,Punjab,0,714,789,0,0,0,0,0,0,0,0,No
Application Fee Received,735,OPEN,Punjab,56,701,740,0,0,0,0,0,0,0,0,No
Application Received,901,OPEN,Punjab,75,789,886,155,146,182,48,166,41,0,0,No
Application Fee Received,607,OPEN,Punjab,44,721,612,118,107,75,124,38,43,0,0,No
Application Fee Received,872,OPEN,Punjab,47,888,877,165,140,163,42,168,44,0,0,No
Application Fee Received,590,OPEN,Punjab,0,624,595,97,102,25,91,39,107,0,0,No
Application Fee Received,663,OPEN,Punjab,0,575,668,126,113,117,36,134,42,0,0,No
Application Fee Received,782,OPEN,Punjab,0,911,787,0,0,0,0,0,0,0,0,No
Application Fee Received,921,OPEN,Punjab,57,670,926,165,0,170,0,181,0,0,0,No
Application Fee Received,605,OPEN,Punjab,36,746,620,94,61,132,40,108,39,0,0,No
Application Fee Received,719,OPEN,Punjab,61,643,724,116,89,146,39,140,46,0,0,No
Application Fee Received,820,OPEN,Punjab,38,676,805,0,0,0,0,0,0,0,0,No
Application Fee Received,552,OPEN,Punjab,26,635,557,86,60,43,86,42,109,0,0,No
Challan Printed,830,OPEN,Punjab,0,827,835,0,0,0,0,0,0,0,0,No
Application Fee Received,756,OPEN,Punjab,0,783,766,125,162,121,0,140,0,0,0,No
Application Fee Received,759,OPEN,Punjab,0,770,764,117,149,141,128,45,0,0,0,No
Application Fee Received,834,OPEN,Punjab,0,711,839,0,0,0,0,0,0,0,0,No
Application Fee Received,855,Bahawalpur,Punjab,53,803,860,124,158,44,156,45,176,0,0,No
Application Fee Received,896,OPEN,Punjab,0,823,901,0,0,0,0,0,0,0,0,No
Application Received,799,OPEN,Punjab,0,717,804,155,149,125,125,46,47,0,0,No
Application Fee Received,715,Bahawalpur,Punjab,55,722,720,79,148,114,45,172,40,0,0,No
Challan Printed,665,OPEN,Punjab,0,933,670,73,124,45,138,42,107,0,0,No
Application Fee Received,663,OPEN,Punjab,0,701,668,103,103,114,40,133,39,0,0,No
Application Fee Received,807,Bahawalpur,Punjab,42,711,817,154,153,125,153,0,0,0,0,No
Challan Printed,655,OPEN,Punjab,0,661,660,69,145,133,39,97,40,0,0,No
Application Fee Received,953,OPEN,Punjab,75,899,958,185,151,192,47,186,47,0,0,No
Challan Printed,795,OPEN,Punjab,0,796,800,152,132,149,42,138,45,0,0,No
Challan Printed,716,OPEN,Punjab,46,695,726,138,123,0,0,0,0,0,0,No
Application Fee Received,810,OPEN,Punjab,0,868,795,0,0,0,0,0,0,0,0,No
Application Fee Received,901,OPEN,Punjab,45,886,906,142,182,182,152,0,0,0,0,No
Application Received,821,OPEN,,22,939,826,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,905,Bahawalpur,Punjab,54,947,910,155,152,195,182,44,45,1,0,Yes
Application Received,-30,OPEN,Punjab,0,0,0,0,0,0,0,0,,0,0,No
Application Received,840,Bahawalpur,Punjab,60,845,845,153,161,160,0,0,0,0,0,No
Application Received,792,OPEN,Punjab,0,599,797,160,123,147,42,148,30,0,0,No
Application Fee Received,904,OPEN,Punjab,61,869,909,164,165,161,174,45,43,0,0,No
Challan Printed,747,OPEN,Punjab,0,700,752,106,133,154,0,148,0,0,0,No
Application Fee Received,902,OPEN,Punjab,51,956,907,156,44,41,169,171,179,0,0,No
Application Fee Received,699,OPEN,Punjab,43,823,704,132,133,108,107,46,42,0,0,No
Application Fee Received,760,OPEN,Punjab,60,840,765,106,136,153,138,41,43,1,0,No
Application Fee Received,694,OPEN,Punjab,43,688,699,89,153,91,147,44,35,0,0,No
Application Fee Received,684,OPEN,Punjab,0,769,689,0,0,0,0,0,0,0,0,No
Application Fee Received,855,OPEN,Punjab,57,900,860,140,171,171,151,42,41,0,0,No
Application Fee Received,776,OPEN,Punjab,0,807,781,160,152,84,0,152,0,0,0,No
Application Fee Received,803,OPEN,Punjab,49,961,808,146,156,139,37,145,0,0,0,No
Application Fee Received,813,OPEN,Punjab,55,826,818,163,150,127,46,45,130,0,0,No
Application Received,820,OPEN,Punjab,0,880,825,139,119,168,42,148,0,0,0,No
Application Fee Received,783,OPEN,Punjab,57,814,788,148,40,35,160,97,164,0,0,No
Application Fee Received,867,OPEN,Punjab,43,834,872,114,46,40,172,156,187,0,0,No
Application Fee Received,782,OPEN,Punjab,52,793,787,137,155,127,140,40,40,0,0,No
Challan Printed,913,OPEN,Punjab,46,940,918,165,169,156,48,47,170,0,0,No
Application Fee Received,819,OPEN,Punjab,62,749,824,146,46,135,142,143,168,0,0,No
Application Fee Received,714,OPEN,Punjab,0,793,719,127,137,135,122,0,0,0,0,No
Application Fee Received,827,OPEN,Punjab,0,926,832,157,113,162,44,143,42,0,0,No
Application Fee Received,905,OPEN,Punjab,59,808,890,183,160,164,42,150,46,1,0,No
Application Fee Received,760,OPEN,Punjab,34,801,765,110,142,114,167,47,46,0,0,No
Application Fee Received,780,OPEN,Punjab,60,887,785,149,163,46,102,50,132,0,0,No
Application Fee Received,657,OPEN,Punjab,56,630,662,0,0,0,0,0,0,0,0,No
Application Fee Received,962,OPEN,Punjab,86,928,972,167,182,191,174,0,0,1,0,Yes
Application Fee Received,800,OPEN,Punjab,54,635,805,114,170,173,41,141,41,0,0,No
Challan Printed,702,OPEN,Punjab,53,819,707,130,47,111,102,128,0,0,0,No
Challan Printed,873,OPEN,Punjab,42,975,878,151,175,153,46,46,146,0,0,No
Application Fee Received,900,OPEN,Punjab,49,900,905,151,168,176,164,47,48,0,0,No
Application Fee Received,816,OPEN,Punjab,0,845,821,157,147,172,113,38,45,0,0,No
Challan Printed,579,OPEN,Punjab,0,732,584,75,121,43,83,0,94,0,0,No
Application Fee Received,747,OPEN,Punjab,0,691,762,102,109,152,175,43,39,0,0,No
Application Fee Received,879,OPEN,Punjab,0,799,884,149,38,47,166,170,169,0,0,No
Application Fee Received,865,OPEN,Punjab,51,944,850,102,45,47,178,147,180,0,0,No
Application Fee Received,782,OPEN,Punjab,50,799,787,0,0,0,0,0,0,0,0,No
Application Fee Received,859,OPEN,Punjab,0,951,864,133,171,47,139,39,174,0,0,No
Challan Printed,844,OPEN,Punjab,51,759,854,0,0,0,0,0,0,0,0,No
Application Fee Received,737,Bahawalpur,Punjab,0,820,742,127,165,96,47,122,47,0,0,No
Application Received,906,OPEN,Punjab,55,880,891,152,168,148,39,184,48,0,0,No
Application Fee Received,874,OPEN,Punjab,49,846,879,131,45,42,175,165,181,0,0,No
Challan Printed,826,OPEN,Punjab,60,790,831,154,144,145,144,45,46,0,0,No
Application Fee Received,810,OPEN,Punjab,54,892,815,144,41,155,44,123,158,0,0,No
Application Fee Received,788,OPEN,Punjab,52,738,793,114,48,129,160,161,40,0,0,No
Application Fee Received,704,OPEN,Punjab,34,702,709,131,126,124,33,104,43,0,0,No
Application Fee Received,752,OPEN,Punjab,54,763,757,0,0,0,0,0,0,0,0,No
Application Fee Received,670,OPEN,Punjab,0,782,675,113,108,116,44,119,0,0,0,No
Application Fee Received,595,OPEN,Punjab,42,605,600,90,148,101,113,0,0,0,0,No
Application Fee Received,737,OPEN,Punjab,51,919,727,98,37,149,44,107,151,0,0,No
Application Fee Received,828,OPEN,Punjab,69,781,833,148,46,163,162,145,39,0,0,No
Application Fee Received,747,OPEN,Punjab,49,668,752,0,0,0,0,0,0,0,0,No
Application Fee Received,824,OPEN,Punjab,40,752,829,0,0,0,0,0,0,0,0,No
Challan Printed,925,OPEN,Punjab,42,856,930,158,183,172,166,44,0,0,0,No
Application Fee Received,796,OPEN,Punjab,50,747,801,127,132,162,160,40,33,0,0,No
Application Fee Received,708,OPEN,Punjab,0,929,693,93,113,114,36,137,48,0,0,No
Application Fee Received,684,OPEN,Punjab,60,640,689,143,40,87,47,136,98,0,0,No
Application Fee Received,762.914,OPEN,Punjab,44,514,787,38,53,71,72,0,40,0,0,No
Admission Fee Challan Received,647,OPEN,Punjab,44,624,652,0,0,0,0,0,0,1,0,No
Application Fee Received,700,OPEN,Punjab,0,777,705,132,40,140,44,106,137,0,0,No
Application Fee Received,910,OPEN,Punjab,60,845,915,156,182,173,175,44,40,0,0,No
Application Fee Received,726,Bahawalpur,Punjab,60,814,731,120,162,105,37,107,38,0,0,No
Application Fee Received,638,OPEN,Punjab,50,581,643,124,135,101,40,96,45,0,0,No
Application Received,618,OPEN,Punjab,60,602,623,104,85,86,42,139,37,0,0,No
Application Fee Received,867,OPEN,Punjab,50,816,872,172,171,159,132,47,40,0,0,No
Admission Fee Challan Received,876,OPEN,Punjab,63,928,881,128,195,147,164,48,47,1,0,Yes
Application Fee Received,728,OPEN,Punjab,51,814,733,126,136,104,133,0,0,0,0,No
Application Fee Received,956,OPEN,Punjab,81,950,946,0,0,0,0,0,0,1,0,Yes
Challan Printed,787,OPEN,Punjab,0,885,792,179,137,123,126,0,0,0,0,No
Application Fee Received,787,OPEN,Punjab,0,885,792,179,137,123,126,0,0,0,0,No
Application Fee Received,907,OPEN,Punjab,56,864,912,157,167,172,47,180,45,1,0,No
Application Fee Received,827,OPEN,Punjab,44,917,842,137,173,159,47,46,132,0,0,No
Application Fee Received,886,OPEN,Punjab,50,767,891,176,184,140,38,152,46,0,0,No
Application Fee Received,732,OPEN,Punjab,45,750,737,133,125,145,46,48,110,0,0,No
Challan Printed,761,OPEN,Punjab,49,760,746,0,0,0,0,0,0,0,0,No
Application Received,505,OPEN,Punjab,0,701,525,75,107,66,81,37,34,0,0,No
Application Fee Received,790,OPEN,Punjab,0,916,795,119,120,151,49,156,43,0,0,No
Application Fee Received,979,OPEN,Punjab,81,937,984,177,188,179,188,0,45,1,0,Yes
Application Fee Received,777,OPEN,Punjab,52,607,782,134,148,44,150,35,141,0,0,No
Application Fee Received,661,OPEN,Punjab,0,599,666,118,94,126,27,125,45,0,0,No
Application Fee Received,816,OPEN,Punjab,52,853,821,157,141,174,0,0,0,0,0,No
Application Fee Received,752,OPEN,Punjab,0,745,757,118,145,43,125,47,153,0,0,No
Application Received,574,OPEN,Punjab,41,613,579,113,98,44,89,38,83,0,0,No
Application Fee Received,858,OPEN,Punjab,64,839,863,152,161,156,158,44,47,0,0,No
Application Fee Received,787,OPEN,Punjab,42,714,772,119,155,132,139,44,37,0,0,No
Challan Printed,811,OPEN,Punjab,57,798,816,124,172,158,43,128,41,0,0,No
Application Received,886,OPEN,Punjab,55,847,891,156,143,180,48,165,46,0,0,No
Application Fee Received,836,OPEN,Punjab,46,856,841,134,41,153,164,171,41,0,0,No
Application Fee Received,639,OPEN,Punjab,21,664,644,102,44,34,135,117,64,0,0,No
Application Fee Received,646,OPEN,Punjab,57,748,651,44,127,22,98,140,93,0,0,No
Application Fee Received,824,OPEN,Punjab,0,836,829,160,40,158,44,148,127,0,0,No
Application Fee Received,882,OPEN,Punjab,53,867,887,0,0,0,0,0,0,0,0,No
Application Fee Received,796,Bahawalpur,Punjab,44,710,801,148,179,127,0,0,0,0,0,No
Challan Printed,836,OPEN,Punjab,47,901,841,0,0,0,0,0,0,0,0,No
Application Fee Received,708,OPEN,Punjab,0,700,713,131,101,130,31,146,40,0,0,No
Application Fee Received,717,OPEN,Punjab,0,861,702,109,110,128,37,47,107,0,0,No
