Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,906,Bahawalpur,Punjab,62,865,911,159,186,161,146,46,44,0,0,No
Application Fee Received,754,Bahawalpur,Punjab,47,807,759,123,131,43,134,45,146,0,0,No
Application Fee Received,769,Bahawalpur,Punjab,53,919,774,135,102,139,166,45,42,0,0,No
Application Fee Received,721,Bahawalpur,Punjab,0,780,731,117,126,151,44,127,0,0,0,No
Challan Printed,862,Bahawalpur,Punjab,54,784,867,145,137,162,178,0,0,0,0,No
Application Fee Received,551,Bahawalpur,Punjab,0,610,556,130,93,113,0,0,0,0,0,No
Application Fee Received,772,Bahawalpur,Punjab,56,904,777,153,140,121,145,0,0,0,0,No
Application Fee Received,814.343,Bahawalpur,Punjab,0,712,819,0,0,0,0,0,0,0,0,No
Application Fee Received,605,Bahawalpur,Punjab,48,650,610,99,0,0,0,0,0,0,0,No
Application Fee Received,825,Bahawalpur,Punjab,50,837,830,156,133,147,45,149,0,0,0,No
Application Fee Received,874,Bahawalpur,Punjab,47,832,879,151,143,172,177,0,0,0,0,No
Application Fee Received,809,Bahawalpur,Punjab,48,821,814,154,175,137,143,0,0,0,0,No
Application Fee Received,816,Bahawalpur,Punjab,51,714,821,145,136,137,147,44,42,0,0,No
Application Fee Received,805,Bahawalpur,Punjab,52,743,810,153,114,173,138,0,0,0,0,No
Application Fee Received,674,Bahawalpur,Punjab,0,643,684,76,130,142,35,132,36,0,0,No
Application Fee Received,937,Bahawalpur,Punjab,64,845,942,181,160,180,45,176,0,0,0,No
Application Fee Received,864,Bahawalpur,Punjab,58,877,869,166,159,171,45,146,43,0,0,No
Application Fee Received,722,Bahawalpur,Punjab,52,641,727,134,120,142,40,140,27,0,0,No
Admission Fee Challan Received,962,Bahawalpur,Punjab,0,928,947,181,177,161,183,47,42,1,0,Yes
Application Fee Received,780,Bahawalpur,Punjab,53,793,785,132,43,43,149,145,118,0,0,No
Admission Fee Challan Received,841,Bahawalpur,Punjab,0,788,846,157,160,148,151,41,45,1,0,Yes
Application Fee Received,859,Bahawalpur,Punjab,51,882,864,139,152,162,181,47,47,0,0,No
Application Fee Received,662,Bahawalpur,Punjab,52,762,647,81,39,34,135,159,0,0,0,No
Application Fee Received,745,Bahawalpur,Punjab,0,738,750,129,130,137,46,125,44,0,0,No
Application Received,694,Bahawalpur,Punjab,0,934,714,127,122,98,134,0,0,0,0,No
Application Fee Received,850,Bahawalpur,Punjab,59,777,855,171,176,140,47,141,42,0,0,No
Challan Printed,646,Bahawalpur,Punjab,0,631,651,88,0,80,0,148,0,0,0,No
Application Fee Received,860,Bahawalpur,Punjab,65,861,865,164,149,153,0,0,0,1,0,Yes
Application Fee Received,782,Bahawalpur,Punjab,58,860,767,128,168,97,143,0,0,0,0,No
Application Fee Received,601,Bahawalpur,Punjab,0,689,606,69,137,121,89,0,0,0,0,No
Challan Printed,611,Bahawalpur,Punjab,57,665,616,0,0,0,0,0,0,0,0,No
Application Fee Received,729,Bahawalpur,Punjab,59,647,734,136,129,152,103,37,44,0,0,No
Application Fee Received,828,Bahawalpur,Punjab,50,786,833,146,48,42,142,153,156,0,0,No
Application Fee Received,770,Bahawalpur,Punjab,51,852,775,159,41,45,132,136,115,0,0,No
Application Fee Received,722,Bahawalpur,Punjab,53,829,727,142,0,135,0,114,0,0,0,No
Application Fee Received,533,Bahawalpur,Punjab,38,625,548,0,0,0,0,0,0,0,0,No
Application Fee Received,457,Bahawalpur,Punjab,0,646,462,82,84,41,40,60,66,0,0,No
Application Fee Received,954,Bahawalpur,Punjab,58,864,959,0,0,0,0,0,0,1,0,Yes
Application Fee Received,568,Bahawalpur,Punjab,0,578,573,94,85,99,44,99,0,0,0,No
Application Fee Received,797,Bahawalpur,Punjab,53,731,802,169,124,141,135,0,0,0,0,No
Application Fee Received,718,Bahawalpur,Punjab,53,805,723,124,102,161,39,114,44,0,0,No
Application Fee Received,774,Bahawalpur,Punjab,41,877,779,146,46,127,174,101,0,0,0,No
Application Received,895.718,Bahawalpur,Punjab,0,746,905,129,41,93,38,86,88,0,0,No
Application Fee Received,698,Bahawalpur,Punjab,56,687,703,162,104,133,0,0,0,0,0,No
Application Fee Received,818,Bahawalpur,Punjab,0,887,823,142,152,168,0,0,0,0,0,No
Application Fee Received,799,Bahawalpur,Punjab,56,756,804,136,129,154,147,0,0,0,0,No
Application Fee Received,716,Bahawalpur,Punjab,0,716,721,134,137,115,122,0,0,0,0,No
Application Fee Received,788,Bahawalpur,Punjab,48,735,793,146,154,132,0,0,0,0,0,No
Application Fee Received,777,Bahawalpur,Punjab,0,816,787,130,156,149,41,143,43,0,0,No
Admission Fee Challan Received,870,Bahawalpur,Punjab,46,843,875,138,173,171,161,0,0,1,0,Yes
Admission Fee Challan Received,931,Bahawalpur,Punjab,58,784,936,175,159,189,0,0,0,1,0,Yes
Admission Fee Challan Received,868,Bahawalpur,Punjab,15,949,873,145,172,135,0,175,0,1,0,Yes
Application Fee Received,946,Bahawalpur,Punjab,68,878,951,183,179,176,0,0,0,0,0,No
Application Fee Received,538,Bahawalpur,Punjab,51,723,543,70,97,71,96,0,0,0,0,No
Application Fee Received,909,Bahawalpur,Punjab,53,957,914,170,164,160,45,164,43,0,0,No
Challan Printed,773,Bahawalpur,Punjab,52,776,783,136,138,128,154,40,0,0,0,No
Challan Printed,667,Bahawalpur,Punjab,54,705,677,151,40,109,40,93,125,0,0,No
