Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Admission Fee Challan Received,1059.364,Bahawalpur,Punjab,86,950,978,187,188,190,181,42,0,1,0,Yes
Application Fee Received,642,Bahawalpur,Punjab,49,577,598,106,117,33,127,35,84,0,0,No
Application Fee Received,893,Bahawalpur,Punjab,54,810,844,160,37,139,161,162,37,0,0,No
Application Fee Received,1005,Bahawalpur,Punjab,63,883,947,176,177,179,48,171,40,0,0,No
Challan Printed,1026.909,Bahawalpur,Punjab,78,823,953,176,174,183,40,182,43,0,0,No
Application Fee Received,1016.273,Bahawalpur,Punjab,83,899,938,164,181,184,171,44,45,1,0,No
Application Fee Received,1003,Bahawalpur,Punjab,57,858,951,177,179,170,178,0,0,0,0,No
Application Fee Received,974.818,Bahawalpur,Punjab,66,769,913,175,150,186,45,174,42,0,0,No
Application Fee Received,992,Bahawalpur,Punjab,78,831,919,145,48,47,179,178,164,0,0,No
Application Fee Received,1004,Bahawalpur,Punjab,68,885,941,176,168,185,43,172,0,0,0,No
Application Fee Received,865,Bahawalpur,Punjab,61,818,809,141,131,119,165,0,0,0,0,No
Application Fee Received,953,Bahawalpur,Punjab,51,818,907,157,162,175,45,0,0,0,0,No
Admission Fee Challan Received,1058.364,Bahawalpur,Punjab,79,918,989,184,188,178,183,49,47,1,0,Yes
Application Fee Received,1059.364,Bahawalpur,Punjab,85,841,979,177,0,0,0,0,0,1,0,Yes
Application Fee Received,948,Bahawalpur,Punjab,65,943,888,0,0,0,0,0,0,0,0,No
Application Fee Received,1056.364,Bahawalpur,Punjab,84,895,982,174,182,188,46,192,45,1,0,Yes
Application Fee Received,1047.636,Bahawalpur,Punjab,82,970,975,162,185,183,185,46,45,1,0,Yes
Challan Printed,967,Bahawalpur,Punjab,69,892,883,173,164,139,46,167,0,0,0,No
Application Fee Received,709,Bahawalpur,Punjab,67,841,647,105,104,154,112,0,0,0,0,No
Application Fee Received,856,Bahawalpur,Punjab,71,749,770,166,139,111,149,42,0,0,0,No
Application Fee Received,1010.727,Bahawalpur,Punjab,78,848,937,46,162,46,187,162,172,0,0,No
Application Fee Received,863,Bahawalpur,Punjab,44,938,824,156,161,135,46,150,0,0,0,No
Application Fee Received,948,Bahawalpur,Punjab,65,871,888,167,175,156,162,0,0,0,0,No
Challan Printed,697,Bahawalpur,Punjab,45,749,657,111,110,104,40,130,42,0,0,No
Application Fee Received,976.545,Bahawalpur,Punjab,73,914,913,181,170,40,45,171,159,0,0,No
Application Fee Received,965,OPEN,Punjab,63,771,907,194,163,130,165,0,0,0,0,No
Application Fee Received,1024,Bahawalpur,Punjab,71,870,958,167,186,188,179,45,46,1,0,No
Challan Printed,831,Bahawalpur,Punjab,52,869,784,0,0,0,0,0,0,0,0,No
Application Fee Received,946.182,Bahawalpur,Punjab,66,886,885,134,166,163,0,173,0,0,0,No
Application Fee Received,921.455,Bahawalpur,Punjab,77,929,849,164,156,152,153,48,0,0,0,No
Challan Printed,937,Bahawalpur,Punjab,61,962,881,161,165,168,174,43,0,0,0,No
Application Fee Received,949,Bahawalpur,Punjab,64,980,890,138,169,170,170,0,0,0,0,No
Admission Fee Challan Received,1032.091,Bahawalpur,Punjab,76,971,961,173,165,193,45,178,46,1,0,Yes
Application Fee Received,760,Bahawalpur,Punjab,44,907,701,115,45,137,45,123,112,0,0,No
Application Fee Received,786,Bahawalpur,Punjab,59,944,732,138,100,146,148,42,0,0,0,No
Application Fee Received,1009,Bahawalpur,Punjab,67,824,947,152,171,191,189,49,46,0,0,No
Application Fee Received,943,Bahawalpur,Punjab,64,899,884,163,161,152,0,175,0,0,0,No
Challan Printed,959.364,Bahawalpur,Punjab,79,851,890,178,156,139,0,174,0,0,0,No
Application Fee Received,868,Bahawalpur,Punjab,40,840,833,0,0,0,0,0,0,0,0,No
Application Received,785,Bahawalpur,Punjab,49,733,741,150,127,94,160,44,0,0,0,No
Application Fee Received,698,Bahawalpur,Punjab,53,716,650,139,89,123,116,41,0,0,0,No
Application Fee Received,853,Bahawalpur,Punjab,46,899,817,141,159,137,160,0,0,0,0,No
Application Fee Received,909,Bahawalpur,Punjab,49,793,865,168,147,38,154,41,163,0,0,No
Application Fee Received,919,Bahawalpur,Punjab,47,774,877,161,43,154,44,161,0,0,0,No
Application Fee Received,934,Bahawalpur,Punjab,60,972,879,166,154,152,173,0,0,0,0,No
Application Fee Received,940.091,Bahawalpur,Punjab,47,925,898,179,148,153,176,0,0,0,0,No
Application Fee Received,972,Bahawalpur,Punjab,52,935,930,180,187,176,140,89,0,0,0,No
Application Fee Received,989,Bahawalpur,Punjab,65,982,929,0,0,0,0,0,0,0,0,No
Application Fee Received,954,Bahawalpur,Punjab,59,887,900,170,159,169,160,0,0,0,0,No
Application Fee Received,913,Bahawalpur,Punjab,60,867,858,168,159,159,147,0,0,0,0,No
Application Fee Received,844,Bahawalpur,Punjab,47,814,802,170,135,146,41,28,137,0,0,No
Application Fee Received,992,Bahawalpur,Punjab,63,944,934,172,174,170,164,0,0,0,0,No
Application Received,896,Bahawalpur,Punjab,48,967,853,137,146,148,182,44,0,0,0,No
Application Fee Received,962,Bahawalpur,Punjab,50,959,917,167,173,174,154,0,0,0,0,No
Application Fee Received,1021.636,Bahawalpur,Punjab,69,937,957,149,185,185,179,46,48,1,0,No
Challan Printed,964,Bahawalpur,Punjab,43,941,926,182,153,170,47,161,46,0,0,No
Application Fee Received,835,Bahawalpur,Punjab,44,908,796,165,129,162,130,40,44,0,0,No
Application Fee Received,842,Bahawalpur,Punjab,51,850,796,146,137,133,160,45,0,0,0,No
Application Fee Received,928.636,Bahawalpur,Punjab,56,945,877,156,151,155,170,0,0,0,0,No
Admission Fee Challan Received,1040.273,Bahawalpur,Punjab,74,939,971,150,182,178,0,0,0,1,0,Yes
Application Fee Received,1014,Bahawalpur,Punjab,62,922,957,174,186,171,47,173,0,0,0,No
Challan Printed,792,Bahawalpur,Punjab,52,752,745,122,127,144,128,48,0,0,0,No
Application Fee Received,951,Bahawalpur,Punjab,55,918,901,159,158,161,49,178,47,0,0,No
Admission Fee Challan Received,1044,Bahawalpur,Punjab,82,961,972,180,181,176,44,189,45,1,0,Yes
Challan Printed,911,Bahawalpur,Punjab,57,919,859,164,165,133,161,39,44,0,0,No
Application Fee Received,943,Bahawalpur,Punjab,62,726,886,167,146,185,143,45,44,0,0,No
Challan Printed,890,Bahawalpur,Punjab,50,794,825,167,165,145,144,40,44,0,0,No
Application Fee Received,902,Bahawalpur,Punjab,54,724,853,144,184,171,147,44,45,0,0,No
Application Fee Received,666,Bahawalpur,Punjab,53,726,618,0,0,0,0,0,0,0,0,No
Application Fee Received,965,Bahawalpur,Punjab,70,927,900,146,41,160,182,170,40,0,0,No
Challan Printed,973,Bahawalpur,Punjab,60,962,918,146,144,149,46,140,47,0,0,No
Application Fee Received,788,Bahawalpur,Punjab,51,666,742,141,145,125,128,37,34,0,0,No
Application Fee Received,1031,Bahawalpur,Punjab,80,885,956,0,0,0,0,0,0,1,0,No
Application Fee Received,857,Bahawalpur,Punjab,62,820,800,153,135,145,166,44,44,0,0,No
Application Fee Received,949,Bahawalpur,Punjab,52,886,902,165,147,186,35,172,0,0,0,No
Application Fee Received,978,Bahawalpur,Punjab,64,894,919,169,167,175,157,44,41,0,0,No
Challan Printed,850,Bahawalpur,Punjab,55,806,800,0,0,0,0,0,0,0,0,No
Application Fee Received,823,Bahawalpur,Punjab,55,835,773,132,161,125,0,132,0,0,0,No
Admission Fee Challan Received,1032,Bahawalpur,Punjab,81,957,961,170,177,187,188,43,46,1,0,Yes
Application Fee Received,931,Bahawalpur,Punjab,57,880,879,166,155,169,45,157,47,0,0,No
Application Received,909.182,Bahawalpur,Punjab,55,758,864,145,148,167,146,45,44,0,0,No
Application Fee Received,992,Bahawalpur,Punjab,67,979,930,172,186,152,48,172,46,0,0,No
Application Fee Received,663,Bahawalpur,Punjab,53,717,615,112,143,101,0,86,0,0,0,No
Application Fee Received,980,Bahawalpur,Punjab,53,922,932,158,170,38,158,183,188,0,0,No
Application Fee Received,746,Bahawalpur,Punjab,48,819,703,102,42,45,146,132,90,0,0,No
Admission Fee Challan Received,1051.818,Bahawalpur,Punjab,81,950,975,183,186,173,172,48,47,1,0,Yes
Application Fee Received,963,Bahawalpur,Punjab,61,918,907,0,0,0,0,0,0,0,0,No
Application Fee Received,1054.909,Bahawalpur,Punjab,84,953,980,185,174,192,44,178,0,1,0,Yes
Application Fee Received,606,Bahawalpur,Punjab,35,667,576,86,106,72,128,0,0,0,0,No
Application Fee Received,856,Bahawalpur,Punjab,57,885,814,147,44,133,148,164,41,0,0,No
Application Received,618,Bahawalpur,Punjab,52,787,586,110,72,45,98,40,90,0,0,No
Application Fee Received,943,Bahawalpur,Punjab,85,850,868,164,150,166,43,44,134,0,0,No
Application Fee Received,1037.545,Bahawalpur,Punjab,69,941,973,191,184,174,172,0,0,0,0,No
Application Fee Received,809,Bahawalpur,Punjab,58,785,756,104,106,119,145,88,133,0,0,No
Application Fee Received,1026,Bahawalpur,Punjab,67,954,964,172,181,183,186,46,43,1,0,No
Application Fee Received,951,Bahawalpur,Punjab,59,948,897,0,0,0,0,0,0,0,0,No
Application Fee Received,966,Bahawalpur,Punjab,59,949,912,0,0,0,0,0,0,0,0,No
Application Fee Received,994.091,Bahawalpur,Punjab,69,922,930,165,46,185,47,153,176,0,0,No
Application Fee Received,981,Bahawalpur,Punjab,63,950,928,160,42,181,180,172,0,0,0,No
Application Fee Received,1042.909,OPEN,Punjab,72,924,975,180,170,193,48,182,47,1,0,No
Application Fee Received,742,Bahawalpur,Punjab,56,670,691,110,110,103,132,42,43,0,0,No
Application Fee Received,934,Bahawalpur,Punjab,50,895,889,186,153,163,48,164,45,0,0,No
Application Fee Received,648,Bahawalpur,Punjab,45,672,618,91,40,41,126,101,103,0,0,No
Application Fee Received,844.636,Bahawalpur,Punjab,45,900,804,128,38,162,139,172,0,0,0,No
Application Fee Received,952,Bahawalpur,Punjab,44,931,913,164,175,163,165,46,47,0,0,No
Application Fee Received,905,Bahawalpur,Punjab,58,940,852,167,161,42,44,143,134,0,0,No
Application Fee Received,942,Bahawalpur,Punjab,60,743,892,167,165,173,151,0,0,0,0,No
Application Received,907,Bahawalpur,Punjab,0,902,912,181,168,170,44,168,37,0,0,No
Application Fee Received,932.273,Bahawalpur,Punjab,64,904,873,160,157,179,45,133,44,0,0,No
Application Fee Received,996,Bahawalpur,Punjab,70,876,931,173,181,155,47,178,46,0,0,No
Application Fee Received,956,Bahawalpur,Punjab,52,916,909,164,179,155,171,45,43,0,0,No
Application Fee Received,767,Bahawalpur,Punjab,43,733,729,117,128,116,45,143,41,0,0,No
Application Fee Received,844,Bahawalpur,Punjab,47,894,802,0,0,0,0,0,0,0,0,No
Challan Printed,965,Bahawalpur,Punjab,59,908,916,187,170,160,48,45,0,0,0,No
Application Fee Received,1001.364,Bahawalpur,Punjab,74,952,937,167,0,164,0,183,0,0,0,No
Application Fee Received,1052.182,Bahawalpur,Punjab,84,957,978,173,188,179,186,179,0,0,0,No
Application Fee Received,931,Bahawalpur,Punjab,62,910,874,0,0,0,0,0,0,0,0,No
Application Fee Received,873.909,Bahawalpur,Punjab,54,738,824,150,43,172,117,153,46,0,0,No
Application Fee Received,1023.091,Bahawalpur,Punjab,80,941,953,195,173,173,0,193,0,1,0,No
Application Fee Received,928,Bahawalpur,Punjab,51,740,862,176,43,152,131,177,45,0,0,No
Challan Printed,931,Bahawalpur,Punjab,43,927,893,134,121,138,95,135,94,0,0,No
Application Fee Received,933,Bahawalpur,Punjab,58,902,880,131,46,35,170,170,172,0,0,No
Application Fee Received,1010,Bahawalpur,Punjab,70,956,950,180,167,175,47,179,46,0,0,No
Challan Printed,923.364,Bahawalpur,Punjab,50,918,878,160,163,146,42,166,0,0,0,No
Admission Fee Challan Received,1039.818,Bahawalpur,Punjab,84,927,965,0,0,0,0,0,0,1,0,Yes
Application Fee Received,1000,Bahawalpur,Punjab,70,885,935,169,177,169,165,0,0,0,0,No
Application Fee Received,998.818,Bahawalpur,Punjab,73,930,940,0,0,0,0,0,0,0,0,No
Application Fee Received,924,Bahawalpur,Punjab,60,1001,869,153,172,144,47,147,48,0,0,No
Challan Printed,894,Bahawalpur,Punjab,57,972,842,0,0,0,0,0,0,0,0,No
Application Received,-30,Bahawalpur,Punjab,0,0,0,0,0,0,0,0,,0,0,No
Application Fee Received,1004,Bahawalpur,Punjab,67,768,942,170,158,182,47,180,47,0,0,No
Application Fee Received,879,Bahawalpur,Punjab,48,644,841,161,160,187,123,0,0,0,0,No
Application Fee Received,1003.182,Bahawalpur,Punjab,69,798,939,174,188,179,156,47,48,0,0,No
Application Fee Received,839,Bahawalpur,Punjab,48,861,796,142,46,42,158,136,143,0,0,No
Application Fee Received,790,Bahawalpur,Punjab,29,777,800,146,132,135,46,145,47,0,0,No
Application Fee Received,773,Bahawalpur,Punjab,53,758,705,0,0,0,0,0,0,0,0,No
Challan Printed,570,Bahawalpur,Punjab,0,657,595,94,128,147,71,36,38,0,0,No
Challan Printed,1017.091,Bahawalpur,Punjab,83,890,944,175,175,178,189,44,45,0,0,No
Challan Printed,864,Bahawalpur,Punjab,0,821,849,154,146,166,153,43,42,0,0,No
Application Fee Received,989,Bahawalpur,Punjab,65,888,934,169,172,168,47,180,46,0,0,No
Application Fee Received,996.091,Bahawalpur,Punjab,66,724,935,148,45,45,179,174,175,0,0,No
Application Fee Received,746,Bahawalpur,Punjab,62,618,689,84,115,123,161,0,0,0,0,No
Admission Fee Challan Received,1061,Bahawalpur,Punjab,82,969,989,187,177,178,45,191,49,1,0,Yes
Application Fee Received,894,Bahawalpur,Punjab,50,969,849,147,143,155,0,0,0,0,0,No
Application Fee Received,980,Bahawalpur,Punjab,50,845,935,182,189,166,143,45,44,0,0,No
Application Fee Received,1108.455,Bahawalpur,Punjab,80,991,1013,181,195,187,192,48,45,0,0,No
Application Fee Received,979,Bahawalpur,Punjab,53,882,931,135,130,118,183,154,164,0,0,No
Application Fee Received,959,Bahawalpur,Punjab,63,948,901,156,45,46,173,157,158,0,0,No
Admission Fee Challan Received,1051,Bahawalpur,Punjab,81,947,975,157,190,189,184,0,0,1,0,Yes
Application Fee Received,874,Bahawalpur,Punjab,65,834,814,123,150,172,43,45,132,0,0,No
Admission Fee Challan Received,1042,Bahawalpur,Punjab,70,965,982,176,192,187,158,93,0,1,0,Yes
Application Fee Received,801,Bahawalpur,Punjab,51,730,755,145,113,149,115,43,42,0,0,No
Application Fee Received,761,Bahawalpur,Punjab,57,705,689,139,113,98,106,44,42,0,0,No
Admission Fee Challan Received,1038.727,Bahawalpur,Punjab,72,980,971,173,197,93,171,187,0,1,0,Yes
Application Fee Received,913,Bahawalpur,Punjab,66,883,852,191,0,176,0,138,0,0,0,No
Application Fee Received,1009,Bahawalpur,Punjab,64,860,950,169,178,44,183,191,0,0,0,No
Application Fee Received,792,Bahawalpur,Punjab,42,832,755,134,42,48,129,120,122,0,0,No
Application Fee Received,981,Bahawalpur,Punjab,58,906,928,179,162,177,0,182,0,0,0,No
Application Fee Received,750,Bahawalpur,Punjab,58,718,697,158,135,107,128,37,28,1,0,No
Application Fee Received,817,Bahawalpur,Punjab,50,749,752,146,124,165,86,48,46,0,0,No
Application Fee Received,1029,Bahawalpur,Punjab,62,960,972,170,178,49,189,42,187,1,0,No
Application Fee Received,953,Bahawalpur,Punjab,51,872,907,144,196,177,176,40,45,0,0,No
Application Fee Received,794,Bahawalpur,Punjab,42,810,757,135,145,136,133,0,0,0,0,No
Application Fee Received,996,Bahawalpur,Punjab,65,958,936,167,164,177,47,182,45,0,0,No
Admission Fee Challan Received,1061.364,Bahawalpur,Punjab,85,877,981,174,185,177,49,176,48,1,0,Yes
Challan Printed,880,Bahawalpur,Punjab,51,739,834,157,43,163,41,152,141,0,0,No
Application Fee Received,1031.182,Bahawalpur,Punjab,66,951,970,185,160,180,47,186,46,0,0,No
Challan Printed,862,Bahawalpur,Punjab,55,815,817,144,158,135,146,0,0,0,0,No
Admission Fee Challan Received,1045.818,Bahawalpur,Punjab,76,914,979,176,0,190,0,178,0,1,0,Yes
Application Fee Received,932,Bahawalpur,Punjab,55,778,882,155,48,170,40,168,161,0,0,No
Application Fee Received,1021.273,Bahawalpur,Punjab,67,970,959,160,190,188,179,48,48,1,0,No
Application Fee Received,944,Bahawalpur,Punjab,52,877,897,123,184,171,0,171,0,0,0,No
Application Fee Received,1006,Bahawalpur,Punjab,60,898,951,167,191,174,185,42,48,0,0,No
Challan Printed,609,Bahawalpur,Punjab,0,880,594,0,0,0,0,0,0,0,0,No
Application Fee Received,1016,Bahawalpur,Punjab,64,945,957,169,191,168,174,49,0,0,0,No
Application Fee Received,1002.091,Bahawalpur,Punjab,67,924,940,164,170,171,179,92,0,0,0,No
Challan Printed,950.636,Bahawalpur,Punjab,64,876,891,141,48,45,193,165,166,0,0,No
Challan Printed,985,Bahawalpur,Punjab,58,901,932,179,174,180,178,42,48,0,0,No
Application Fee Received,19,Bahawalpur,Punjab,49,0,0,0,0,0,0,0,,0,0,No
Challan Printed,679,Bahawalpur,Punjab,38,702,651,102,89,100,0,0,0,0,0,No
Application Received,973.636,Bahawalpur,Punjab,65,878,913,171,0,165,0,174,0,0,0,No
Application Fee Received,1007.818,Bahawalpur,Punjab,72,921,940,160,180,49,186,48,183,0,0,No
Application Fee Received,843,Bahawalpur,Punjab,49,889,799,147,109,147,44,160,48,0,0,No
Application Fee Received,806,Bahawalpur,Punjab,46,828,770,132,46,129,152,130,0,0,0,No
Application Fee Received,1078.455,Bahawalpur,Punjab,83,970,1005,182,186,193,188,0,0,0,0,No
Application Fee Received,1017.818,Bahawalpur,Punjab,84,947,948,186,175,187,47,173,46,0,0,No
Application Fee Received,835,Bahawalpur,Punjab,58,840,782,156,108,148,0,144,0,0,0,No
Application Received,908,Bahawalpur,Punjab,63,700,850,150,150,150,150,150,150,0,0,No
Application Fee Received,1020.909,Bahawalpur,Punjab,67,960,958,180,184,194,47,45,158,1,0,No
Application Fee Received,1010,Bahawalpur,Punjab,60,913,955,179,170,180,49,168,0,0,0,No
Application Fee Received,919,Bahawalpur,Punjab,52,936,872,134,171,173,0,163,0,0,0,No
Application Fee Received,1005.455,Bahawalpur,Punjab,81,909,934,0,0,0,0,0,0,0,0,No
Application Fee Received,891,Bahawalpur,Punjab,60,888,836,132,169,151,150,0,0,0,0,No
Application Fee Received,1009,Bahawalpur,Punjab,55,883,959,156,193,42,188,43,179,0,0,No
Application Fee Received,1014,Bahawalpur,Punjab,75,957,949,181,152,194,48,179,0,1,0,No
Challan Printed,888,Bahawalpur,Punjab,50,764,843,0,0,0,0,0,0,0,0,No
Application Fee Received,708,Bahawalpur,Punjab,32,815,713,0,0,0,0,0,0,0,0,No
Application Fee Received,888,Bahawalpur,Punjab,51,837,842,158,44,159,0,158,0,0,0,No
Application Fee Received,780,Bahawalpur,Punjab,37,754,748,130,112,147,117,0,0,0,0,No
Application Fee Received,879,Bahawalpur,Punjab,47,839,837,163,120,154,160,0,0,0,0,No
Application Fee Received,852,Bahawalpur,Punjab,40,680,817,161,152,121,0,0,0,0,0,No
Application Fee Received,888,Bahawalpur,Punjab,47,837,851,175,141,156,41,156,43,0,0,No
Application Received,870,Bahawalpur,Punjab,41,911,834,179,0,122,0,121,0,0,0,No
Application Fee Received,999.818,Bahawalpur,Punjab,77,951,927,0,0,0,0,0,0,0,0,No
Application Fee Received,982,Bahawalpur,Punjab,75,968,912,189,172,155,161,47,43,0,0,No
Application Fee Received,843,Bahawalpur,Punjab,53,858,795,159,153,113,141,46,46,0,0,No
Application Fee Received,737,Bahawalpur,Punjab,55,902,687,120,36,120,46,114,137,0,0,No
Challan Printed,1018,Bahawalpur,Punjab,70,957,958,182,168,178,47,176,49,0,0,No
Application Fee Received,907.091,Bahawalpur,Punjab,53,799,859,160,151,173,47,147,0,0,0,No
Application Fee Received,993.727,Bahawalpur,Punjab,71,893,932,150,178,43,177,44,179,0,0,No
Application Received,1059.727,Bahawalpur,Punjab,87,956,977,174,185,193,166,46,45,0,0,No
Application Fee Received,1012,Bahawalpur,Punjab,74,945,943,169,42,178,50,185,157,1,0,No
Application Fee Received,828,Bahawalpur,Punjab,43,798,790,126,35,126,141,181,45,0,0,No
Application Fee Received,939.727,Bahawalpur,Punjab,59,912,890,171,156,163,43,147,43,0,0,No
Application Fee Received,644,Bahawalpur,Punjab,45,792,604,118,79,89,129,0,0,0,0,No
Application Fee Received,831,Bahawalpur,Punjab,56,846,780,127,138,148,136,0,0,0,0,No
Challan Printed,948,Bahawalpur,Punjab,59,832,894,179,165,157,157,0,0,0,0,No
Application Fee Received,939,Bahawalpur,Punjab,51,888,893,168,143,185,144,0,0,0,0,No
Application Fee Received,1028.455,Bahawalpur,Punjab,84,945,949,170,174,175,43,182,49,0,0,No
Challan Printed,878,Bahawalpur,Punjab,44,803,844,154,157,143,43,149,44,0,0,No
Application Fee Received,845,Bahawalpur,Punjab,55,798,775,0,0,0,0,0,0,0,0,No
Application Fee Received,622,Bahawalpur,Punjab,49,678,578,74,112,103,67,0,0,0,0,No
Application Fee Received,970,OPEN,Punjab,50,861,925,166,183,170,0,0,0,0,0,No
Application Fee Received,710,OPEN,Baluchistan,29,873,715,125,44,118,48,128,99,0,0,No
Application Fee Received,963,OPEN,Punjab,57,933,911,168,46,171,155,179,44,0,0,No
Challan Printed,1050.909,OPEN,Punjab,69,951,966,0,0,0,0,0,0,0,0,No
Challan Printed,1032.909,OPEN,Punjab,72,916,970,185,166,187,44,192,46,0,0,No
Application Fee Received,928,OPEN,Punjab,0,804,913,0,0,0,0,0,0,0,0,No
Challan Printed,846,OPEN,Punjab,47,595,804,154,114,144,39,152,40,0,0,No
Application Fee Received,1005.727,OPEN,Punjab,70,904,940,179,190,171,44,46,164,0,0,No
Challan Printed,750,OPEN,Punjab,40,835,715,118,115,138,43,123,39,0,0,No
Application Fee Received,1017.727,OPEN,Punjab,61,907,961,174,183,181,176,0,0,0,0,No
Application Fee Received,919,OPEN,Punjab,60,894,864,162,163,161,42,46,137,0,0,No
Challan Printed,916.636,OPEN,Punjab,60,682,861,159,136,156,166,0,0,0,0,No
Application Fee Received,940,OPEN,Punjab,44,726,901,0,0,0,0,0,0,0,0,No
Challan Printed,902,OPEN,Punjab,0,581,907,138,46,45,179,171,171,0,0,No
Challan Printed,949.909,OPEN,Punjab,42,739,912,0,0,0,0,0,0,0,0,No
Application Fee Received,1002,OPEN,Punjab,59,974,953,0,0,0,0,0,0,0,0,No
Application Fee Received,948.455,OPEN,Punjab,45,829,908,0,0,0,0,0,0,0,0,No
Application Fee Received,958,OPEN,Punjab,47,717,916,175,46,174,133,188,42,0,0,No
Application Fee Received,837,OPEN,Punjab,38,767,804,150,149,149,121,39,42,1,0,No
Application Fee Received,1066.273,OPEN,Punjab,79,935,992,173,196,44,182,48,187,0,0,No
Application Fee Received,1044.545,OPEN,Punjab,79,887,970,174,173,184,47,181,0,1,0,No
Application Received,-30,OPEN,Punjab,0,0,0,0,0,0,0,0,,0,0,No
Challan Printed,929,OPEN,Punjab,52,746,882,154,142,151,172,0,0,0,0,No
Application Fee Received,995,OPEN,Punjab,55,944,945,170,188,166,172,0,0,0,0,No
Application Fee Received,1009,OPEN,Punjab,71,859,948,168,174,183,171,46,48,0,0,No
Application Fee Received,1030.636,OPEN,Punjab,86,908,934,176,179,188,164,0,0,0,0,No
Application Fee Received,985,OPEN,Punjab,44,819,946,164,182,178,173,45,43,0,0,No
Application Fee Received,1033,OPEN,Punjab,65,923,953,0,0,0,0,0,0,0,0,No
Application Fee Received,986.455,OPEN,Punjab,59,896,932,142,183,189,177,0,0,0,0,No
Application Fee Received,999,OPEN,Punjab,75,957,934,173,152,183,43,184,46,0,0,No
Application Fee Received,1065.636,OPEN,Punjab,87,876,983,175,189,189,175,47,47,1,0,Yes
Application Fee Received,998,OPEN,Punjab,82,793,921,173,141,192,46,180,42,0,0,No
Application Fee Received,1046.091,OPEN,Punjab,82,850,969,177,187,176,193,0,0,0,0,No
Application Fee Received,988,OPEN,Punjab,54,897,919,158,174,161,47,175,45,0,0,No
Application Fee Received,1002.182,OPEN,Punjab,72,909,935,148,173,182,186,0,0,0,0,No
Application Fee Received,1027.091,OPEN,Punjab,82,936,950,174,190,175,177,45,47,0,0,No
Application Fee Received,967,OPEN,Punjab,48,798,924,157,184,174,184,0,0,0,0,No
Application Fee Received,960,OPEN,Punjab,54,837,891,156,179,152,0,154,0,0,0,No
Application Fee Received,734,OPEN,Baluchistan,37,589,702,116,125,128,116,0,0,0,0,No
Application Fee Received,1018.182,OPEN,Punjab,78,958,945,189,156,180,45,182,43,0,0,No
Application Fee Received,944,OPEN,Punjab,62,808,887,151,176,136,174,0,0,0,0,No
Application Fee Received,1027.727,OPEN,Punjab,76,1001,961,163,195,173,171,0,0,0,0,No
Challan Printed,967.636,OPEN,Punjab,53,906,919,171,172,157,0,0,0,0,0,No
Application Fee Received,1037.636,OPEN,Punjab,82,886,965,180,189,176,176,0,0,0,0,No
Application Fee Received,988.273,OPEN,Punjab,57,878,936,140,189,175,187,0,0,0,0,No
Application Fee Received,979.818,OPEN,Punjab,67,925,917,0,0,0,0,0,0,0,0,No
Application Fee Received,969,OPEN,Punjab,60,985,914,157,46,45,172,183,143,0,0,No
Application Fee Received,1022.364,OPEN,Punjab,86,920,941,172,179,166,43,44,184,0,0,No
Application Fee Received,1017.455,OPEN,Punjab,81,922,941,164,163,174,49,46,184,0,0,No
Challan Printed,985,OPEN,Punjab,60,845,930,182,125,196,46,178,43,0,0,No
Application Fee Received,1000.273,OPEN,Punjab,78,833,927,0,0,0,0,0,0,0,0,No
Application Fee Received,897,OPEN,Punjab,0,849,902,0,0,0,0,0,0,0,0,No
Application Fee Received,712,OPEN,Punjab,23,803,722,0,0,0,0,0,0,0,0,No
Application Fee Received,1033.455,OPEN,Punjab,69,906,969,165,181,185,191,48,49,0,0,No
Application Fee Received,951,OPEN,Punjab,0,977,961,174,187,47,168,48,170,0,0,No
Application Fee Received,952,OPEN,Punjab,50,860,907,169,167,169,42,168,46,0,0,No
Application Fee Received,1040.818,OPEN,Punjab,87,951,963,172,177,175,186,47,45,0,0,No
Application Fee Received,971.364,OPEN,Punjab,62,863,914,0,0,0,0,0,0,0,0,No
Application Fee Received,993.182,OPEN,Punjab,67,816,931,167,160,162,44,185,49,0,0,No
Application Fee Received,1016.727,OPEN,Punjab,84,897,937,0,0,0,0,0,0,0,0,No
Application Fee Received,911,OPEN,Punjab,38,841,858,148,138,174,47,163,43,0,0,No
Challan Printed,992.818,OPEN,Punjab,52,929,945,161,44,44,175,172,184,0,0,No
Application Fee Received,1019,OPEN,Punjab,67,954,957,0,0,0,0,0,0,0,0,No
Challan Printed,1012,OPEN,Punjab,77,837,940,140,156,156,170,43,0,0,0,No
Application Fee Received,977,OPEN,Punjab,50,850,932,155,45,0,0,0,0,0,0,No
Application Fee Received,1000.909,OPEN,Punjab,55,932,950,0,0,0,0,0,0,0,0,No
Application Fee Received,1019.909,OPEN,Punjab,72,899,932,0,0,0,0,0,0,0,0,No
Application Fee Received,987.273,OPEN,Punjab,56,910,936,0,0,0,0,0,0,0,0,No
Application Fee Received,1003.909,OPEN,Punjab,68,837,940,178,167,156,186,46,48,0,0,No
Application Received,1017.636,OPEN,Punjab,68,893,954,161,175,182,187,47,45,0,0,No
Application Fee Received,1017.273,OPEN,Punjab,55,966,967,176,181,181,171,0,0,0,0,No
