Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,876,Bahawalpur,Punjab,70,890,811,145,144,152,44,146,0,0,0,No
Application Fee Received,870,Bahawalpur,Punjab,63,801,812,160,136,39,139,47,131,0,0,No
Application Fee Received,982,Bahawalpur,Punjab,80,953,907,41,172,166,163,45,164,0,0,No
Application Fee Received,743,Bahawalpur,Punjab,52,853,696,126,94,44,125,43,107,0,0,No
Application Fee Received,953,Bahawalpur,Punjab,62,920,896,164,47,159,179,164,0,0,0,No
Application Fee Received,979,Bahawalpur,Punjab,55,910,929,176,166,175,0,160,0,0,0,No
Application Fee Received,983,Bahawalpur,Punjab,60,931,928,149,47,173,48,178,0,0,0,No
Admission Fee Challan Received,1038,Bahawalpur,Punjab,79,966,969,181,160,190,188,0,0,1,0,Yes
Application Fee Received,970,Bahawalpur,Punjab,62,848,913,182,63,177,161,45,0,0,0,No
Challan Printed,1022,Bahawalpur,Punjab,53,955,974,163,193,176,188,45,0,0,0,No
Application Received,930,Bahawalpur,Punjab,58,927,877,0,0,0,0,0,0,0,0,No
Application Fee Received,648,Bahawalpur,Punjab,47,734,606,116,139,100,36,70,28,0,0,No
Application Fee Received,961,Bahawalpur,Punjab,58,753,908,188,145,182,41,39,163,0,0,No
Application Fee Received,952,Bahawalpur,Punjab,52,808,905,168,150,144,181,48,46,0,0,No
Application Fee Received,767,Bahawalpur,Punjab,51,769,721,126,121,137,41,129,0,0,0,No
Application Fee Received,978,Bahawalpur,Punjab,82,909,901,167,0,0,0,0,0,0,0,No
Application Fee Received,954,Bahawalpur,Punjab,56,817,903,169,46,45,160,165,163,0,0,No
Application Fee Received,935,Bahawalpur,Punjab,52,921,888,153,163,153,161,48,0,0,0,No
Application Fee Received,1015,Bahawalpur,Punjab,58,957,962,172,47,48,179,171,180,0,0,No
Application Fee Received,986.273,Bahawalpur,Punjab,57,683,934,198,170,167,43,155,47,0,0,No
Application Fee Received,871,Bahawalpur,Punjab,50,827,826,128,42,43,152,159,153,0,0,No
Application Fee Received,797,Bahawalpur,Punjab,48,811,754,0,0,0,0,0,0,0,0,No
Application Fee Received,931.182,Bahawalpur,Punjab,54,880,882,186,173,148,47,136,44,0,0,No
Challan Printed,857,Bahawalpur,Punjab,58,815,809,144,143,47,157,39,142,0,0,No
Application Fee Received,930,Bahawalpur,Punjab,61,853,874,180,47,47,153,132,154,0,0,No
