Application Status,Domicile,Gender,Province,Admission Test,SSC,Terminal Degree,Document Verified,English Marks,Offered
Complete,Bahawalpur,male,Punjab,58,840,782,1,0,No
Complete,Bahawalpur,male,Punjab,59,649,873,1,0,Yes
Complete,Bahawalpur,male,Punjab,54,701,765,0,0,No
Complete,Bahawalpur,male,Punjab,52,557,600,0,0,No
Complete,Bahawalpur,male,Punjab,50,661,513,0,0,No
Complete,Bahawalpur,male,Punjab,57,747,633,0,0,No
Complete,Bahawalpur,male,Punjab,53,509,662,0,0,No
Complete,Bahawalpur,male,Punjab,40,530,859,1,0,No
No,Bahawalpur,female,Punjab,53,844,865,0,0,No
No,Bahawalpur,male,Punjab,53,730,800,0,0,No
No,Bahawalpur,male,Punjab,51,734,627,0,0,No
No,Bahawalpur,male,Punjab,50,634,709,0,0,No
No,Bahawalpur,female,Punjab,44,876,678,0,0,No
Complete,Bahawalpur,male,Punjab,49,835,770,0,0,No
Complete,Bahawalpur,male,Punjab,52,582,635,0,0,No
No,Bahawalpur,male,Punjab,43,817,754,0,0,No
Complete,Bahawalpur,male,Punjab,53,770,616,0,0,No
No,Bahawalpur,female,Punjab,45,792,604,0,0,No
No,Bahawalpur,male,Punjab,47,739,754,0,0,No
Complete,Bahawalpur,female,Punjab,59,832,894,0,0,No
Complete,Bahawalpur,male,Punjab,49,872,807,0,0,No
No,Bahawalpur,male,Punjab,55,513,666,0,0,No
Complete,Bahawalpur,male,Punjab,50,642,531,0,0,No
Complete,Bahawalpur,male,Punjab,41,783,840,1,0,No
No,Bahawalpur,male,Punjab,0,518,484,0,0,No
No,Bahawalpur,female,Punjab,54,756,581,0,0,No
No,Bahawalpur,male,Punjab,51,700,794,0,0,No
Complete,Bahawalpur,male,Punjab,24,511,859,0,0,No
Complete,Bahawalpur,male,Punjab,50,826,626,0,0,No
No,Bahawalpur,male,Punjab,43,753,608,0,0,No
Complete,Bahawalpur,female,Punjab,46,756,589,0,0,No
No,Bahawalpur,male,Punjab,68,879,775,0,0,No
No,OPEN,male,Punjab,0,931,756,0,0,No
Complete,OPEN,male,Punjab,56,799,829,0,0,No
Complete,OPEN,male,Punjab,40,835,715,1,0,No
No,OPEN,male,Punjab,34,613,654,0,0,No
Complete,OPEN,male,Punjab,56,844,804,0,0,No
Complete,Bahawalpur,male,Punjab,50,645,703,0,0,No
No,OPEN,male,Punjab,47,792,741,0,0,No
Complete,OPEN,male,Punjab,57,735,686,0,0,No
Complete,OPEN,male,Punjab,50,691,675,0,0,No
Complete,OPEN,male,Punjab,50,623,634,0,0,No
No,OPEN,male,Punjab,50,812,742,0,0,No
Complete,OPEN,female,Punjab,48,561,861,0,0,No
Complete,OPEN,male,Baluchistan,37,589,702,0,0,No
No,OPEN,male,Punjab,40,812,755,0,0,No
Complete,OPEN,female,Punjab,54,869,871,0,0,No
No,OPEN,male,Punjab,26,718,688,0,0,No
No,OPEN,male,Punjab,0,933,841,0,0,No
Complete,OPEN,female,Punjab,0,798,780,0,0,No
Complete,OPEN,male,Punjab,53,931,815,1,0,No
Complete,OPEN,male,Punjab,52,818,856,1,0,Yes
Complete,OPEN,male,Punjab,42,652,817,0,0,No
Complete,OPEN,male,Punjab,53,762,842,0,0,No
No,OPEN,male,Punjab,48,740,704,0,0,No
No,OPEN,male,Punjab,0,818,856,0,0,No
No,OPEN,male,Punjab,0,813,804,0,0,No
Complete,OPEN,male,Punjab,66,849,814,0,0,No
Complete,OPEN,female,Punjab,49,879,723,0,0,No
No,OPEN,male,Punjab,73,940,834,0,0,No
Complete,OPEN,male,Punjab,59,940,893,0,0,No
Complete,OPEN,male,Punjab,48,797,780,0,0,No
Complete,OPEN,male,Punjab,38,856,839,0,0,No
Complete,OPEN,male,Punjab,59,761,803,0,0,No
Complete,OPEN,male,Punjab,62,772,841,1,0,Yes
Complete,OPEN,male,Punjab,48,733,693,0,0,No
Complete,OPEN,male,Punjab,49,882,842,0,0,No
No,OPEN,male,Punjab,55,891,830,0,0,No
No,OPEN,male,Punjab,0,722,501,0,0,No
Complete,OPEN,male,Punjab,47,823,806,0,0,No
Complete,OPEN,male,Punjab,53,877,849,1,0,Yes
No,OPEN,male,Punjab,0,651,629,0,0,No
Complete,OPEN,male,Punjab,50,693,681,0,0,No
Complete,OPEN,male,Punjab,50,613,725,0,0,No
No,OPEN,male,Punjab,64,862,826,0,0,No
Complete,OPEN,male,Punjab,44,796,782,0,0,No
Complete,OPEN,female,Punjab,44,901,871,0,0,No
No,OPEN,male,Punjab,56,697,728,0,0,No
Complete,OPEN,male,Punjab,59,931,905,1,0,Yes
Complete,OPEN,male,Punjab,46,764,690,0,0,No
Complete,OPEN,male,Punjab,53,517,600,0,0,No
No,OPEN,male,Punjab,41,738,741,0,0,No
Complete,OPEN,female,Punjab,0,708,691,0,0,No
Complete,OPEN,male,Punjab,45,723,698,0,0,No
Complete,OPEN,male,Punjab,26,635,557,0,0,No
Complete,OPEN,male,Punjab,50,655,618,0,0,No
Complete,OPEN,male,Punjab,47,820,856,0,0,No
No,OPEN,male,Punjab,0,783,766,0,0,No
Complete,OPEN,male,Punjab,54,865,848,0,0,No
No,Bahawalpur,female,Punjab,47,765,529,0,0,No
Complete,OPEN,male,Punjab,44,684,608,0,0,No
No,OPEN,male,Punjab,46,639,747,0,0,No
Complete,OPEN,male,Punjab,59,848,888,0,0,No
Complete,OPEN,male,Punjab,0,506,501,0,0,No
Complete,OPEN,male,Punjab,50,861,817,0,0,No
Complete,Bahawalpur,female,Punjab,44,782,852,1,0,Yes
No,OPEN,male,Punjab,49,729,674,0,0,No
No,OPEN,male,Punjab,60,931,920,0,0,No
No,OPEN,male,Punjab,0,831,843,0,0,No
Complete,OPEN,male,Punjab,58,776,827,0,0,No
No,OPEN,male,Punjab,0,775,690,0,0,No
Complete,OPEN,male,Punjab,83,827,833,0,0,No
No,OPEN,male,Punjab,0,690,713,0,0,No
No,OPEN,male,Punjab,50,641,664,0,0,No
Complete,OPEN,male,Punjab,49,757,707,0,0,No
No,OPEN,male,Punjab,41,835,658,0,0,No
Complete,OPEN,male,Punjab,54,718,764,0,0,No
No,OPEN,female,Punjab,52,693,801,0,0,No
Complete,Bahawalpur,male,Punjab,55,667,627,0,0,No
Complete,OPEN,female,Punjab,49,800,879,0,0,No
No,OPEN,male,Punjab,46,663,862,0,0,No
Complete,OPEN,female,Punjab,52,829,892,0,0,No
No,OPEN,male,Punjab,41,777,661,0,0,No
Complete,OPEN,male,Punjab,22,717,811,0,0,No
Complete,OPEN,male,Punjab,40,644,701,0,0,No
Complete,OPEN,male,Punjab,54,790,706,0,0,No
Complete,OPEN,male,Punjab,43,812,882,0,0,No
Complete,OPEN,male,Punjab,50,749,726,0,0,No
Complete,OPEN,male,Punjab,51,937,875,0,0,No
Complete,OPEN,male,Punjab,43,823,704,0,0,No
Complete,OPEN,male,Punjab,63,739,816,0,0,No
No,OPEN,male,Punjab,52,669,642,0,0,No
Complete,OPEN,male,Punjab,60,840,765,1,0,No
Complete,OPEN,female,Punjab,46,715,689,0,0,No
Complete,OPEN,male,Punjab,33,601,647,0,0,No
Complete,Bahawalpur,male,Punjab,51,808,825,1,0,No
Complete,OPEN,female,Punjab,57,900,860,0,0,No
Complete,OPEN,male,Punjab,51,662,754,0,0,No
No,OPEN,male,Punjab,60,701,748,0,0,No
Complete,OPEN,male,Punjab,55,826,818,0,0,No
Complete,OPEN,male,Punjab,50,453,546,0,0,No
Complete,OPEN,male,Punjab,57,724,780,0,0,No
Complete,OPEN,male,Punjab,60,832,683,0,0,No
Complete,OPEN,male,Punjab,60,554,682,0,0,No
Complete,OPEN,male,Punjab,52,864,659,0,0,No
No,OPEN,male,Punjab,55,758,694,0,0,No
Complete,OPEN,male,Punjab,54,638,717,0,0,No
Complete,OPEN,male,Punjab,50,701,816,0,0,No
No,OPEN,male,Punjab,43,703,723,0,0,No
No,OPEN,female,Punjab,50,798,814,0,0,No
Complete,OPEN,male,Punjab,32,717,788,0,0,No
No,OPEN,female,Punjab,0,831,794,0,0,No
Complete,OPEN,female,Punjab,41,636,763,0,0,No
Complete,OPEN,male,Punjab,48,826,757,0,0,No
Complete,OPEN,male,Punjab,43,615,854,0,0,No
Complete,OPEN,male,Punjab,62,865,913,1,0,Yes
Complete,OPEN,male,Punjab,49,915,800,0,0,No
Complete,OPEN,male,Punjab,31,693,650,0,0,No
Complete,OPEN,male,Punjab,50,799,787,0,0,No
Complete,OPEN,male,Punjab,51,673,746,0,0,No
Complete,OPEN,male,Punjab,59,737,627,0,0,No
Complete,OPEN,male,Punjab,50,488,744,0,0,No
No,OPEN,male,Punjab,42,734,604,0,0,No
No,OPEN,male,Punjab,41,449,818,0,0,No
No,OPEN,male,Punjab,46,743,794,0,0,No
Complete,OPEN,male,Punjab,47,737,590,0,0,No
Complete,OPEN,male,Punjab,53,712,775,0,0,No
Complete,OPEN,male,Punjab,49,846,879,0,0,No
Complete,OPEN,male,Punjab,50,708,613,0,0,No
Complete,OPEN,male,Punjab,53,821,812,0,0,No
Complete,OPEN,male,Punjab,50,561,745,0,0,No
Complete,OPEN,male,Punjab,50,598,622,0,0,No
Complete,OPEN,male,Punjab,50,616,840,0,0,No
Complete,OPEN,male,Punjab,59,836,791,1,0,No
Complete,OPEN,male,Punjab,34,512,611,0,0,No
Complete,OPEN,male,Punjab,60,853,815,0,0,No
Complete,OPEN,male,Punjab,49,878,815,0,0,No
Complete,OPEN,male,Punjab,55,777,679,0,0,No
Complete,OPEN,male,Punjab,50,683,794,0,0,No
Complete,OPEN,male,Punjab,40,802,772,1,0,No
No,OPEN,male,Punjab,43,620,800,0,0,No
Complete,OPEN,male,Punjab,50,747,801,0,0,No
Complete,OPEN,male,Punjab,72,758,592,0,0,No
Complete,OPEN,male,Punjab,34,569,729,0,0,No
Complete,OPEN,male,Punjab,45,585,601,0,0,No
No,OPEN,male,Punjab,43,837,756,0,0,No
Complete,Bahawalpur,male,Punjab,50,936,787,0,0,No
Complete,OPEN,male,Punjab,44,768,847,0,0,No
No,OPEN,male,Punjab,52,735,682,0,0,No
Complete,OPEN,male,Punjab,57,926,920,1,0,Yes
No,OPEN,male,Punjab,55,723,730,0,0,No
Complete,OPEN,female,Punjab,43,592,670,0,0,No
Complete,OPEN,male,Punjab,47,811,565,0,0,No
Complete,OPEN,female,Punjab,60,845,915,0,0,No
Complete,Bahawalpur,male,Punjab,60,814,731,0,0,No
Complete,OPEN,female,Punjab,48,541,583,0,0,No
Complete,OPEN,male,Punjab,57,840,810,0,0,No
Complete,OPEN,male,Punjab,55,670,951,1,0,Yes
Complete,OPEN,male,Punjab,43,701,604,0,0,No
Complete,Bahawalpur,male,Punjab,52,733,672,0,0,No
Complete,OPEN,male,Punjab,50,581,643,0,0,No
Complete,OPEN,female,Punjab,66,693,888,1,0,Yes
No,OPEN,male,Punjab,60,602,623,0,0,No
Complete,OPEN,male,Punjab,58,789,819,0,0,No
Complete,OPEN,male,Punjab,45,788,693,0,0,No
Complete,OPEN,male,Punjab,44,917,842,0,0,No
No,OPEN,male,Punjab,53,735,739,0,0,No
Complete,OPEN,male,Punjab,48,584,643,0,0,No
Complete,OPEN,male,Punjab,52,573,708,0,0,No
Complete,OPEN,male,Punjab,61,651,838,1,0,Yes
Complete,OPEN,male,Punjab,43,853,734,0,0,No
Complete,OPEN,male,Punjab,45,602,678,0,0,No
Complete,OPEN,male,Punjab,50,832,679,0,0,No
No,OPEN,male,Punjab,69,851,812,0,0,No
No,OPEN,male,Punjab,81,931,974,0,0,No
Complete,OPEN,female,Punjab,64,839,863,0,0,No
Complete,OPEN,male,Punjab,43,861,702,0,0,No
No,OPEN,male,Punjab,58,650,638,0,0,No
Complete,OPEN,male,Punjab,57,798,816,0,0,No
Complete,OPEN,male,Punjab,46,856,841,0,0,No
No,OPEN,male,Punjab,0,829,647,0,0,No
Complete,OPEN,male,Punjab,61,922,860,1,0,Yes
No,OPEN,male,Punjab,72,908,922,0,0,No
Complete,OPEN,male,Punjab,67,968,925,1,0,Yes
Complete,OPEN,male,Punjab,63,741,811,0,0,No
Complete,OPEN,male,Punjab,48,802,751,0,0,No
No,OPEN,male,Punjab,66,874,916,0,0,No
Complete,Bahawalpur,male,Punjab,65,863,773,1,0,No
No,OPEN,male,Punjab,49,591,589,0,0,No
Complete,Bahawalpur,male,Punjab,49,606,792,0,0,No
No,OPEN,male,Punjab,58,924,744,0,0,No
Complete,OPEN,male,Punjab,47,729,725,0,0,No
No,OPEN,female,Punjab,41,920,799,0,0,No
Complete,Bahawalpur,male,Punjab,44,710,801,0,0,No
Complete,OPEN,male,Punjab,54,776,840,0,0,No
No,OPEN,male,Punjab,54,786,777,0,0,No
Complete,OPEN,male,Punjab,43,749,683,0,0,No
Complete,OPEN,male,Punjab,52,672,839,0,0,No
Complete,OPEN,male,Punjab,51,865,816,0,0,No
Complete,OPEN,male,Punjab,50,723,736,0,0,No
Complete,OPEN,male,Punjab,57,724,720,0,0,No
Complete,OPEN,male,Punjab,57,908,647,0,0,No
No,OPEN,male,Punjab,53,557,454,0,0,No
Complete,OPEN,male,Punjab,0,635,484,0,0,No
No,OPEN,male,Punjab,34,693,603,0,0,No
No,OPEN,male,Punjab,39,655,722,0,0,No
Complete,OPEN,male,Punjab,58,941,879,0,0,No
Complete,OPEN,male,Punjab,61,862,806,0,0,No
No,OPEN,male,Punjab,0,868,892,0,0,No
Complete,OPEN,female,Punjab,46,694,656,0,0,No
Complete,OPEN,female,Punjab,52,878,842,0,0,No
Complete,OPEN,male,Punjab,54,711,730,0,0,No
Complete,Bahawalpur,male,Punjab,58,693,731,0,0,No
Complete,OPEN,male,Punjab,61,645,674,0,0,No
Complete,OPEN,male,Punjab,44,714,602,0,0,No
Complete,OPEN,male,Punjab,44,887,772,0,0,No
Complete,OPEN,male,Punjab,62,868,722,0,0,No
Complete,OPEN,female,Punjab,50,882,729,0,0,No
Complete,OPEN,female,Punjab,45,862,823,0,0,No
Complete,OPEN,male,Punjab,48,836,860,0,0,No
No,OPEN,male,Punjab,63,870,857,0,0,No
Complete,OPEN,male,Punjab,38,644,690,0,0,No
Complete,OPEN,male,Punjab,48,751,759,0,0,No
Complete,OPEN,male,Punjab,53,733,820,0,0,No
No,OPEN,male,Punjab,54,643,609,0,0,No
Complete,OPEN,male,Punjab,42,872,732,0,0,No
Complete,OPEN,female,Punjab,73,854,951,0,0,No
Complete,OPEN,male,Punjab,57,800,857,1,0,Yes
Complete,OPEN,male,Punjab,57,738,763,0,0,No
No,OPEN,male,Punjab,63,801,780,0,0,No
Complete,OPEN,male,Punjab,0,672,494,0,0,No
No,OPEN,female,Punjab,57,517,568,0,0,No
Complete,OPEN,male,Punjab,49,805,839,0,0,No
Complete,OPEN,male,Punjab,69,846,865,1,0,Yes
No,Bahawalpur,male,Punjab,47,691,679,0,0,No
No,OPEN,male,Punjab,37,845,803,0,0,No
Complete,Bahawalpur,male,Punjab,57,515,490,0,0,No
Complete,Bahawalpur,male,Punjab,46,450,522,0,0,No
No,OPEN,male,Punjab,0,830,705,0,0,No
Complete,Bahawalpur,male,Punjab,56,544,570,0,0,No
Complete,Bahawalpur,female,Punjab,50,727,778,0,0,No
Complete,Bahawalpur,male,Punjab,49,756,1018,1,0,Yes
Complete,Bahawalpur,male,Punjab,32,517,712,0,0,No
Complete,Bahawalpur,male,Punjab,62,827,835,1,0,Yes
Complete,OPEN,female,Punjab,57,840,853,1,0,No
Complete,OPEN,female,Punjab,57,802,772,1,0,No
Complete,OPEN,male,Punjab,64,842,731,0,0,No
No,OPEN,male,Sind,56,783,741,0,0,No
No,Bahawalpur,male,Punjab,50,710,718,0,0,No
Complete,OPEN,female,Punjab,68,772,809,1,0,Yes
No,OPEN,male,Baluchistan,59,720,817,0,0,No
Complete,OPEN,male,Baluchistan,30,572,671,0,0,No
No,OPEN,male,Baluchistan,0,610,557,0,0,No
Complete,OPEN,male,Gilgit-Baltistan,50,500,782,0,0,No
No,OPEN,male,Gilgit-Baltistan,0,574,517,0,0,No
Complete,OPEN,male,Azad Kashmir,48,662,678,0,0,No
