 1`(1,Agriculture,51,527,825,166,0,124,0,170,0,Yes)++,,
1`(2,Agriculture,24,860,855,161,0,154,0,141,0,Yes)++,,
1`(3,Agriculture,41,570,573,74,126,97,112,83,81,No)++,,No = 234
1`(4,Agriculture,0,726,780,0,0,0,0,0,0,No)++,,Yes =  305
1`(5,Agriculture,40,809,538,107,76,77,75,0,0,No)++,,
1`(6,Agriculture,41,794,746,149,167,48,0,0,0,Yes)++,,
1`(7,Agriculture,44,883,607,137,87,43,106,96,94,No)++,,
1`(8,Agriculture,30,661,666,42,39,80,39,62,44,No)++,,
1`(9,Agriculture,41,828,667,126,44,45,119,93,128,No)++,,
1`(10,Agriculture,0,842,904,169,155,47,166,155,171,No)++,,
1`(12,Agriculture,47,631,552,75,101,106,0,0,0,No)++,,
1`(13,Agriculture,50,777,629,115,119,103,99,0,0,No)++,,
1`(14,Agriculture,47,608,733,142,98,117,155,137,43,Yes)++,,
1`(15,Agriculture,42,640,612,75,0,0,0,0,0,No)++,,
1`(16,Agriculture,35,859,829,153,157,138,154,139,46,Yes)++,,
1`(17,Agriculture,49,777,612,129,107,45,113,94,82,No)++,,
1`(18,Agriculture,56,895,893,165,153,179,145,162,42,Yes)++,,
1`(19,Agriculture,1,863,816,150,156,132,39,152,144,Yes)++,,
1`(20,Agriculture,42,716,648,94,117,125,140,100,72,No)++,,
1`(21,Agriculture,45,931,861,174,157,156,145,46,40,Yes)++,,
1`(22,Agriculture,0,644,690,135,142,36,121,102,112,No)++,,
1`(23,Agriculture,0,532,580,0,0,0,0,0,0,No)++,,
1`(24,Agriculture,45,794,688,90,125,122,108,95,44,No)++,,
1`(25,Agriculture,59,926,828,169,151,156,143,120,43,Yes)++,,
1`(27,Agriculture,39,706,650,137,109,108,0,0,0,No)++,,
1`(28,Agriculture,48,489,505,99,96,69,101,71,69,No)++,,
1`(29,Agriculture,49,603,504,102,73,78,80,0,0,No)++,,
1`(30,Agriculture,44,703,510,109,75,43,75,90,73,No)++,,
1`(31,Agriculture,54,717,659,141,126,94,111,82,105,No)++,,
1`(32,Agriculture,47,845,771,144,140,125,114,161,43,Yes)++,,
1`(33,Agriculture,60,768,693,126,99,105,142,0,0,Yes)++,,
1`(34,Agriculture,65,941,857,155,173,159,124,170,0,Yes)++,,
1`(35,Agriculture,43,865,789,133,135,173,121,138,43,Yes)++,,
1`(36,Agriculture,58,676,544,92,39,38,96,81,86,No)++,,
1`(37,Agriculture,65,920,874,152,179,159,160,0,0,Yes)++,,
1`(38,Agriculture,52,793,787,148,127,40,140,155,137,Yes)++,,
1`(39,Agriculture,1,875,714,137,47,45,114,115,122,No)++,,
1`(40,Agriculture,45,877,782,145,143,156,133,124,39,Yes)++,,
1`(41,Agriculture,65,633,545,85,130,73,110,68,0,No)++,,
1`(42,Agriculture,27,859,772,153,109,83,153,134,140,Yes)++,,
1`(43,Agriculture,50,861,600,143,113,108,77,74,45,No)++,,
1`(44,Agriculture,42,765,692,0,0,0,0,0,0,No)++,,
1`(45,Agriculture,41,705,629,85,137,101,121,96,89,No)++,,
1`(46,Agriculture,36,752,906,155,167,147,169,94,174,Yes)++,,
1`(47,Agriculture,32,800,852,136,163,90,159,154,150,Yes)++,,
1`(48,Agriculture,65,929,849,164,153,152,129,156,0,Yes)++,,
1`(49,Agriculture,75,904,865,150,165,140,180,44,145,Yes)++,,
1`(50,Agriculture,40,548,671,135,87,117,146,100,45,No)++,,
1`(51,Agriculture,54,940,960,166,153,89,191,180,181,Yes)++,,
1`(52,Agriculture,43,751,649,136,128,85,148,78,74,No)++,,
1`(53,Agriculture,52,924,753,130,102,125,148,0,0,Yes)++,,
1`(54,Agriculture,33,754,628,110,100,110,117,104,87,No)++,,
1`(55,Agriculture,39,819,613,0,0,0,0,0,0,No)++,,
1`(56,Agriculture,44,632,581,129,99,42,94,85,91,No)++,,
1`(57,Agriculture,0,679,687,102,122,137,120,45,120,No)++,,
1`(58,Agriculture,45,761,671,122,145,28,125,104,109,No)++,,
1`(59,Agriculture,56,904,985,169,153,46,188,192,191,Yes)++,,
1`(60,Agriculture,43,775,640,119,116,141,82,45,92,No)++,,
1`(61,Agriculture,49,640,634,87,36,147,113,44,119,No)++,,
1`(62,Agriculture,63,836,827,130,173,141,145,161,77,Yes)++,,
1`(63,Agriculture,32,855,785,151,124,143,150,125,46,No)++,,
1`(64,Agriculture,45,761,671,122,145,28,125,104,109,No)++,,
1`(65,Agriculture,56,904,985,169,153,46,188,192,191,Yes)++,,
1`(66,Agriculture,43,843,571,96,96,129,126,53,71,No)++,,
1`(68,Agriculture,53,671,759,141,110,44,153,117,147,Yes)++,,
1`(69,Agriculture,50,757,727,166,83,119,125,47,44,Yes)++,,
1`(70,Agriculture,0,863,595,0,0,0,0,0,0,No)++,,
1`(71,Agriculture,45,850,837,134,125,39,172,148,180,Yes)++,,
1`(72,Agriculture,59,952,938,175,177,177,173,0,0,Yes)++,,
1`(73,Agriculture,42,654,620,102,102,99,128,0,0,No)++,,
1`(74,Agriculture,44,790,638,119,110,36,95,141,101,No)++,,
1`(75,Agriculture,52,615,1100,118,0,0,0,0,0,Yes)++,,
1`(76,Agriculture,43,654,546,120,64,85,98,105,0,No)++,,
1`(77,Agriculture,50,722,843,0,0,0,0,0,0,Yes)++,,
1`(78,Agriculture,57,737,715,162,108,126,131,38,0,Yes)++,,
1`(79,Agriculture,43,778,786,127,45,97,141,43,150,Yes)++,,
1`(80,Agriculture,0,688,586,89,142,111,98,62,40,No)++,,
1`(81,Agriculture,0,864,735,117,160,125,135,103,47,No)++,,
1`(82,Agriculture,29,529,660,154,104,78,98,100,126,No)++,,
1`(83,Agriculture,52,736,658,102,80,129,116,88,0,No)++,,
1`(84,Agriculture,69,903,883,157,42,45,176,154,170,Yes)++,,
1`(85,Agriculture,44,677,579,107,89,77,125,95,43,No)++,,
1`(86,Agriculture,0,577,554,138,42,66,93,73,99,No)++,,
1`(87,Agriculture,55,898,749,151,157,95,121,0,0,Yes)++,,
1`(88,Agriculture,41,865,832,0,0,0,0,0,0,Yes)++,,
1`(89,Agriculture,50,916,840,143,152,44,154,128,178,Yes)++,,
1`(90,Agriculture,52,672,655,85,122,143,127,107,45,No)++,,
1`(91,Agriculture,55,845,634,120,97,34,136,98,116,No)++,,
1`(92,Agriculture,45,629,616,0,0,0,0,0,0,No)++,,
1`(93,Agriculture,50,784,605,107,40,40,109,114,100,No)++,,
1`(94,Agriculture,47,652,483,113,86,65,71,41,78,No)++,,
1`(95,Agriculture,0,555,619,147,83,99,118,117,34,No)++,,
1`(96,Agriculture,50,843,705,144,106,102,130,0,0,Yes)++,,
1`(97,Agriculture,52,901,950,150,140,155,150,150,0,Yes)++,,
1`(98,Agriculture,400,621,686,119,40,39,138,122,103,No)++,,
1`(99,Agriculture,47,851,926,175,171,151,45,172,46,Yes)++,,
1`(100,Agriculture,34,762,773,62,45,79,69,44,56,No)++,,
1`(101,Agriculture,0,949,805,144,149,120,150,0,0,No)++,,
1`(102,Agriculture,0,882,673,143,43,41,115,89,119,No)++,,
1`(103,Agriculture,0,730,632,96,91,112,109,0,0,No)++,,
1`(104,Agriculture,0,867,851,0,0,0,0,0,0,No)++,,
1`(105,Agriculture,38,905,863,0,0,0,0,0,0,Yes)++,,
1`(106,Agriculture,45,730,763,123,133,134,131,0,0,Yes)++,,
1`(107,Agriculture,45,608,554,0,0,0,0,0,0,No)++,,
1`(108,Agriculture,0,631,553,133,128,35,74,70,75,No)++,,
1`(109,Agriculture,0,665,687,129,123,30,159,105,111,No)++,,
1`(110,Agriculture,46,758,607,133,126,34,96,79,104,No)++,,
1`(111,Agriculture,50,554,567,125,74,118,77,37,94,No)++,,
1`(112,Agriculture,0,811,690,0,0,0,0,0,0,No)++,,
1`(113,Agriculture,50,740,750,135,137,44,122,122,148,Yes)++,,
1`(114,Agriculture,44,732,587,89,86,122,109,38,106,No)++,,
1`(115,Agriculture,65,887,974,187,193,174,166,160,0,Yes)++,,
1`(116,Agriculture,46,641,573,61,81,114,121,116,45,No)++,,
1`(117,Agriculture,44,731,666,118,0,0,0,0,0,No)++,,
1`(118,Agriculture,57,896,856,148,149,44,178,144,149,Yes)++,,
1`(119,Agriculture,69,756,807,137,157,139,169,119,47,Yes)++,,
1`(120,Agriculture,58,915,795,0,0,0,0,0,0,Yes)++,,
1`(121,Agriculture,51,700,603,123,127,0,0,0,0,No)++,,
1`(122,Agriculture,35,602,635,130,118,45,99,100,108,No)++,,
1`(123,Agriculture,51,662,731,96,134,141,136,0,0,Yes)++,,
1`(124,Agriculture,54,805,701,141,104,110,117,145,44,Yes)++,,
1`(125,Agriculture,63,820,867,0,0,0,0,0,0,Yes)++,,
1`(126,Agriculture,45,723,616,125,115,94,94,46,103,No)++,,
1`(127,Agriculture,55,764,751,0,0,0,0,0,0,Yes)++,,
1`(128,Agriculture,42,646,757,139,115,148,138,125,0,Yes)++,,
1`(129,Agriculture,68,1002,1019,93,0,0,0,0,0,No)++,,
1`(130,Agriculture,54,925,813,160,44,49,124,147,143,Yes)++,,
1`(131,Agriculture,38,783,688,150,106,45,140,135,74,No)++,,
1`(132,Agriculture,68,1002,1019,93,0,0,0,0,0,No)++,,
1`(133,Agriculture,52,901,950,150,140,155,150,150,0,Yes)++,,
1`(134,Agriculture,56,861,876,0,0,0,0,0,0,Yes)++,,
1`(135,Agriculture,56,651,820,159,41,158,161,44,146,Yes)++,,
1`(136,Agriculture,50,900,757,0,0,0,0,0,0,Yes)++,,
1`(137,Agriculture,41,715,686,137,145,44,119,116,95,No)++,,
1`(138,Agriculture,48,861,889,0,0,0,0,0,0,Yes)++,,
1`(139,Agriculture,57,912,828,160,160,162,162,130,48,Yes)++,,
1`(140,Agriculture,46,891,779,161,137,110,151,136,40,Yes)++,,
1`(141,Agriculture,52,855,763,139,145,120,147,125,0,Yes)++,,
1`(142,Agriculture,61,707,827,158,139,152,134,152,46,Yes)++,,
1`(143,Agriculture,51,814,681,122,108,40,114,99,158,Yes)++,,
1`(144,Agriculture,52,926,854,149,141,43,151,41,162,Yes)++,,
1`(145,Agriculture,56,728,698,128,140,103,113,34,137,Yes)++,,
1`(146,Agriculture,52,788,768,153,105,159,0,151,0,Yes)++,,
