Application Status,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 4,Offered
Complete,729,763,131,157,146,No
Complete,749,695,158,67,147,No
Complete,814,860,149,147,175,No
Complete,831,868,0,0,0,No
Complete,617,601,121,131,73,No
Complete,670,721,145,152,100,No
Complete,834,878,144,170,171,Yes
Complete,907,969,166,181,182,Yes
Complete,701,977,181,192,194,Yes
Complete,1010,914,170,159,185,Yes
Complete,931,916,161,171,179,Yes
Complete,821,880,178,127,160,Yes
Complete,926,975,176,168,177,Yes
Complete,767,770,129,142,146,No
Complete,722,690,117,130,34,No
Complete,729,862,113,44,164,No
Complete,599,556,68,119,0,No
Complete,695,702,85,65,0,No
Complete,806,544,101,75,90,No
Complete,481,697,120,125,49,No
Complete,719,897,154,163,166,Yes
Complete,813,731,159,144,116,No
Complete,882,823,130,163,158,No
Complete,807,724,122,108,133,No
Complete,684,653,110,147,122,No
Complete,617,616,131,123,30,No
Complete,515,541,102,55,80,No
Complete,712,855,149,170,138,Yes
Complete,736,807,149,117,145,No
Complete,764,630,0,0,0,No
Complete,777,629,115,119,99,No
Complete,558,813,0,0,0,No
Complete,695,702,85,65,0,No
Complete,852,746,106,163,146,No
Complete,622,598,130,39,101,No
Complete,799,748,135,130,151,No
Complete,827,741,141,135,115,No
Complete,813,775,46,161,134,No
Complete,721,701,104,149,131,No
Complete,726,642,90,118,0,No
Complete,743,625,124,88,95,No
Complete,665,702,121,143,117,No
Complete,895,869,0,0,0,No
Complete,778,771,134,117,183,No
Complete,684,576,118,77,105,No
Complete,603,504,102,73,80,No
Complete,779,708,125,139,126,No
Complete,796,714,92,173,129,No
Complete,854,830,134,125,171,Yes
Complete,733,894,55,95,0,Yes
Complete,672,701,99,141,126,No
Complete,776,663,119,129,101,No
Complete,782,683,107,119,129,No
Complete,630,638,65,0,0,No
Complete,735,729,0,0,0,No
Complete,776,801,127,139,147,No
Complete,790,528,0,0,0,No
Complete,794,726,133,131,111,No
Complete,922,931,140,178,182,No
Complete,808,672,128,0,0,No
Complete,633,545,85,130,110,No
Complete,627,764,0,0,0,No
Complete,801,708,0,0,0,No
Complete,783,794,167,147,129,No
Complete,709,584,142,110,88,No
Complete,866,963,158,158,174,Yes
Complete,873,835,0,0,0,No
Complete,685,658,97,130,90,No
Complete,570,665,114,105,121,No
Complete,570,648,160,120,111,No
Complete,739,657,145,147,72,No
Complete,672,642,0,0,0,No
Complete,617,731,117,135,22,No
Complete,751,572,72,68,40,No
Complete,778,701,125,120,123,No
Complete,714,597,89,132,96,No
Complete,602,734,127,94,156,No
Complete,716,808,163,157,167,No
Complete,793,513,118,72,95,No
Complete,775,640,119,116,82,No
Complete,700,669,0,0,0,No
Complete,567,670,126,114,119,No
Complete,794,825,167,165,144,Yes
Complete,843,571,96,96,126,No
Complete,946,938,168,177,175,Yes
Complete,472,536,37,23,45,No
Complete,536,624,79,42,106,No
Complete,850,818,160,116,170,Yes
Complete,509,753,50,20,21,No
Complete,825,840,126,157,159,Yes
Complete,714,723,139,131,131,No
Complete,640,752,135,138,115,No
Complete,669,563,142,124,57,No
Complete,896,887,189,160,0,Yes
Complete,610,606,125,99,117,No
Complete,746,600,103,0,0,No
Complete,729,748,129,140,133,No
