Application Status,SSC,Terminal Degree,Offered
Complete,715,833,No
Complete,696,827,No
Complete,777,729,No
Complete,794,823,No
Complete,815,787,No
Complete,908,796,No
Complete,847,862,No
Complete,911,952,Yes
Complete,748,753,No
Complete,805,723,No
Complete,630,768,No
Complete,738,750,No
Complete,754,691,No
Complete,781,833,No
Complete,891,813,No
Complete,725,542,No
Complete,798,690,No
Complete,865,846,No
Complete,884,951,Yes
Complete,969,981,Yes
Complete,559,657,No
Complete,817,722,No
Complete,907,847,No
Complete,843,858,No
Complete,721,701,No
Complete,780,745,No
Complete,820,859,No
Complete,764,803,No
Complete,919,874,No
Complete,712,819,No
Complete,791,674,No
Complete,815,885,No
Complete,891,884,No
Complete,742,844,No
Complete,754,679,No
Complete,705,675,No
Complete,887,823,No
Complete,877,914,Yes
Complete,869,870,No
Complete,689,729,No
Complete,817,750,No
Complete,791,884,No
Complete,839,808,No
Complete,734,799,No
Complete,832,291,No
Complete,809,805,No
Complete,635,861,No
Complete,807,777,No
Complete,788,846,No
Complete,867,768,No
Complete,870,843,No
Complete,901,853,No
Complete,806,775,No
Complete,801,606,No
Complete,850,821,No
Complete,777,830,No
Complete,678,613,No
Complete,777,751,No
Complete,794,726,No
Complete,739,625,No
Complete,808,672,No
Complete,633,545,No
Complete,828,817,No
Complete,719,714,No
Complete,952,918,Yes
Complete,749,686,No
Complete,994,950,Yes
Complete,840,829,No
Complete,726,863,No
Complete,741,563,No
Complete,957,863,No
Complete,767,714,No
Complete,806,776,No
Complete,828,974,Yes
Complete,857,821,No
Complete,780,734,No
Complete,928,947,Yes
Complete,731,744,No
Complete,722,754,No
Complete,873,835,No
Complete,845,821,No
Complete,685,658,No
Complete,816,784,No
Complete,747,909,No
Complete,894,896,No
Complete,804,843,No
Complete,758,769,No
Complete,966,921,Yes
Complete,727,840,No
Complete,760,916,Yes
Complete,761,626,No
Complete,754,851,No
Complete,714,597,No
Complete,758,769,No
Complete,966,921,Yes
Complete,963,914,No
Complete,688,699,No
Complete,890,811,No
Complete,837,842,No
Complete,686,902,Yes
Complete,663,747,No
Complete,874,884,No
Complete,823,716,No
Complete,912,942,Yes
Complete,860,815,No
Complete,672,839,No
Complete,776,762,No
Complete,733,707,No
Complete,684,598,No
Complete,886,775,No
Complete,745,796,No
Complete,681,776,No
Complete,752,624,No
Complete,738,812,No
Complete,602,641,No
Complete,942,970,Yes
Complete,836,804,No
Complete,653,643,No
Complete,732,810,No
Complete,868,729,No
Complete,805,891,Yes
Complete,783,799,No
Complete,906,761,No
Complete,744,749,No
Complete,752,684,No
Complete,770,849,No
Complete,722,843,No
Complete,797,820,No
Complete,667,693,No
Complete,739,695,No
Complete,885,901,Yes
Complete,620,739,No
Complete,777,578,No
Complete,839,808,No
Complete,745,796,No
Complete,957,863,No
Complete,752,684,No
Complete,844,865,No
Complete,922,931,No
Complete,680,694,No
Complete,702,721,No
Complete,851,709,No
Complete,649,699,No
Complete,749,780,No
Complete,674,881,No
Complete,811,885,No
Complete,677,724,No
Complete,889,761,No
Complete,839,831,No
