Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 5,Offered
Complete,53,917,874,42,Yes
Complete,58,924,744,0,No
Complete,50,679,673,111,No
Complete,59,921,812,0,No
Complete,49,904,797,0,No
Complete,44,604,628,0,No
Complete,52,847,901,91,No
Complete,0,762,794,172,No
Complete,52,635,673,115,No
Complete,50,651,724,133,No
Complete,54,823,652,102,No
Complete,64,750,660,109,No
Complete,49,750,693,0,No
Complete,52,580,710,120,No
Complete,44,604,628,0,No
Complete,52,847,901,91,No
Complete,61,841,685,98,No
Complete,53,623,668,0,No
Complete,42,639,525,65,No
Complete,45,555,680,91,No
Complete,47,563,867,41,No
Complete,52,756,792,0,No
Complete,49,817,782,122,No
Complete,34,752,643,0,No
Complete,41,755,631,114,No
Complete,50,604,254,44,No
Complete,60,858,808,139,No
Complete,53,630,686,95,No
Complete,17,819,842,170,No
Complete,56,791,858,0,No
Complete,22,830,714,95,No
Complete,29,753,732,0,No
Complete,50,674,578,110,No
Complete,38,749,641,125,No
Complete,56,940,856,160,No
Complete,51,865,748,103,No
Complete,59,711,703,120,No
Complete,0,852,767,74,No
Complete,57,654,644,0,No
Complete,53,712,775,0,No
Complete,50,838,868,0,No
Complete,40,900,641,44,No
Complete,58,789,819,0,No
Complete,11,717,841,0,No
Complete,64,861,722,136,No
Complete,54,678,700,142,No
Complete,10,699,729,45,No
Complete,50,734,799,0,No
Complete,59,807,755,142,No
Complete,53,840,714,116,No
Complete,52,735,682,144,No
Complete,54,547,696,162,No
Complete,51,735,773,95,No
Complete,49,606,792,90,No
Complete,52,857,845,0,No
Complete,61,873,977,175,Yes
Complete,50,861,817,122,No
Complete,47,903,780,124,No
Complete,47,688,615,87,No
Complete,58,751,595,29,No
Complete,49,835,770,157,No
Complete,45,777,841,131,No
Complete,50,558,585,0,No
Complete,44,816,782,0,No
Complete,47,747,701,0,No
Complete,52,684,589,117,No
Complete,43,779,682,32,No
Complete,46,479,723,0,No
Complete,49,600,761,42,No
Complete,41,816,827,50,No
Complete,64,845,754,129,No
Complete,50,768,657,100,No
Complete,51,706,633,150,No
Complete,61,729,706,80,No
Complete,62,765,907,170,Yes
Complete,47,665,613,127,No
Complete,50,840,798,0,No
Complete,58,867,902,0,Yes
Complete,49,691,618,0,No
Complete,50,574,681,166,No
Complete,39,793,658,143,No
Complete,47,857,841,0,No
Complete,50,645,674,40,No
Complete,50,641,720,42,No
Complete,47,878,810,136,No
Complete,52,687,701,113,No
Complete,61,770,792,149,No
Complete,49,527,603,82,No
Complete,56,651,820,44,No
Complete,54,782,670,126,No
Complete,52,811,820,0,No
Complete,59,909,935,180,Yes
Complete,66,933,814,126,No
Complete,42,584,725,0,No
Complete,45,837,720,0,No
Complete,0,566,638,0,No
Complete,44,648,514,0,No
Complete,54,868,885,0,Yes
Complete,50,651,702,171,No
Complete,54,738,658,41,No
Complete,41,715,686,116,No
Complete,58,831,629,35,No
Complete,48,760,725,107,No
Complete,46,756,589,76,No
Complete,48,729,878,45,Yes
Complete,41,750,573,0,No
Complete,58,670,598,113,No
Complete,58,840,874,0,Yes
Complete,52,733,672,0,No
Complete,46,545,564,27,No
Complete,53,788,687,139,No
Complete,49,590,668,143,No
Complete,48,712,855,177,No
Complete,58,809,670,0,No
Complete,42,574,850,68,No
Complete,50,708,712,0,No
Complete,62,815,872,0,Yes
Complete,50,686,758,0,No
Complete,50,840,772,144,No
Complete,52,810,751,124,No
Complete,51,673,765,116,No
Complete,49,818,603,35,No
Complete,56,880,974,189,Yes
Complete,48,679,643,30,No
Complete,50,739,636,179,No
Complete,48,748,753,142,No
Complete,53,747,729,0,No
Complete,38,477,508,0,No
Complete,54,620,859,90,No
Complete,56,788,604,0,No
Complete,50,646,588,0,No
Complete,37,728,832,0,No
Complete,50,691,675,0,No
Complete,50,649,653,131,No
Complete,63,821,852,0,Yes
Complete,69,918,764,0,No
Complete,58,598,563,0,No
Complete,43,644,682,42,No
Complete,53,796,791,0,No
Complete,63,873,861,135,Yes
Complete,57,720,773,118,No
Complete,49,981,907,47,Yes
Complete,47,697,682,0,No
Complete,50,703,717,0,No
Complete,60,778,692,0,No
Complete,53,747,675,42,No
Complete,57,801,736,0,No
Complete,44,674,590,28,No
Complete,61,866,757,0,No
Complete,40,852,820,176,No
Complete,48,780,745,0,No
Complete,53,775,837,0,No
Complete,54,785,748,134,No
Complete,54,469,482,31,No
Complete,49,614,589,35,No
Complete,52,708,513,0,No
Complete,71,778,679,97,No
Complete,45,686,587,0,No
Complete,54,903,813,0,No
Complete,44,791,674,87,No
Complete,49,529,667,110,No
Complete,50,869,870,74,No
Complete,63,773,832,137,No
Complete,42,796,639,29,No
Complete,66,678,805,175,No
Complete,28,739,689,45,No
Complete,19,839,808,62,No
Complete,0,832,291,41,No
Complete,41,860,725,84,No
Complete,53,794,707,149,No
Complete,54,835,877,178,Yes
Complete,47,733,894,102,Yes
Complete,0,595,608,0,No
Complete,50,594,837,0,No
Complete,48,867,768,128,No
Complete,49,735,960,0,Yes
Complete,50,777,830,140,No
Complete,51,702,697,44,No
Complete,40,755,586,119,No
Complete,52,823,607,94,No
Complete,45,790,849,45,No
Complete,58,894,929,86,Yes
Complete,64,776,825,0,No
Complete,53,676,728,113,No
Complete,56,799,829,44,No
Complete,55,952,918,166,Yes
Complete,52,729,635,0,No
Complete,60,874,908,0,Yes
Complete,30,836,656,87,No
Complete,47,691,513,66,No
Complete,57,671,623,0,No
Complete,50,592,562,67,No
Complete,58,709,584,75,No
Complete,61,922,860,155,Yes
Complete,48,989,734,85,No
Complete,63,806,776,117,No
Complete,53,798,724,78,No
Complete,44,848,829,90,No
Complete,55,881,802,126,No
Complete,56,805,780,126,No
Complete,53,626,567,0,No
Complete,58,697,742,129,No
Complete,53,676,728,113,No
Complete,53,630,686,95,No
Complete,40,755,586,119,No
Complete,53,796,791,0,No
Complete,61,860,895,150,No
Complete,54,806,674,0,No
Complete,50,672,599,72,No
Complete,64,840,899,67,No
Complete,65,602,762,46,No
Complete,50,683,794,180,No
Complete,58,776,849,62,No
Complete,48,538,792,0,No
Complete,61,678,632,0,No
Complete,59,803,783,125,No
Complete,56,854,951,187,Yes
Complete,55,648,713,0,No
Complete,52,886,836,0,No
Complete,53,758,769,116,No
Complete,56,752,684,0,No
Complete,58,815,748,49,No
Complete,57,741,958,0,Yes
Complete,56,690,680,105,No
Complete,53,664,810,0,No
Complete,48,595,822,0,No
Complete,56,819,855,163,No
Complete,52,694,622,78,No
Complete,64,842,731,143,No
Complete,53,703,769,143,No
Complete,48,756,801,148,No
Complete,36,554,507,0,No
Complete,0,621,664,122,No
Complete,53,774,727,108,No
Complete,45,815,752,131,No
Complete,52,672,839,165,No
Complete,43,733,707,160,No
Complete,54,667,851,133,No
Complete,46,700,669,0,No
Complete,30,650,792,117,No
Complete,52,741,798,0,No
Complete,54,705,677,109,No
Complete,53,669,749,168,No
Complete,67,836,804,126,No
Complete,51,590,706,0,No
Complete,48,674,615,86,No
Complete,56,804,825,0,No
Complete,50,653,643,139,No
Complete,56,833,830,47,No
Complete,43,891,678,0,No
Complete,50,672,599,72,No
Complete,43,843,571,53,No
Complete,53,517,513,0,No
Complete,52,868,729,148,No
Complete,52,597,630,151,No
Complete,0,738,660,104,No
Complete,41,751,612,89,No
Complete,48,871,791,128,No
Complete,47,462,772,0,No
Complete,52,827,833,158,No
Complete,50,906,761,129,No
Complete,50,822,556,146,No
Complete,44,851,747,179,No
Complete,53,758,769,116,No
Complete,56,752,684,0,No
Complete,47,560,592,31,No
Complete,56,687,703,0,No
Complete,46,770,849,0,No
Complete,49,676,626,0,No
Complete,53,836,825,164,No
Complete,63,831,808,49,No
Complete,54,828,846,142,No
Complete,50,949,874,0,No
Complete,0,884,923,184,No
Complete,59,780,638,123,No
Complete,64,840,899,67,No
Complete,64,883,747,43,No
Complete,44,787,827,0,No
Complete,59,809,767,143,No
Complete,43,645,480,0,No
Complete,60,672,670,107,No
Complete,47,831,630,85,No
Complete,56,891,935,0,Yes
Complete,0,765,565,69,No
Complete,50,550,595,0,No
Complete,66,723,730,116,No
Complete,65,787,660,36,No
Complete,55,818,698,112,No
Complete,41,865,832,0,No
Complete,56,693,771,46,No
Complete,53,765,765,166,No
Complete,49,773,692,25,No
Complete,41,666,701,102,No
Complete,33,601,647,0,No
Complete,50,823,804,165,No
Complete,58,557,772,130,No
Complete,56,746,756,108,No
Complete,70,866,890,0,Yes
Complete,55,764,817,42,No
Complete,36,720,604,0,No
Complete,60,798,844,38,No
Complete,68,1002,1019,0,No
Complete,61,878,784,151,No
Complete,53,592,560,28,No
Complete,52,835,761,0,No
Complete,52,602,667,0,No
Complete,43,630,672,141,No
Complete,58,832,844,182,No
Complete,50,714,731,0,No
Complete,58,776,849,62,No
Complete,53,775,872,141,No
Complete,0,497,536,97,No
Complete,57,802,892,45,Yes
Complete,50,682,826,197,No
Complete,50,710,718,0,No
Complete,58,892,844,156,No
Complete,65,602,762,46,No
Complete,0,676,649,0,No
Complete,50,561,745,132,No
Complete,62,917,750,0,No
Complete,0,884,878,153,No
