Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 4,Optional Subject 5,Offered
Complete,56,896,704,138,120,96,141,No
Complete,45,572,539,73,108,104,89,No
Complete,52,716,700,128,108,120,42,Yes
Complete,44,643,474,37,28,28,44,No
Complete,76,718,617,0,0,0,0,No
Complete,50,861,778,115,137,0,0,No
Complete,48,790,852,0,0,0,0,Yes
Complete,53,755,789,0,0,0,0,Yes
Complete,53,824,792,140,143,138,139,Yes
Complete,59,720,840,135,151,151,162,Yes
Complete,58,769,917,158,171,169,45,Yes
Complete,49,868,719,141,115,129,146,Yes
Complete,50,804,748,140,128,123,142,Yes
Complete,53,648,755,104,119,147,155,Yes
Complete,50,797,831,161,0,0,123,Yes
Complete,47,702,743,114,136,149,137,Yes
Complete,44,900,676,129,117,112,0,No
Complete,53,915,683,131,130,117,92,Yes
Complete,56,695,682,135,118,123,110,Yes
Complete,51,867,704,0,0,0,0,Yes
Complete,62,798,785,132,151,131,133,Yes
Complete,50,815,890,175,0,0,162,Yes
Complete,46,847,715,119,139,116,121,Yes
Complete,67,818,866,0,0,0,0,Yes
Complete,58,805,802,141,154,145,0,Yes
Complete,49,817,727,149,140,100,127,Yes
Complete,59,636,816,140,163,153,131,Yes
Complete,57,809,811,160,155,159,112,Yes
Complete,56,843,720,132,119,120,112,Yes
Complete,44,781,758,140,141,110,140,Yes
Complete,50,895,889,130,164,163,48,Yes
Complete,50,806,745,135,145,152,81,Yes
Complete,44,666,723,0,0,0,0,No
Complete,56,970,945,0,0,0,0,Yes
Complete,53,842,754,149,140,96,0,Yes
Complete,48,699,811,141,144,113,173,Yes
Complete,42,922,885,177,157,175,158,Yes
Complete,43,843,727,141,122,144,132,Yes
Complete,48,707,698,0,0,0,0,No
Complete,68,898,908,132,157,177,173,Yes
Complete,46,770,798,146,145,149,131,Yes
Complete,46,630,708,114,141,145,125,No
Complete,60,824,789,160,132,153,114,Yes
Complete,50,870,732,142,124,126,0,Yes
Complete,64,703,804,94,134,171,181,Yes
Complete,44,748,727,129,123,113,131,Yes
Complete,46,832,739,125,134,117,124,Yes
Complete,54,822,682,91,137,142,130,Yes
Complete,48,707,711,145,122,112,0,Yes
Complete,45,841,833,0,0,0,0,Yes
Complete,50,651,724,113,139,144,133,Yes
Complete,65,890,871,128,158,170,153,Yes
