Application Status,Admission Test,SSC,Terminal Degree,Document Verified,Offered
Complete,49,659,485,0,No
NotComplete,51,847,710,0,No
NotComplete,57,613,532,0,No
Complete,46,803,721,1,No
Complete,19,774,633,0,No
Complete,40,475,786,0,No
Complete,52,678,557,0,No
Complete,49,629,587,0,No
Complete,45,759,619,0,No
NotComplete,20,736,533,0,No
Complete,49,806,793,0,No
Complete,59,776,782,0,No
Complete,52,802,889,0,No
Complete,42,549,598,1,No
Complete,40,546,604,1,No
Complete,52,844,812,1,No
Complete,64,883,747,0,No
NotComplete,70,718,635,0,No
Complete,68,761,583,0,No
Complete,71,791,744,1,No
Complete,57,731,695,0,No
Complete,47,798,685,0,No
NotComplete,55,671,612,0,No
Complete,64,776,648,0,No
Complete,43,623,597,0,No
Complete,46,719,770,0,No
NotComplete,44,825,683,0,No
Complete,42,624,460,0,No
Complete,60,800,750,0,No
Complete,47,708,671,0,No
Complete,49,577,598,0,No
Complete,31,680,511,1,No
Complete,62,901,838,1,Yes
Complete,58,474,662,1,No
Complete,48,726,670,0,No
Complete,63,845,682,1,No
Complete,72,599,621,0,No
Complete,38,709,683,0,No
Complete,43,647,791,0,No
Complete,66,769,913,1,Yes
Complete,41,667,773,0,No
NotComplete,55,826,667,0,No
Complete,53,595,822,1,No
Complete,41,516,628,0,No
Complete,56,859,764,0,No
NotComplete,51,659,590,0,No
Complete,48,907,807,1,No
Complete,62,790,707,1,No
Complete,40,753,542,0,No
NotComplete,0,756,489,0,No
NotComplete,38,629,723,0,No
Complete,56,833,830,1,Yes
NotComplete,46,791,827,0,No
Complete,41,748,583,0,No
Complete,46,666,638,0,No
NotComplete,47,585,566,0,No
Complete,40,771,570,0,No
Complete,50,684,622,0,No
Complete,53,796,791,1,No
Complete,67,914,938,1,Yes
NotComplete,54,830,579,0,No
Complete,45,510,698,1,No
Complete,61,878,784,1,No
Complete,52,523,811,1,No
Complete,63,806,776,1,No
Complete,48,729,622,0,No
Complete,50,765,764,1,No
NotComplete,49,590,668,0,No
Complete,58,527,452,0,No
Complete,56,560,643,1,No
NotComplete,27,0,0,0,No
Complete,62,747,738,0,No
NotComplete,50,578,552,0,No
NotComplete,46,583,728,0,No
NotComplete,57,618,552,0,No
Complete,47,827,741,0,No
Complete,50,567,492,1,No
Complete,56,857,750,0,No
Complete,47,577,850,1,Yes
Complete,57,685,824,1,Yes
Complete,47,897,740,0,No
Complete,52,684,589,1,No
Complete,63,709,876,0,No
Complete,44,906,799,0,No
Complete,49,525,787,0,No
Complete,47,735,857,1,Yes
Complete,50,696,612,0,No
NotComplete,59,800,642,0,No
Complete,63,842,781,1,No
NotComplete,47,683,574,0,No
Complete,44,722,596,0,No
Complete,52,712,736,0,No
Complete,57,689,781,0,No
Complete,45,671,782,0,No
Complete,66,836,790,0,No
Complete,51,821,704,0,No
Complete,50,864,652,0,No
Complete,45,674,645,0,No
